!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Cube Reagent (Secret)\n\orange;Emblem of Suffering
#X2	Cube Reagent (Secret)\n\orange;Emblem of Pain
#X3	Cube Reagent (Secret)\n\orange;Emblem of Hatred
#X4	Cube Reagent (Secret)\n\orange;Emblem of Terror
#X5	Cube Reagent (Secret)\n\orange;Emblem of Destruction
#X6	Cube Reagent (Secret)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Cube Reagent\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
OrmusGossip3	52\nHow does one destroy Destruction? How \ndoes one force Terror to flee in fear? \nYou have great tasks ahead of you, \nOrmus thinks.\n
OrmusGossip4	72\nThe Church of Light harbors the darkest \nshadow of all. Tread lightly.\n
OrmusGossip5	89\nWhen speaking of the dead, it is best to \nremain cryptic.\n
OrmusGossip6	84\nThe Travincal can be breached by the \nloss of one's wits, not by the use of \nthem.\n
OrmusGossip7	95\nAlkor is able to explain things much \nmore clearly than Ormus.\n
OrmusGossip8	58\nFor one who spends so much time away \nfrom home, Meshif has taken Kurast's \ncorruption the hardest.\n
OrmusGossip9	91\nAsheara is both proud and \nself-conscious of her womanhood.\n
OrmusIntroGossip1	38\nYou now speak to Ormus.\n \nHe was once a great mage, but now \nlives like a rat in a sinking vessel. You \nhave questions for Ormus and doubt in \nyourself. Ormus sees a strange \ndichotomy in you... as he does in all \nwould-be heroes.\n \nSpeak to him and he may grant you \nwisdom in turn. Or turn from him and \nseek wisdom in thyself.\n
OrmusIntroPalGossip1	37\nYou now speak to Ormus, good Paladin.\n \nHe was once a great mage, but now \nlives like a rat in a sinking vessel. You \nhave questions for Ormus and doubt in \nyourself. Ormus sees a strange \ndichotomy in you... as he does in all \nwould-be heroes.\n \nSpeak to him and he may grant you \nwisdom in turn. Or turn from him and \nseek wisdom in thyself.\n
Orphan's Call	Orphan's Call
Orumus' Robes	Ormus' Robe
Ourus	Ouroboros
Outer Cloister	Outer Cloister
Outer Steppes	Outer Steppes
Outlaw	Outlaw
OverLord	Overlord
OverSeer	Overseer
Overlord	Overlord
OverlordZ	Overlord
OverseerDetonator	Detonator
OverseerHypnotoad	Hypnotoad
PCloakBloodbath	\yellow;A fraction of this Bonus is Added to Bloodbath
PCloakMDmg	Elemental/Magic Damage Reduced by 
PCloakSyn	+8% Improved Effect per Base Level
POW	Barbarian Captive
Paaliaq	Paaliaq
Pacman	\gold;Pac-Man
Pacman Key	\orange;Cherry
Pacman Level	The Secret Pacman Level
PacmanBlinky	\red;Blinky
PacmanClyde	\orange;Clyde
PacmanInky	\blue;Inky
PacmanPinky	\purple;Pinky
Pagan's Athame	Pagan's Athame
Pagan's Geis	Pagan's Geis
Pain	Pain
Pain Worm1	Pain Worm
Pain Worm2	Torment Worm
Pain Worm3	Agony Worm
Pain Worm4	Menace Worm
Pain Worm5	Anguish Worm
PalMercEXST3X	Fighter Mage
PalMercEXST4X	Exemplar
PalMercExST1X	Shapeshifter
PalOnly	(Paladin Only)
Palace Cellar	Palace Cellar
Palace Cellar Level 1 	Palace Cellar Level 1
Palace Cellar Level 2	Palace Cellar Level 2
Palace Cellar Level 3	Palace Cellar Level 3
PalaceGuardGossip1	600\nHalt.\n
PalaceGuardGossip2	255\nYou may enter the palace.\n
PalaceGuardGossip3	255\nWelcome to the palace.\n
PalaceGuardGossip4	255\nYou may enter the palace.\n
PalaceGuardGossip5	290\nStay out of trouble.\n
Paladin	Paladin
Paleocene	Faithful
Palo Grande	Palo Grande
PandemoniumUnique	Pandemonium
PantherasBite	Panthera's Bite
Paradox	Paradox
Parkersor's Calm	Parkersor's Calm
Parry	Parry
PartDam	Party Damage: 
Party 15	%s is friendly to you, but you are hostile to him.
Party1	 permits you to loot his corpse.
Party10	%s no longer allows you to access his corpse.
Party11	%s no longer allows you to access her corpse.
Party12	You are hostile towards each other.
Party13	%s is hostile to you, but you are friendly to him.
Party14	%s is hostile to you, but you are friendly to her.
Party16	%s is friendly to you, but you are hostile to her.
Party17	You are friendly to each other.
Party18	You may loot each other's corpse.
Party19	%s may loot your corpse, but you may not loot his.
Party1X	%s signed a suicide pact with you.
Party2	 permits you to loot her corpse.
Party20	%s may loot your corpse, but you may not loot hers.
Party21	%s may not loot your corpse, but you may loot his.
Party22	%s may not loot your corpse, but you may loot hers.
Party23	Neither of you may loot the other's corpse.
Party2X	%s signed a suicide pact with you.
Party3	 is going to kill you. Run away! Run away!
Party4	 has calmed down and is no longer hostile.
Party5	 invites you to ally against the evil creepy crawlies.
Party6	 has cancelled the party invite.
Party7	 has joined your party against the forces of evil.
Party8	You are now allied with 
Party9	 has deserted your party and left you all alone to die.
Partyclose	CLOSE
Path	Path
Path to Enlightenment	Path to Enlightenment
Patriot	Patriot
Pawnstorm	Pawnstorm
Pax Mystica	Pax Mystica
Peace	Peace
Peace Warder	Peace Warder
PeaceSells	(Secret)\nPeace Sells
PeaceWarder	Peace Warder
PeaceWarderHalluc	Peace Warder (Hallucination)
Peacock	Peacock
Pearl	Pearl
Peasent Crown	Peasant Crown
Pelt	Pelt
Pelta Lunata	Pelta Lunata
Penumbra	Penumbra
Perfect Gem Activated	Perfect Gem Activated! #YOLO #1000%MF
Perfection	Perfection
Pernicious	Pernicious
Perpetual	Perpetual
Personalizeui	personalize
Pest1	Pest
Pest2	Gremlin
Pestilent	Pestilent
Phantasm of Terror	Phantasm of Terror
PhantasmZ	Phantasm
Phantom	Phantom
PhantomQ	Phantom
Phantomflight	Phantom Flight
Pharaoh	Pharaoh
PhaseCrystal	Phase Crystal
Phoenix Egg	Phoenix Egg
PhoenixBeak	Phoenix Beak
Piercerib	Rogue's Bow
Pierre Tombale Couant	Pierre Tombale Couant
PilumSU3	Spire of Honor
Pincers	Pincers
Pindleskin	Pindleskin
Piranhaswarm	Piranha Swarm
Pit	Pit
Pit Level 1	Pit
Pit Level 2	Pit Level 2
PitBeast	Pit Beast
PitKnight	Pit Knight
PitLord	Pit Lord
PitStone	Pit Stone
PitViper	Pit Viper
Pitblood Thirst	Pitblood Thirst
Pitspawn Fouldog	Pitspawn Fouldog
Pixie Legion	Pixie Legion
Plague	Plague
Plague Bearer	Plague Bearer
PlagueBearer	Plague Bearer
PlagueBugs	Plague Bugs
PlagueGland	Plague Gland
PlagueRI	Plague
PlaguebringerZ	Plague Bringer
PlaguedDead	Plagued Dead
PlaguedDeadArcher	Plagued Dead Archer
Plaguemourn	Plaguemourn
Plaguewrath	Plaguewrath
Plains of Despair	Plains of Despair
Plane of Envy	Plane of Envy
Plane of Gluttony	Plane of Gluttony
Plane of Greed	Plane of Greed
Plane of Lust	Plane of Lust
Plane of Pride	Plane of Pride
Plane of Sloth	Plane of Sloth
Plane of Wrath	Plane of Wrath
PlanetQ	Planet
Platinum	Platinum
PlayerBodyPartFormat	%0 %1
PlayerNameOnItemstring	%s's
PlayerNameOnItemstringX	%s'
Playersubtitles00	Impossible.
Playersubtitles01	I can't.
Playersubtitles02	Help Me!
Playersubtitles03	Help!
Playersubtitles04	Follow Me.
Playersubtitles05	Come on.
Playersubtitles06	This is for you.
Playersubtitles07	This is yours.
Playersubtitles09	Thank you.
Playersubtitles10	Thanks.
Playersubtitles11	Oops.
Playersubtitles12	Forgive me.
Playersubtitles13	Goodbye.
Playersubtitles14	Bye.
Playersubtitles15	Die!
Playersubtitles16	Time to Die!
Playersubtitles17	Not enough mana.
Playersubtitles18	I need mana.
Playersubtitles21	I can't use this yet.
Playersubtitles22	I am overburdened.
Playersubtitles23	I can't carry anymore.
Playersubtitles24	Not in Town.
Playersubtitles25	Not Here.
Playersubtitles26	I can't do that here.
Playersubtitles27	It's Locked.
Playersubtitles28	I need a key.
Playersubtitles29	Retreat!
Playersubtitles30	Run away!
Pluckeye	Pluckeye
PlugYCustomDefense	> Defense <
PlugYCustomMain	> Main <
PlugYCustomOffense	> Offense <
PlugYCustomOther	> Other <
Plunderbird	Plunderbird
PoisLenplev	Poison Length per Level
Poisdplev	Poison Damage per Base Level
PoisonSpinner	Poison Spinner
PoisonSpitter	Poison Spitter
Pollice Verso	Pollice Verso
Pompe's Wrath	Pompeii's Wrath
Pools of Wisdom	Pools of Wisdom
Porkchop	Porkchop
Porkulated	Pig!
Portal	Portal to 
Possessed	Possessed
PotAdrDesc	Cancels Running Skill Timers
PotConcDesc	Buff/Debuff/Cold Skill Duration +25% for 30 seconds
PotExpDesc	+100% Experience for 30 seconds
PotGoldDesc	+300% Gold Find for 30 seconds
PotMagDesc	+150% Magic Find for 30 seconds
PotOfExpReloadedDesc	+150% Experience for 60 seconds
PotOfGoldReloadedDesc	+600% Gold Find for 30 seconds
PotOfLoveDesc	-50% Vendor Prices for 60 seconds
PotOfMagReloadedDesc	+150% Magic Find for 60 seconds
PotOfPowerDesc	+5 Skill Levels for 60 seconds
Powered	Powered
Precocious	Precocious
PreservedDead	Preserved Dead
Preserver's	Preserver's
Pride1	Fire
Pride2	Fire
Pride3	Fire
PrideKills	Soul of Pride
PrideOfCaldeum	The Pride of Caldeum
Priest's	Priest's
PriestBoss	Priest Boss
Primal Clay	Primal Clay
PrimeEdyrems	Prime Edyrem
Primus' Messenger	Primus' Messenger
Prince Albrecht	Prince Albrecht
PrinceOfNothing	Prince of Nothing
Prismatic	Prismatic
Prison Door	Prison Door
Prodigy	Prodigy
Profane Cells	Profane Cells
Prophecy	Prophecy
ProphetCultist	Possessed Cultist
ProphetTrap	Kabraxis
Protector	Protector
ProtectorSpirit	Protector Spirit
Proving Grounds	Proving Grounds
Prowler	Prowler
ProwlerPriestess	Prowler Priestess
ProwlingDead	Prowling Dead
Psychic	Psychic
Puke	Puke
Pukerat the Unclean	Pukerat the Unclean
Pullspite	Stormstrike
Pulsa Dinura	Pulsa Dinura
Pulse	Pulse
PunisherTurret	Mazi's Eidolon
Punishing	Punishing
Pure	Pure
PurgatoryWitch	Warlock
Pus Spiter	Pus Spitter
Putrid Defiler1	Putrid Defiler
Putrid Defiler2	Wretched Defiler
Putrid Defiler3	Fetid Defiler
Putrid Defiler4	Rancid Defiler
Putrid Defiler5	Rank Defiler
Pygmalion	Pygmalion
Python	Python
Q0+	\orange;Hidden Shrine (10)
Q0+S	\orange;Hidden Vessel
Q1+	\orange;Hidden Shrine (9)
Q2+	\orange;Hidden Shrine (8)
Q3+	\orange;Hidden Shrine (7)
Q4+	\orange;Hidden Shrine (6)
Q5+	\orange;Hidden Shrine (5)
Q6+	\orange;Hidden Shrine (4)
Q7+	\orange;Hidden Shrine (3)
Q8+	\orange;Hidden Shrine (2)
Q9+	\orange;Hidden Shrine (1)
QQRing	QQ
QaraksWill	Qarak's Will
Qstsyouarenot8	You must be level 8 to complete this quest. You can complete it by creating a new game or joining a different game when you are at least level 8.
Qual'Kek's Enforcer	Qual-Khek's Enforcer
Qual-Kehk	Qual-Kehk
QualKehkAct5IntroDruGossip1	42\nA Druid in Harrogath! Have things truly \ncome to this?\n \nAfter the Mage Wars, I assumed Druids \nwould never be seen in Harrogath \nagain. You take a big chance coming \nhere! \n \nTo be honest, I have never been \ncomfortable with your shape-shifting \nkind, but I do respect your search for \nbalance and peace. So, if you trust us \nenough to enter our gates, I trust you \nenough to let you stay.\n \nI am Qual-Kehk, the Senior Man-At-Arms \nof Harrogath.\n \nYou have the look of a warrior...An \nextra soldier will be useful. But don't \nexpect anyone to mourn if you get \nyourself killed. \n \nBaal is true to his namesake. He has \nravaged through our lands like a \nmerciless plague.\n \nThe protective ward laid down by our \nlost Elders helps hold the evil at bay, \nbut Baal's siege has taken its toll all \nthe same.\n \nMost of my men are now dead. Others \nare trapped in the mountain passes.\n \nBut I swear we are not beaten yet! We \nwill fight to the end to protect this \nmountain!\n
QualKehkAct5IntroGossip1	45\nI am Qual-Kehk, the Senior Man-At-Arms \nof Harrogath.\n \nYou have the look of a warrior...An \nextra soldier will be useful. But don't \nexpect anyone to mourn if you get \nyourself killed. \n \nBaal is true to his namesake. He has \nravaged through our lands like a \nmerciless plague.\n \nThe protective ward laid down by our \nlost Elders helps hold the evil at bay, \nbut Baal's siege has taken its toll all \nthe same.\n \nMost of my men are now dead. Others \nare trapped in the mountain passes.\n \nBut I swear we are not beaten yet! We \nwill fight to the end to protect this \nmountain!\n
QualKehkAct5IntroPalGossip1	42\nA Paladin! I have long heard of your \npeople.\n \nAs a young warrior I even considered \nthe pilgrimage to Kurast. But I was \nyounger then and foolish. My place has \nalways been here -- protecting \nHarrogath, and Mount Arreat with it.\n \nI am Qual-Kehk, the Senior Man-At-Arms \nof Harrogath.\n \nYou have the look of a warrior...An \nextra soldier will be useful. But don't \nexpect anyone to mourn if you get \nyourself killed. \n \nBaal is true to his namesake. He has \nravaged through our lands like a \nmerciless plague.\n \nThe protective ward laid down by our \nlost Elders helps hold the evil at bay, \nbut Baal's siege has taken its toll all \nthe same.\n \nMost of my men are now dead. Others \nare trapped in the mountain passes.\n \nBut I swear we are not beaten yet! We \nwill fight to the end to protect this \nmountain!\n
QualKehkGossip1	67\nIt would be an honor to have a warrior \nof the Light fighting side-by-side with \nmy men.\n \nI can see your faith gives you great \nstrength, Paladin, but don't expect it to \nkeep you out of harm's way.\n
QualKehkGossip2	61\nHarrogath has great need of your \npowers, noble Druid. However, in the \nface of this supernatural onslaught, \nare your natural powers up to the \ntask?\n
QualKehkGossip3	44\nThe death of Malah's son was a great \ntragedy. He was our finest archer.\n \nWhile leading a successful campaign \nagainst Baal's forces, he was impaled \non a demon's spear. The wound was \nsuch that...Well, even Malah herself \nacknowledges that quick death was a \nblessing.\n
QualKehkGossip4	57\nWe have lost many well-trained warriors \nto Baal's siege machines. Their range is \ngreat. Though, they are vulnerable if \nyou close the distance quickly enough.\n
QualKehkGossip5	96\nBaal's legions seem countless, but \nslaying their commanders takes some \nof the fight out of them.\n
QualKehkGossip6	58\nEarly on, parties of our best scouts \nwere ambushed by demons that \nspawned from the very air around \nthem. Survivors often mentioned a \nstrange creature floating in the \ndistance.\n \nPerhaps taking it down could prevent \nsome nasty surprises.\n
QualKehkGossip7	57\nThis is unlike any battle I have ever \nfought. While we ration food and \nwater, the demon hordes feast nightly \non the flesh and blood of our dead.\n
QualKehkGossip8	48\nLarzuk is a talented blacksmith, but his \nhead is full of some strange ideas. \n \nJust the other day he came to me with a \nplan to break the siege. He wanted to \nfill large pipes with exploding powders \nand steel balls, then...Well, like I said, \nstrange.\n
QualKehkGossip9	46\nOur Elders were wise leaders in more \npeaceful times, but now the survival of \nour people has fallen to me. My men \nand I will fight to the death, but there's \nno way to ensure the outcome.\n \nI used to believe that nothing could \nbreak through our guard and assault \nthe holy mountain. I know now that I \nwas horribly mistaken.\n
Quantum	Quantum
Quaoar	Quaoar
Que-Hegan's Wisdon	Que-Hegan's Wisdom
Que-hegan's Wisdom	Que-Hegan's Wisdom
QueHeganElite	Que-Hegan
Queen of Glass	Queen of Glass
QueenOfTheNight	Midnight Fairy
Quick Strike	Quick Strike
Quietus	Quietus
QuillBear	Quill Bear
QuillBearZ	Quill Bear
QuillRat	Quill Rat
Quimbanda	Quimbanda
Quixotic	Quixotic
Quov Tsin's Fall	Quov Tsin's Fall
QuovTsinMNX	Quov Tsin
QuovTsinUber	Quov Tsin
QuovTsinsTalisman	Quov Tsin's Talisman
R0+	\orange;Trinity Shrine (10)
R0+S	\orange;Trinity Vessel
R1+	\orange;Trinity Shrine (9)
R2+	\orange;Trinity Shrine (8)
R3+	\orange;Trinity Shrine (7)
R4+	\orange;Trinity Shrine (6)
R5+	\orange;Trinity Shrine (5)
R6+	\orange;Trinity Shrine (4)
R7+	\orange;Trinity Shrine (3)
R8+	\orange;Trinity Shrine (2)
R9+	\orange;Trinity Shrine (1)
REAN_CorrArcher	Corruptor Archer
REAN_EdyremSpirit	Edyrem
RGoreCrawler	Gore Crawler
RPrimus	Lord Primus
RWCut	Cut
RWFlame	Flame
RWMinefield	Minefield
Ra	Ra
Rabbit Slayer	Rabbit Slayer
Rabbit's Foot	Rabbit's Foot
Radament	Radament
Radiance	Radiance
Radimant's Sphere	Radament's Sphere
Raging	Raging
Rahab	Rahab
Raid	Raid
Raiden's Crutch	Raiden's Crutch
RaiderA	Raider
RainQ	Rain
Rainbow	Rainbow
Rainbow Facet	Rainbow Facet
RainbowFury	Rainbow Fury
RainbowHunter	Rainbow Hunter
RainbowMaiden	Rainbow Maiden
Rainbowcleave	Rainbowcleave
Raindance	Raindance
Raises Fallen	Raises Fallen
Raises Fetishes	Raises Fetishes
Raises Undead	Raises Undead
Rakanishu	Rakanishu
Rakescar	Rakescar
RakkisBenediction	Rakkis' Benediction
Ram	Ram
RamX	Ram
Ramcharge	Ramcharge
Rampagor	Rampagor
RangersDisguise	Ranger's Disguise
Rangplev	Yards per Level
RankX	Rank
Raptor	Raptor
Raptor Beak	Raptor Beak
RaptorScytheSU3	Prowler's Slash
RareFormat	%0 %1
RasAlgethi	Ras Algethi
RatMan	Rat Man
RatManShaman	RatMan Shaman
Ratbane	Ratbane
RateFireplev	Rate of Fire per Level
Ratfink	Ratfink
RatfinkRean	Ratfink
Rathma Square	Rathma Square
RathmaPriest	Rathma Priest
RathmaPrimus	Lord Primus
Rathmas Blessing	Rathma's Blessing
RathmasSupremacy2	Rathma's Supremacy
Rattenfanger	Rattenfanger
Rattlecage	Rattlecage
Rattus	Rattus
Raudna	Raudna
Raven	Raven
Raven Frost	Raven Frost
RavenFlockZ	Ravenflock
Ravenbeak	Ravenbeak
RaveningBeast	\orange;Ravening Beast
Ravenlore	Ravenlore
RazorBeast	Razor Beast
RazorPitDemon	Cliff Lurker
RazorSpine	Razor Spine
RazorSting	Razor Sting
RazorUM	Razor
Razordisk	Razordisk
Razoredge	Razor's Edge
RazorfurTitan	Razor Fur Titan
Razorjack	Razorjack
Razorspine	Razorspine
Razorswitch	Razorswitch
Razortail	Razortail
Razortine	Razortine
Realgar	Realgar
Realm of Lies	Realm of Lies
Realm of Sin	Realm of Sin
ReanimateParrot	Parrot (Critter)
ReanimatedHorde	Reanimated Horde
ReaperM	Reaper
Reapers	Reapers
ReapersHand	Reaper's Hand
Rebel	Rebel
Reclusive	Reclusive
Red	Red
Red Vex	Red Vex
RedStorm	Red Storm
ReflexBowSU3	Ranger's Path
Rei Di Gelo	Rei Di Gelo
Rename Instruct	with your character's name\nSelect an item to personalize
Repair	Repair cost: 
Repulsive	Repulsive
ResMagineer	Magineer
RescueCainAma	Deckard Cain, go to the Rogues' camp without delay!
RescueCainAss	Cain! Go to the Rogue camp.
RescueCainBar	Deckard Cain, you've got to get out of here!
RescueCainDru	Deckard Cain, leave this place!
RescueCainNec	Deckard Cain, if you value your life, leave here immediately.
RescueCainPal	Deckard Cain, leave quickly!
RescueCainSor	Deckard Cain, get to the Rogue camp!
RescueQual-KehkAct5Ams	Follow me.
RescueQual-KehkAct5Ass	Follow me.
RescueQual-KehkAct5Bar	Follow me.
RescueQual-KehkAct5Dru	Follow me.
RescueQual-KehkAct5Nec	Follow me.
RescueQual-KehkAct5Pal	Follow me.
RescueQual-KehkAct5Sor	Follow me.
Resheph	Resheph
Resiliant	Resilient
Resonant	Resonant
Retribution	Retribution
Returned	Returned
ReturnedArcher	Returned Archer
ReturnedMage	Returned Mage
Rex Deus	Rex Deus
Rhea	Rhea
Ribcracker	Ribcracker
Rift	Rift
Riftlash	Riftlash
Riftslash	Riftslash
Riftwraith the Cannibal	Riftwraith the Cannibal
RightClicktoOpen	Right Click to Open
RightClicktoRead	Right Click to Read
RightClicktoUse	Right Click to Use
Rigid Highlands	Frigid Highlands
Rimeraven	Raven Claw
RingOfDisengage	Ring of Disengagement
RingOfMourning	Ring of Mourning
RingOfTruth	Ring of Truth
RingofRegha	Ring of Regha
Rings	Rings
Riot	Riot
Riphook	Riphook
RipperX	Ripper
Ripsaw	Ripsaw
Ripstar	Ripstar
Riptide	Riptide
Rite of Passage	Rite of Passage
River of Flame	River of Flame
RiverStalkerHead	River Stalker
RiverStalkerLimb	River Stalker
Rixots Keen	Rixot's Keen
Robe	Robe
Robe of Leaves	Robe of Leaves
Robe of Steel	Robe of Steel
Robin's Yolk	Robin's Yolk
Robineye	Robineye
Robust	Robust
Roc	Roc
RockDweller	Rock Dweller
RockMaulDemon	Rock Maul Demon
RockPIle	Rock Pile
RockQ	Rock
RockWorm	Rock Worm
RockWormEgg	Rock Worm Egg
RockWormQueen	Rock Worm Queen
RockWormYoung	Rock Worm Young
RocketX	Rocket
Rockfleece	Rockfleece
Rockhew	Rockhew
Rockshatter	Rockshatter
Rockstopper	Rockstopper
Rocky Summit	Arreat Summit
Rocky Waste	Rocky Waste
Rod	Rod
RodeosHide	Rodeo's Hide
RodeosTramplers	Rodeo's Tramplers
Rogue	Rogue
Rogue Encampment	Rogue Encampment
RogueCorpse	Dead Rogue
RogueForesight	Rogue Foresight
RogueScout	Rogue Scout
RogueSignpostGossip1	90\nTurn back! I can tell that you need more \nexperience to fight safely in the next \nwilderness.\n
RogueSignpostGossip2	46\nHalt! You should complete Akara's quest \nbefore venturing further. Search for \nthe Den in the wilderness closer to \ncamp.\n
RogueSignpostGossip3	116\nBeware! The evil is strong ahead.\n
RogueSignpostGossip4	92\nBeware! Beyond lies mortal danger for \nthe likes of you!\n
RogueSignpostGossip5	88\nTake care! The Corrupted Rogues in the \nwilderness ahead are not to be trifled \nwith.\n
RondacheSU3	Phoenix Ash
Rose	Rose
Rose Branded	Rose Branded
Rot	Rot
RotWalker	Rot Walker
Rota Solaris	Rota Solaris
Rotting	Rotting
Rotundjere	Rotundjere
Royal	Royal
Royal Circlet	Royal Circlet
RoyalGuard	Rakkis Guardsman
Ruby	Ruby
Rude	Rude
Rugged	Rugged
Ruined Fane	Ruined Fane
Ruined Temple	Ruined Temple
Ruins of Ureh	Ruins of Ureh
Rule	Rule
RunOff	Walk
RunOn	Run
Rune	Rune
RuneQuote	'
Runeflesh	Runeflesh
Runemaster	Rune Master
Runeshatter	Runeshatter
Runeslayer	Rune Slayer
Runeword1	Ancients' Pledge
Runeword10	Brand
Runeword100	Penitence
Runeword101	Peril
Runeword102	Pestilence
Runeword103	Phoenix
Runeword104	Piety
Runeword105	Pillar of Faith
Runeword106	Plague
Runeword107	Praise
Runeword108	Prayer
Runeword109	Pride
Runeword11	Breath of the Dying
Runeword110	Principle
Runeword111	Prowess in Battle
Runeword112	Prudence
Runeword113	Punishment
Runeword114	Purity
Runeword115	Question
Runeword116	Radiance
Runeword117	Rain
Runeword118	Reason
Runeword119	Red
Runeword12	Broken Promise
Runeword120	Rhyme
Runeword121	Rift
Runeword122	Sanctuary
Runeword123	Serendipity
Runeword124	Shadow
Runeword125	Shadow of Doubt
Runeword126	Silence
Runeword127	Siren's Song
Runeword128	Smoke
Runeword129	Sorrow
Runeword13	Call to Arms
Runeword130	Spirit
Runeword131	Splendor
Runeword132	Starlight
Runeword133	Stealth
Runeword134	Steel
Runeword135	Still Water
Runeword136	Sting
Runeword137	Stone
Runeword138	Storm
Runeword139	Strength
Runeword14	Chains of Honor
Runeword140	Tempest
Runeword141	Temptation
Runeword142	Terror
Runeword143	Thirst
Runeword144	Thought
Runeword145	Thunder
Runeword146	Time
Runeword147	Tradition
Runeword148	Treachery
Runeword149	Trust
Runeword15	Chance
Runeword150	Truth
Runeword151	Unbending Will
Runeword152	Valor
Runeword153	Vengeance
Runeword154	Venom
Runeword155	Victory
Runeword156	Voice
Runeword157	Void
Runeword158	War
Runeword159	Water
Runeword16	Chaos
Runeword160	Wealth
Runeword161	Whisper
Runeword162	White
Runeword163	Wind
Runeword164	Wings of Hope
Runeword165	Wisdom
Runeword166	Woe
Runeword167	Wonder
Runeword168	Wrath
Runeword169	Youth
Runeword17	Crescent Moon
Runeword170	Zephyr
Runeword18	Darkness
Runeword19	Daylight
Runeword2	Armageddon
Runeword20	Death
Runeword21	Deception
Runeword22	Delirium
Runeword23	Desire
Runeword24	Despair
Runeword25	Destruction
Runeword26	Doom
Runeword27	Dragon
Runeword28	Dread
Runeword29	Dream
Runeword3	Authority
Runeword30	Duress
Runeword31	Edge
Runeword32	Elation
Runeword33	Enigma
Runeword34	Enlightenment
Runeword35	Envy
Runeword36	Eternity
Runeword37	Exile
Runeword38	Faith
Runeword39	Famine
Runeword4	Beast
Runeword40	Flame
Runeword41	Fortitude
Runeword42	Fortune
Runeword43	Friendship
Runeword44	Fury
Runeword45	Gloom
Runeword46	Glory
Runeword47	Grief
Runeword48	Hand of Justice
