index	code	enabled	rarity	lvl	lvl req	type	category	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	(S)StrName	chrtransform	invtransform	carry1	nolimit	cost mult	cost add	flippyfile	invfile	dropsound	dropsfxframe	usesound	(S)legacy	(S)updateitem	version	ladder	*eol
Astrogha's Eye	1@N	1	10	7	5	Parma (Grade 1)	Tiered Unique	sock		1	1	ac%		12	29	heal-melee		3	5	slow-thorns-r		3	5	reanimate	2212	2	3	dmg-demon		16	25																										blac	blac		1	5	5000										0
Astrogha's Eye	2@N	1	10	22	14	Parma (Grade 2)	Tiered Unique	sock		2	2	ac%		30	46	heal-melee		6	8	slow-thorns-r		6	8	reanimate	2212	3	4	dmg-demon		26	35																										blac	blac		1	5	5000										0
Astrogha's Eye	3@N	1	10	37	22	Parma (Grade 3)	Tiered Unique	sock		3	3	ac%		47	63	heal-melee		9	11	slow-thorns-r		9	11	reanimate	2212	4	5	dmg-demon		36	45																										blac	blac		1	5	5000										0
Astrogha's Eye	4@N	1	10	51	31	Parma (Grade 4)	Tiered Unique	sock		3	3	ac%		64	80	heal-melee		12	14	slow-thorns-r		12	14	reanimate	2212	5	6	dmg-demon		46	55																										blac	blac		1	5	5000										0
Astrogha's Eye	5@N	1	10	66	40	Parma (Grade 5)	Tiered Unique	sock		4	4	ac%		81	97	heal-melee		15	17	slow-thorns-r		15	17	reanimate	2212	6	7	dmg-demon		56	65																										blac	blac		1	5	5000										0
Astrogha's Eye	6@N	1	10	81	49	Parma (Grade 6)	Tiered Unique	sock		4	4	ac%		98	114	heal-melee		18	20	slow-thorns-r		18	20	reanimate	2212	7	8	dmg-demon		66	75																										blac	blac		1	5	5000										0
Norrex Targe	7@N	1	20	120	100	Parma (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	heal-hit		2	2	dmg-max		38	38	att-skill	451	15	16	dmg-ac		-150	-150	block		1	1	heal-kill		101	150	reanimate	2297	3	3	ease		-66	-66	att-skill	789	5	27						blac	blac		1	5	5000										0
New7DigitronicSlicer	7@N	1	8	120	100	Parma (Sacred(2))	Sacred(2) Unique	sock		4	4	ac%		115	143	hp-minion		100	100	swing3		100	100	dmg-minion		150	150	res-all-minion		50	50	ignore-ac		1	1	slow		10	10	uninterrupt		50	50	ass		4	5	att-skill	144	50	20						lgrn	cgrn		1	5	5000										0
ParmaSU3	7@N	1	1	120	100	Parma (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		144	171	oskill	375	1	1	heal-hit		1	1	crush		8	8	move3		20	25	swing3		25	25	allskills		1	1	res-all		10	15	str%		20	20	block		1	1	ease		25	25		dblu	dblu		1	5	5000										0
Dragonfire	08!	1	10	10	8	Phoenix Shield (Grade 1)	Tiered Unique	sock		1	1	ac%		15	29	extra-fire		6	8	cast3		5	5	hp		51	75	enr		16	25	vit		16	25	hp-minion		16	20																		cred	cred		1	5	5000										0
Dragonfire	09!	1	10	25	17	Phoenix Shield (Grade 2)	Tiered Unique	sock		2	2	ac%		30	43	extra-fire		8	10	cast3		5	5	hp		76	100	enr		26	35	vit		26	35	hp-minion		21	25																		cred	cred		1	5	5000										0
Dragonfire	10!	1	10	40	25	Phoenix Shield (Grade 3)	Tiered Unique	sock		3	3	ac%		44	57	extra-fire		11	13	cast3		10	10	hp		101	125	enr		36	45	vit		36	45	hp-minion		26	30																		cred	cred		1	5	5000										0
Dragonfire	11!	1	10	54	34	Phoenix Shield (Grade 4)	Tiered Unique	sock		3	3	ac%		58	72	extra-fire		13	15	cast3		10	10	hp		126	150	enr		46	55	vit		46	55	hp-minion		31	35																		cred	cred		1	5	5000										0
Dragonfire	12!	1	10	69	43	Phoenix Shield (Grade 5)	Tiered Unique	sock		4	4	ac%		72	86	extra-fire		16	18	cast3		15	15	hp		151	175	enr		56	65	vit		56	65	hp-minion		36	40																		cred	cred		1	5	5000										0
Dragonfire	13!	1	10	84	52	Phoenix Shield (Grade 6)	Tiered Unique	sock		4	4	ac%		87	100	extra-fire		18	20	cast3		15	15	hp		176	200	enr		66	75	vit		66	75	hp-minion		41	45																		cred	cred		1	5	5000										0
The Tannr Scutum	14!	1	20	120	100	Phoenix Shield (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	pierce-fire		22	28	ama		3	4	str%		21	25	enr%		21	25	dex%		21	25	res-fire		31	40	res-ltng		31	40	res-pois		31	40	block		1	1	oskill	1003	26	29		oran	oran		1	5	5000										0
NewPhoenixDown	14!	1	8	120	100	Phoenix Shield (Sacred(2))	Sacred(2) Unique	sock		6	6	ama		2	2	block		1	1	cast3		50	50	extra-fire		21	25	extra-pm		21	25	regen		1000	1000	vit		150	150	heal-thorns		100	100	oskill	1003	5	9										dred	dred		1	5	5000										0
PhoenixShieldSU3	14!	1	1	120	100	Phoenix Shield (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		144	171	oskill	609	3	8	red-dmg%		-15	-15	ac		500	500	cast3		25	25	ama		1	2	res-all		15	15	light		3	3	enr%		15	20	ease		50	50						dgld	dgld		1	5	5000										0
Death Pit Stake	141	1	10	16	10	Pike (Grade 1)	Tiered Unique	sock		2	2	dex-add	76	76	76	dmg%		35	57	pois-min		16	32	pois-max		32	64	pois-len		75	75	extra-pois		11	13	att-skill	469	15	4	res-pois-len		21	25	ease		-11	-15	pal		1	1	swing3		15	15		cgrn	cgrn		1	5	5000										0
Death Pit Stake	209	1	10	31	20	Pike (Grade 2)	Tiered Unique	sock		3	3	dex-add	76	76	76	dmg%		58	80	pois-min		32	64	pois-max		64	128	pois-len		100	100	extra-pois		13	15	att-skill	469	20	8	res-pois-len		26	30	ease		-16	-20	pal		1	2	swing3		20	20		cgrn	cgrn		1	5	5000										0
Death Pit Stake	277	1	10	46	29	Pike (Grade 3)	Tiered Unique	sock		4	4	dex-add	76	76	76	dmg%		81	103	pois-min		64	128	pois-max		128	256	pois-len		125	125	extra-pois		16	18	att-skill	469	25	12	res-pois-len		31	35	ease		-21	-25	pal		1	2	swing3		25	25		cgrn	cgrn		1	5	5000										0
Death Pit Stake	345	1	10	60	38	Pike (Grade 4)	Tiered Unique	sock		4	4	dex-add	76	76	76	dmg%		104	126	pois-min		128	256	pois-max		256	512	pois-len		150	150	extra-pois		18	20	att-skill	469	30	16	res-pois-len		36	40	ease		-26	-30	pal		1	3	swing3		30	30		cgrn	cgrn		1	5	5000										0
Death Pit Stake	413	1	10	74	47	Pike (Grade 5)	Tiered Unique	sock		5	5	dex-add	76	76	76	dmg%		126	149	pois-min		256	512	pois-max		512	1024	pois-len		175	175	extra-pois		21	23	att-skill	469	35	20	res-pois-len		41	45	ease		-31	-35	pal		2	3	swing3		35	35		cgrn	cgrn		1	5	5000										0
Death Pit Stake	481	1	10	86	55	Pike (Grade 6)	Tiered Unique	sock		6	6	dex-add	76	76	76	dmg%		149	171	pois-min		512	1024	pois-max		1024	2048	pois-len		200	200	extra-pois		23	25	att-skill	469	40	24	res-pois-len		46	50	ease		-36	-40	pal		2	4	swing3		40	40		cgrn	cgrn		1	5	5000										0
Rei Di Gelo	42@	1	20	120	100	Pike (Sacred(1))	Sacred(1) Unique	sock		6	6	dex-add	76	76	76	dmg%		172	200	dmg-norm		100	150	cold-thorns	50	1000	1000	extra-cold/lvl	12	0	0	abs-cold%		11	15	swing3		-50	-50	crush		25	25	allskills		3	5	freeze		2	4	res-cold		100	100		cblu	cblu		1	5	5000										0
NewPrideOfCaldeum	42@	1	8	120	100	Pike (Sacred(2))	Sacred(2) Unique	sock		6	6	dex-add	76	76	76	dmg%		172	200	strbonusblue		25	25	dmg-norm		75	150	swing3		50	50	oskill	815	4	6	str%		25	25	dex%		25	25	allskills		6	8	mag%		50	50	kill-skill	817	15	5		dgld	dgld		1	5	5000										0
PikeSU3	42@	1	1	120	100	Pike (Sacred(3))	Sacred(3) Unique	sock		6	6	dex-add	76	76	76	dmg%		172	200	pal		3	4	rep-dur		11	20	crush		21	25	dmg-elem-max		76	125	death-skill	501	100	36	mag%		26	38	ignore-ac		1	1	fade		1	1	howl-thorns		6	10		oran	oran		1	5	5000										0
Shadowstrike	133	1	10	4	3	Pilum (Grade 1)	Tiered Unique	sock		1	1	dex-add	51	51	51	dmg%		24	40	dmg-max		4	7	all-stats		3	5	res-fire		21	25	res-cold		21	25	kill-skill	90	15	5	levelup-skill	687	100	11														blac	blac		1	5	5000										0
Shadowstrike	201	1	10	19	12	Pilum (Grade 2)	Tiered Unique	sock		2	2	dex-add	51	51	51	dmg%		41	57	dmg-max		7	9	all-stats		6	8	res-fire		26	30	res-cold		26	30	kill-skill	90	20	11	levelup-skill	687	100	19														blac	blac		1	5	5000										0
Shadowstrike	269	1	10	34	21	Pilum (Grade 3)	Tiered Unique	sock		2	2	dex-add	51	51	51	dmg%		58	75	dmg-max		9	12	all-stats		9	11	res-fire		31	35	res-cold		31	35	kill-skill	90	25	17	levelup-skill	687	100	27														blac	blac		1	5	5000										0
Shadowstrike	337	1	10	48	30	Pilum (Grade 4)	Tiered Unique	sock		2	2	dex-add	51	51	51	dmg%		75	92	dmg-max		12	14	all-stats		12	14	res-fire		36	40	res-cold		36	40	kill-skill	90	30	23	levelup-skill	687	100	35														blac	blac		1	5	5000										0
Shadowstrike	405	1	10	63	40	Pilum (Grade 5)	Tiered Unique	sock		3	3	dex-add	51	51	51	dmg%		92	109	dmg-max		14	17	all-stats		15	17	res-fire		41	45	res-cold		41	45	kill-skill	90	35	29	levelup-skill	687	100	43														blac	blac		1	5	5000										0
Shadowstrike	473	1	10	77	49	Pilum (Grade 6)	Tiered Unique	sock		3	3	dex-add	51	51	51	dmg%		109	126	dmg-max		17	19	all-stats		18	20	res-fire		46	50	res-cold		46	50	kill-skill	90	40	35	levelup-skill	687	100	51														blac	blac		1	5	5000										0
Phantomflight	34@	1	20	120	100	Pilum (Sacred(1))	Sacred(1) Unique	sock		3	3	dex-add	51	51	51	dmg%		144	171	dmg-norm		38	63	kill-skill	387	50	29	pierce-cold		29	35	ama		3	5	kill-skill	388	5	33	enr		51	75	dex		51	75	dmg-cold		475	475	move3		50	50		dblu	dblu		1	5	5000										0
New2ScreamingSerpent	34@	1	8	120	100	Pilum (Sacred(2))	Sacred(2) Unique	sock		4	4	dex-add	51	51	51	dmg%		172	200	dmg-norm		50	100	dmg-fire		125	250	dmg-cold	50	125	250	dmg-ltng		125	250	dmg-mag		125	250	kill-skill	507	10	6	crush		3	3	swing3		40	40						lgrn	lgrn		1	5	5000										0
PilumSU3	34@	1	1	120	100	Pilum (Sacred(3))	Sacred(3) Unique	sock		3	3	dex-add		51	51	dmg%		115	143	kill-skill	451	10	36	pierce-fire		15	18	kill-skill	461	10	36	pierce-ltng		15	18	kill-skill	104	10	36	pierce-cold		15	18	heal-kill		91	100	dex%		21	25	swing3		25	25		dgld	dgld		1	5	5000										0
Dragon Tail	631	1	10	16	10	Plated Belt (Grade 1)	Tiered Unique	sock		1	1	ac%		24	40	att-skill	134	5	3	fire-min		3	4	fire-max		8	10	res-fire		16	25	dmg-stun		6	10	move3		5	5	swing3		15	15														lred	lred		1	5	5000										0
Dragon Tail	677	1	10	31	19	Plated Belt (Grade 2)	Tiered Unique	sock		2	2	ac%		41	57	att-skill	134	6	5	fire-min		4	8	fire-max		11	20	res-fire		26	35	dmg-stun		11	15	move3		10	10	swing3		20	20														lred	lred		1	5	5000										0
Dragon Tail	723	1	10	46	27	Plated Belt (Grade 3)	Tiered Unique	sock		2	2	ac%		58	75	att-skill	134	7	7	fire-min		8	15	fire-max		21	40	res-fire		36	45	dmg-stun		16	20	move3		15	15	swing3		25	25														lred	lred		1	5	5000										0
Dragon Tail	769	1	10	60	36	Plated Belt (Grade 4)	Tiered Unique	sock		2	2	ac%		75	92	att-skill	134	8	9	fire-min		16	30	fire-max		41	80	res-fire		46	55	dmg-stun		21	25	move3		20	20	swing3		30	30														lred	lred		1	5	5000										0
Dragon Tail	815	1	10	74	44	Plated Belt (Grade 5)	Tiered Unique	sock		2	2	ac%		92	109	att-skill	134	9	11	fire-min		31	60	fire-max		81	160	res-fire		56	65	dmg-stun		26	30	move3		25	25	swing3		35	35														lred	lred		1	5	5000										0
Dragon Tail	861	1	10	87	52	Plated Belt (Grade 6)	Tiered Unique	sock		2	2	ac%		109	126	att-skill	134	10	13	fire-min		61	120	fire-max		161	320	res-fire		66	75	dmg-stun		31	35	move3		30	30	swing3		40	40														lred	lred		1	5	5000										0
Asteroid Belt	@32	1	20	120	100	Plated Belt (Sacred(1))	Sacred(1) Unique	sock		2	2	ac%		144	171	str%		21	25	res-fire		36	40	getatt-skill	564	1	12	uninterrupt		21	30	getatt-skill	824	1	12	indestruct		1	1	gethit-skill	595	1	12	mag%		11	15	allskills		1	1						lgry	lgry		1	5	5000										0
New2LilithsBelt	@32	1	8	120	100	Plated Belt (Sacred(2))	Sacred(2) Unique	sock		2	2	ease		-100	-100	hit-skill	542	5	2	all-stats		-25	-25	mag%		100	100	ac%		172	200																										blac	blac		1	5	5000		invblt	item_cap		item_cap					0
PlatedBeltSU3	@32	1	1	120	100	Plated Belt (Sacred(3))	Sacred(3) Unique	sock		2	2	ac%		172	200	gold%		250	375	reanimate	1859	1	1	heal-kill		25	50	red-dmg%		5	5	allskills		1	1	move3		50	50	res-all		20	20	ease		50	50	all-stats%		5	5						blac	blac		1	5	5000										0
Iceshell	609	1	10	10	6	Plate Mail (Grade 1)	Tiered Unique	sock		2	2	ac%		24	40	getatt-skill	781	2	5	res-cold		21	25	res-cold-max		5	5	getatt-skill	798	5	4	uninterrupt		11	15	extra-cold		6	8	balance3		10	10														cblu	cblu		1	5	5000										0
Iceshell	655	1	10	25	15	Plate Mail (Grade 2)	Tiered Unique	sock		3	3	ac%		41	57	getatt-skill	781	2	10	res-cold		26	30	res-cold-max		6	6	getatt-skill	798	7	7	uninterrupt		16	20	extra-cold		8	10	balance3		15	15														cblu	cblu		1	5	5000										0
Iceshell	701	1	10	39	23	Plate Mail (Grade 3)	Tiered Unique	sock		4	4	ac%		58	75	getatt-skill	781	3	15	res-cold		31	35	res-cold-max		7	7	getatt-skill	798	9	10	uninterrupt		21	25	extra-cold		11	13	balance3		20	20														cblu	cblu		1	5	5000										0
Iceshell	747	1	10	54	32	Plate Mail (Grade 4)	Tiered Unique	sock		4	4	ac%		75	92	getatt-skill	781	3	20	res-cold		36	40	res-cold-max		8	8	getatt-skill	798	11	13	uninterrupt		26	30	extra-cold		13	15	balance3		25	25														cblu	cblu		1	5	5000										0
Iceshell	793	1	10	70	42	Plate Mail (Grade 5)	Tiered Unique	sock		5	5	ac%		92	109	getatt-skill	781	4	25	res-cold		41	45	res-cold-max		9	9	getatt-skill	798	13	16	uninterrupt		31	35	extra-cold		16	18	balance3		30	30														cblu	cblu		1	5	5000										0
Iceshell	839	1	10	84	50	Plate Mail (Grade 6)	Tiered Unique	sock		6	6	ac%		109	126	getatt-skill	781	4	30	res-cold		46	50	res-cold-max		10	10	getatt-skill	798	15	19	uninterrupt		36	40	extra-cold		18	20	balance3		35	35														cblu	cblu		1	5	5000										0
Arreat's Heart	@10	1	20	120	100	Plate Mail (Sacred(1))	Sacred(1) Unique	sock		6	6	ac%		115	143	bar		2	3	res-all-minion		11	15	res-all		21	25	all-stats		41	50	regen		250	250	att-skill	600	1	36	dmg-ltng		1	250	pierce-ltng		8	11	dmg-norm		13	38	gold%		250	250		oran	oran		1	5	5000										0
NewSkinOfKabraxis	@10	1	8	120	100	Plate Mail (Sacred(2))	Sacred(2) Unique	sock		6	6	ac		5000	5000	demon-heal		200	200	str		150	150	att-skill	518	33	29	charged	388	20	19	dmg-demon		100	100	red-dmg%		-25	-25	state	74	1	1	strbonusblue		10	10	light		-10	-10	abs-fire		100	100		blac	dred		1	5	5000										0
PlateMailSU3	@10	1	1	120	100	Plate Mail (Sacred(3))	Sacred(3) Unique	sock		6	6	ac%		144	171	att-skill	500	20	20	dmg-max		38	38	lifesteal		10	15	str		50	100	dex		50	100	regen		100	100	balance3		50	50	mag%		75	75	allskills		1	2	ease		-50	-50		dyel	dyel		1	5	5000										0
Albrecht's Heirloom	w25	1	10	4	2	Preserved Head (Grade 1)	Tiered Unique	sock		1	1	dmg-global		16	25	cold-min		1	2	cold-max		3	4	res-cold		11	25	reanimate	2207	2	3	gold%		26	38																						lblu	lblu		1	5	5000										0
Albrecht's Heirloom	w45	1	10	18	11	Preserved Head (Grade 2)	Tiered Unique	sock		2	2	dmg-global		26	35	cold-min		2	3	cold-max		4	8	res-cold		26	40	reanimate	2207	3	4	gold%		38	50																						lblu	lblu		1	5	5000										0
Albrecht's Heirloom	w65	1	10	33	20	Preserved Head (Grade 3)	Tiered Unique	sock		2	2	dmg-global		36	45	cold-min		3	5	cold-max		8	15	res-cold		41	55	reanimate	2207	5	6	gold%		51	63																						lblu	lblu		1	5	5000										0
Albrecht's Heirloom	w85	1	10	48	29	Preserved Head (Grade 4)	Tiered Unique	sock		3	3	dmg-global		46	55	cold-min		6	10	cold-max		16	30	res-cold		56	70	reanimate	2207	6	7	gold%		63	75																						lblu	lblu		1	5	5000										0
Albrecht's Heirloom	e15	1	10	62	37	Preserved Head (Grade 5)	Tiered Unique	sock		3	3	dmg-global		56	65	cold-min		11	20	cold-max		31	60	res-cold		71	85	reanimate	2207	8	9	gold%		76	88																						lblu	lblu		1	5	5000										0
Albrecht's Heirloom	e35	1	10	77	46	Preserved Head (Grade 6)	Tiered Unique	sock		4	4	dmg-global		66	75	cold-min		21	40	cold-max		61	120	res-cold		86	100	reanimate	2207	9	10	gold%		88	100																						lblu	lblu		1	5	5000										0
Trollskull	@62	1	20	120	100	Preserved Head (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	nec		2	3	regen		150	150	res-fire		-50	-50	red-dmg%		10	10	block		1	1	move3		20	20	cast3		25	25	oskill	96	5	7	ease		-33	-33						lgrn	lgrn		1	5	5000										0
NewStillborn	@62	1	8	120	100	Preserved Head (Sacred(2))	Sacred(2) Unique	sock		4	4	oskill	83	14	18	oskill	1022	14	18	mana		500	500	ac%		115	143	nec		4	4	res-all		31	40	regen		500	500	hp%		11	15	extra-pm		21	25	hp-minion		50	50						dgry	dgry		1	5	5000										0
PreservedHeadSU3	@62	1	1	120	100	Preserved Head (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		114	143	nec		0	3	extra-totems		0	1	extra-cold		1	20	mana%		1	15	pierce-cold		1	18	enr%		1	20	cast3		0	25	res-cold-max		1	10	ac		1	1000						dblu	dblu		1	5	5000										0
The War Cloak	600	1	10	1	1	Quilted Armor (Grade 1)	Tiered Unique	sock		2	2	ac%		18	29	dmg-global		16	25	openwounds		21	25	lifesteal		2	3	regen		3	5																										blac	blac		1	5	5000										0
The War Cloak	646	1	10	15	9	Quilted Armor (Grade 2)	Tiered Unique	sock		3	3	ac%		30	40	dmg-global		26	35	openwounds		26	30	lifesteal		4	5	regen		6	8																										blac	blac		1	5	5000										0
The War Cloak	692	1	10	29	18	Quilted Armor (Grade 3)	Tiered Unique	sock		4	4	ac%		41	52	dmg-global		36	45	openwounds		31	35	lifesteal		6	7	regen		9	11																										blac	blac		1	5	5000										0
The War Cloak	738	1	10	44	26	Quilted Armor (Grade 4)	Tiered Unique	sock		4	4	ac%		52	63	dmg-global		46	55	openwounds		36	40	lifesteal		8	9	regen		12	14																										blac	blac		1	5	5000										0
The War Cloak	784	1	10	58	35	Quilted Armor (Grade 5)	Tiered Unique	sock		5	5	ac%		64	75	dmg-global		56	65	openwounds		41	45	lifesteal		10	11	regen		15	17																										blac	blac		1	5	5000										0
The War Cloak	830	1	10	73	44	Quilted Armor (Grade 6)	Tiered Unique	sock		6	6	ac%		75	86	dmg-global		66	75	openwounds		46	50	lifesteal		12	13	regen		18	20																										blac	blac		1	5	5000										0
Cloak of Flames	@01	1	20	120	100	Quilted Armor (Sacred(1))	Sacred(1) Unique	sock		6	6	ac%		58	86	damage-skill	511	1	25	vit%		20	20	swing3		15	15	cast3		25	25	fire-thorns		1000	1000	pierce-fire		15	18	ease		-50	-50	enr%		20	20	enr-factor		150	150	oskill	565	5	7		cred	cred		1	5	5000										0
New2Haraigami	@01	1	8	120	100	Quilted Armor (Sacred(2))	Sacred(2) Unique	sock		6	6	ac%		115	143	regen/lvl	640	640	640	allskills		1	1	red-dmg		100	100	vit%		21	25	indestruct		1	1	gethit-skill	52	3	1	balance3		50	50														cblu	cblu		1	5	5000										0
QuiltedArmorSU3	@01	1	1	120	100	Quilted Armor (Sacred(3))	Sacred(3) Unique	sock		6	6	ac%		171	200	ac		5000	5000	reanimate	2306	1	5	reanimate	2307	1	5	reanimate	2303	1	5	reanimate	2304	1	5	reanimate	2305	1	5	ac		5000	5000														cred	cred		1	5	5000										0
Cane of Juris Khan	!08	1	10	1	1	Raptor Scythe (Grade 1)	Tiered Unique	sock		2	2	str-add		102	102	dmg%		7	29	str%		3	5	hit-skill	1002	5	4	openwounds		21	25	ac-global		11	15	extra-pois		6	8	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Cane of Juris Khan	!09	1	10	15	9	Raptor Scythe (Grade 2)	Tiered Unique	sock		3	3	str-add		102	102	dmg%		30	52	str%		6	8	hit-skill	1002	8	8	openwounds		26	30	ac-global		16	20	extra-pois		8	10	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Cane of Juris Khan	!10	1	10	30	19	Raptor Scythe (Grade 3)	Tiered Unique	sock		4	4	str-add		102	102	dmg%		52	75	str%		9	11	hit-skill	1002	11	12	openwounds		31	35	ac-global		21	25	extra-pois		11	13	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Cane of Juris Khan	!11	1	10	47	29	Raptor Scythe (Grade 4)	Tiered Unique	sock		4	4	str-add		102	102	dmg%		75	97	str%		12	14	hit-skill	1002	14	16	openwounds		36	40	ac-global		26	30	extra-pois		13	15	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Cane of Juris Khan	!12	1	10	62	39	Raptor Scythe (Grade 5)	Tiered Unique	sock		5	5	str-add		102	102	dmg%		98	120	str%		15	17	hit-skill	1002	17	20	openwounds		41	45	ac-global		31	35	extra-pois		16	18	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Cane of Juris Khan	!13	1	10	79	50	Raptor Scythe (Grade 6)	Tiered Unique	sock		6	6	str-add		102	102	dmg%		121	143	str%		18	20	hit-skill	1002	20	24	openwounds		46	50	ac-global		36	40	extra-pois		18	20	innate-impact	146	25	1														dgrn	dgrn		1	5	5000										0
Chillspine	!14	1	20	120	100	Raptor Scythe (Sacred(1))	Sacred(1) Unique	sock		6	6	str-add		102	102	dmg%		144	171	dmg-norm		63	188	att-skill	459	10	29	pierce-cold		22	35	res-cold		100	100	innate-impact	146	25	1	nec		3	5	oskill	828	8	12	swingcast3		40	40	oskill	27	14	19		cblu	cblu		1	5	5000										0
SevenHeadsOfTathamet	!14	1	8	120	100	Raptor Scythe (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add		102	102	innate-impact	146	25	1	dmg%		172	200	nec		4	4	dmg-global		151	200	reanimate	2315	1	1	pierce-all		29	35	enr		101	150	heal-melee		250	250	crush		38	38	att-skill	451	100	23		cred	cred		1	5	5000										0
RaptorScytheSU3	!14	1	1	120	100	Raptor Scythe (Sacred(3))	Sacred(3) Unique	sock		6	6	str-add	102	102	102	innate-impact	146	25	1	oskill	479	26	35	pierce-fire		28	35	pierce-cold		28	35	pierce-ltng		28	35	swing3		60	60	dmg-ltng		188	188	dmg-cold		188	188	dmg-fire		188	188	att%		250	250		blac	blac		1	5	5000										0
Thorn Branch	2@4	1	10	19	12	Recurve Bow (Grade 1)	Tiered Unique	sock		2	2	str-add		76	76	dmg%		24	46	kill-skill	302	5	1	regen-mana		21	25	dru		1	1	ac-global		11	15	howl-thorns		4	5	slow-thorns		8	10	openwounds		21	25										dgrn	dgrn		1	5	5000										0
Thorn Branch	3@4	1	10	33	21	Recurve Bow (Grade 2)	Tiered Unique	sock		3	3	str-add		76	76	dmg%		47	69	kill-skill	302	6	3	regen-mana		26	30	dru		1	2	ac-global		16	20	howl-thorns		6	7	slow-thorns		11	13	openwounds		26	30										dgrn	dgrn		1	5	5000										0
Thorn Branch	4@4	1	10	48	31	Recurve Bow (Grade 3)	Tiered Unique	sock		4	4	str-add		76	76	dmg%		69	92	kill-skill	302	7	5	regen-mana		31	35	dru		1	2	ac-global		21	25	howl-thorns		8	9	slow-thorns		14	16	openwounds		31	35										dgrn	dgrn		1	5	5000										0
Thorn Branch	5@4	1	10	63	40	Recurve Bow (Grade 4)	Tiered Unique	sock		4	4	str-add		76	76	dmg%		92	114	kill-skill	302	8	7	regen-mana		36	40	dru		1	3	ac-global		26	30	howl-thorns		10	11	slow-thorns		17	19	openwounds		36	40										dgrn	dgrn		1	5	5000										0
Thorn Branch	6@4	1	10	77	49	Recurve Bow (Grade 5)	Tiered Unique	sock		5	5	str-add		76	76	dmg%		115	137	kill-skill	302	9	9	regen-mana		41	45	dru		2	3	ac-global		31	35	howl-thorns		12	13	slow-thorns		20	22	openwounds		41	45										dgrn	dgrn		1	5	5000										0
Thorn Branch	7@4	1	10	90	58	Recurve Bow (Grade 6)	Tiered Unique	sock		6	6	str-add		76	76	dmg%		138	160	kill-skill	302	10	11	regen-mana		46	50	dru		2	4	ac-global		36	40	howl-thorns		14	15	slow-thorns		23	25	openwounds		46	50										dgrn	dgrn		1	5	5000										0
Fiacla-Gear's Wisdom	8@4	1	20	120	100	Recurve Bow (Sacred(1))	Sacred(1) Unique	sock		6	6	str-add		76	76	dmg%		144	171	dru		3	5	dmg-fire		500	625	dmg-cold	50	500	625	slow		33	33	swing3		40	40	balance3		100	100	cheap		11	15	gold%		-13	-13	dmg-norm		38	88		oran	oran		1	5	5000										0
Mr Painless	8@4	1	8	120	100	Recurve Bow (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add		76	76	dmg%		144	171	dmg-norm		25	150	hit-skill	914	25	31	swing3		40	40	dru		4	4	motw-elem		16	20	slow		21	25	str		100	100	red-dmg%		10	10						dgry	dgry		1	5	5000										0
RecurveBowSU3	8@4	1	1	120	100	Recurve Bow (Sacred(3))	Sacred(3) Unique	sock		6	6	str-add		76	76	hit-skill	385	1	13	att%		100	150	dru		1	2	slow		20	30	swing3		30	30	dmg-norm		38	63	dmg%		171	200	heal-kill		50	100	mag%/lvl	25	0	0						dgrn	dgrn		1	5	5000										0
Herald of Skartara	j16	1	10	18	11	Reflex Bow (Grade 1)	Tiered Unique	sock		2	2	dex-add	76	76	76	dmg%		35	57	dmg-min		8	13	dmg-max		16	23	gold%		16	25	swing3		15	15	kill-skill	496	2	3	uninterrupt		11	15	oskill	815	1	2	kill-skill	303	2	3						lyel	lyel		1	5	5000										0
Herald of Skartara	j33	1	10	32	20	Reflex Bow (Grade 2)	Tiered Unique	sock		3	3	dex-add	76	76	76	dmg%		58	80	dmg-min		13	18	dmg-max		23	30	gold%		26	35	swing3		20	20	kill-skill	496	2	5	uninterrupt		16	20	oskill	815	3	4	kill-skill	303	2	5						lyel	lyel		1	5	5000										0
Herald of Skartara	j50	1	10	47	30	Reflex Bow (Grade 3)	Tiered Unique	sock		4	4	dex-add	76	76	76	dmg%		81	103	dmg-min		18	23	dmg-max		31	38	gold%		36	45	swing3		25	25	kill-skill	496	3	7	uninterrupt		21	25	oskill	815	5	6	kill-skill	303	3	7						lyel	lyel		1	5	5000										0
