index	set	item	*item	rarity	lvl	* Laz / comments	lvl req	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	*eol
ZeraesVindication	MSZeraes Divinity	21!	Setzschild (Sacred)	30	1		90	ac%		172	200	red-dmg%		11	15	block		0	1	extra-ltng		21	25	block3		25	25	gethit-skill	38	15	1	dmg-ltng		1	150																																																	lyel	lyel						5	5000		0
ZeraesRedemption	MSZeraes Divinity	@10	Plate Mail (Sacred)	30	1		90	ac%		140	170	ac		1000	1000	ease		-25	-25	dex%		26	30	enr%		26	30	oskill	423	18	25	hp		101	200	lifesteal		11	15																																													lyel	lyel						5	5000		0
ZeraesHolyWrath	MSZeraes Divinity	32@	War Scepter (Sacred)	30	1		90	dmg%		140	170	ama		1	3	dmg-norm		63	125	crush		5	5	heal-kill		51	100	kill-skill	680	5	50																																																					lyel	lyel						5	5000		0
MarchosiasHatred	MREssence	@31	Heavy Belt (Sacred)	30	1		90	str%		6	10	att-skill	475	5	3	ac%		144	171	hp-minion		51	100	crush		3	3	dmg-global		91	100																																																					dred	dred						5	5000		0
MarchosiasMight	MREssence	@14	Full Plate Mail (Sacred)	30	1		90	str%		6	10	att-skill	475	5	3	ac%		144	171	str		151	200	uninterrupt		41	50	dmg-max		50	50	ac		1000	1000	ease		100	100																																													dred	dred						5	5000		0
MarchosiasEvilGrin	MREssence	@51	Spirit Mask (Sacred)	30	1		90	str%		6	10	att-skill	475	5	3	ac%		172	200	dru		0	1	ac-global		51	60	mana%		10	10	hit-skill	542	5	5																																																	dred	dred						5	5000		0
MarchosiasDeception	MSUnusedLol	xx					666																																																																													dred	dred						5	5000		0
MarchosiasAnger	MREssence	06@	Long Sword  (Sacred)	30	1		90	dmg%		140	170	att-skill	475	10	3	att%		151	200	heal-hit		1	1	dru		4	6	dmg-norm		63	100	str%		11	20																																																	dred	dred						5	5000		0
TWSteppeSleeper	MSTundra Walker	@38	Boots (Sacred)	30	1		80	ease		-100	-100	bar		1	1	str%		31	40	extra-cold		21	30	skill	352	3	7																																																									dblu	dblu						5	5000		0
TWAncientBronze	MSTundra Walker	@45	Mask (Sacred)	30	1		80	mag%		11	13	pierce-cold		14	15	att%		51	75	bar		0	1	dmg-max		13	13	uninterrupt		16	20	ac%		115	143																																																	dblu	dblu						5	5000		0
TWSnowSilver	MSUnusedLol	xx					666																																																																													dblu	dblu						5	5000		0
TWGreyRanger	MSTundra Walker	08@	Two-Handed Sword (Sacred)	30	1		80	dmg%		172	200	dmg-cold	25	250	375	dmg-max		75	75	str		101	150	kill-skill	702	3	31	hp		100	100																																																					dblu	dblu						5	5000		0
TWValeHunter	MSTundra Walker	!34	Hammerhead Axe (Sacred)	30	1		80	dmg%		140	170	swing3		25	25	dmg-norm		100	150	crush		5	5	kill-skill	702	3	29	hp		-100	-100	bar		2	3																																																	dblu	dblu						5	5000		0
MRLirianMoon	MSUnusedLol	xx					666																																																																													dgrn	dgrn						5	5000		0
MRTrickster	MSOrchard	@64	Unraveller Head (Sacred)	30	1		90	ac%		100	150	block		1	1	cast3		20	20	red-dmg%		10	10	extra-pois		16	30	pierce-pois		16	20	skill	648	9	16																																																	dgrn	dgrn						5	5000		0
MRGiyuaSacrum	MSOrchard	@46	Bone Helm (Sacred)	30	1		90	ac%		80	120	heal-kill		21	25	nec		0	1	ease		-40	-50	hp		151	200	extra-fire		16	20	ac-global		101	150																																																	dgrn	dgrn						5	5000		0
MRDragonGrave	MSOrchard	@13	Gothic Plate (Sacred)	30	1		90	ac%		140	170	nec		2	2	enr		11	20	ac		500	500	str		100	100	dex		100	100	enr		100	100																																																	dgrn	dgrn						5	5000		0
MRSkullProphet	MSOrchard	69@	Wand (Sacred)	30	1		90	nec		2	4	block		1	1	gold%		51	63	heal-kill		101	105	extra-pois		31	50																																																									dgrn	dgrn						5	5000		0
MSQuantumBevel	MSUniversalLaw	@37	Gauntlets (Sacred)	30	1		80	ac%		140	170	ease		-40	-40	mag%		16	20	enr		100	100	mana%		11	15	extra-pm		16	20																																																					blac	blac						5	5000		0
MSDeadLens	MSUniversalLaw	3@P	Totem Shield (Sacred)	30	1		80	ac%		100	150	block		1	1	block3		31	40	enr		100	100	dex%		21	25	vit		21	25																																																					blac	blac	invbshu					5	5000		0
MSWorldLine	MSUnusedLol	xx					666																																																																													blac	blac						5	5000		0
MSHypersurface	MSUniversalLaw	@02	Leather Armor (Sacred)	30	1		80	ac%		172	200	ease		-40	-40	heal-kill		101	150	enr		200	200	ac		2000	2000	res-all		77	77	hp		401	500																																																	blac	blac						5	5000		0
MSKillingVector	MSUniversalLaw	93@	Cestus (Sacred)	30	1		80	ass		1	3	cast3		21	30	enr		200	200	extra-pm		16	20	skill	330	9	16	enr-factor		33	55																																																					blac	blac	invaxfu					5	5000		0
M_Conqueror	M_HeadHunter	@21	Crown (Sacred)	4	130		120	ac%		171	200	ac		3333	3333	res-mag		2	5	dmg-norm		25	50	allskills		1	1	pierce-all		11	15	gold%		21	25																																																	dgld	dgld						5	5000		0
M_Fortune	M_HeadHunter	amu	Amulet	2	130		120	allskills		1	2	extra-all		11	30	dmg-global		41	80	block		-1	-1	all3		25	25	hp%-mp%		10	10	aura	1512	1	1																																																	dgld	dgld	invamugl					5	5000		0
M_InariusBlade	M_Nephalems	06@	Long Sword  (Sacred)	10	115		100	move3		25	25	swing3		75	75	dmg-norm		75	125	block		-2	-2	dmg%		141	170	str%		21	30	crush		11	15	lifesteal		11	15																																													dgld	dgld						5	5000		0
M_LilithsCover	M_Nephalems	@25	Kite Shield (Sacred)	10	120		100	dmg-norm		30	50	str		26	50	hp-edyrem		51	100	ac%		141	170	vit		21	50	red-dmg%		5	5	syn2	773	1	1	desc-top	11436	9	9																																													dgld	dgld						5	5000		0
M_Worldstone	M_Nephalems	@10	Plate Mail (Sacred)	10	115		100	allskills		1	3	all3		25	25	hp-edyrem		51	100	ac%		141	170	reanimate	1150	2	5	hp%		11	15	ease		50	50																																																	dgld	dgld						5	5000		0
M_WisdomEye1	M_Thunderstorm	amu	Amulet	7	123	ama	100	class-restrict		1	1	ama		1	2	hp		101	500	heal-kill		50	50																					oskill	1068	1	1	pierce-ltng		33	33																																	blac	blac	invamuset					5	5000	2	0
M_ChargedCloud	M_Thunderstorm	14!	Phoenix Shield (Sacred)	10	119	ama	100	ac%		141	170	block		0	1	allskills		1	2	extra-ltng		11	25	ease		-15	-15	move3		10	10																																																					dgld	dgld						5	5000	2	0
M_WisdomEye2	M_BattleDevices	amu	Amulet	10	123	ass	100	class-restrict		7	7	ass		1	2	hp		101	500	heal-kill		50	50																					hit-skill	540	4	7	oskill	884	20	20																																	blac	blac	invamuset					5	5000	2	0
M_DeathMagnet	M_BattleDevices	@01	Quilted Armor (Sacred)	30	119	ass	100	ac		1001	1500	ass		0	1	red-dmg%		5	5	all-stats		11	40	skill	330	11	16	cast3		15	15																																																					blac	blac						5	5000	2	0
M_WisdomEye3	M_GuardianRogue	amu	Amulet	10	123	bar	100	class-restrict		5	5	bar		1	2	hp		101	500	heal-kill		50	50																					vit%		15	15	stam		20	20																																	blac	blac	invamuset					5	5000	2	0
M_ImperialGuard	M_GuardianRogue	@55	Assault Helmet (Sacred)	30	119	bar	100	att%		51	100	lifesteal		6	15	allskills		1	2	ac%		111	140	vit%		6	15	pierce-cold		10	10																																																					lyel	lyel						5	5000	2	0
M_WisdomEye4	M_OakTeaching	amu	Amulet	10	123	dru	100	class-restrict		6	6	dru		1	2	hp		101	500	heal-kill		50	50																					extra-pois		20	20	oskill	67	25	25																																	blac	blac	invamuset					5	5000	2	0
M_Apprentice	M_OakTeaching	@47	Wolf Head (Sacred)	30	119	dru	100	extra-pois		21	25	ac%		141	170	hp%		6	10	str%		11	15	pierce-pois		10	10																																																									dgrn	dgrn						5	5000	2	0
M_WisdomEye5	M_TheOffering	amu	Amulet	10	123	nec	100	class-restrict		3	3	nec		1	2	hp		101	500	heal-kill		50	50																					allskills		2	2	dmg-norm		10	20																																	blac	blac	invamuset					5	5000	2	0
M_SacrificialMind	M_TheOffering	@20	Great Helm (Sacred)	30	119	nec	100	dmg-global		31	50	ac%		141	170	str		31	50	dex		31	50	crush		6	15																																																									blac	blac						5	5000	2	0
M_WisdomEye6	M_Armageddon	amu	Amulet	8	123	pal	100	class-restrict		4	4	pal		1	2	hp		101	500	heal-kill		50	50																					oskill	699	17	17	pierce-fire		15	15																																	blac	blac	invamuset					5	5000	2	0
M_Witness	M_Armageddon	@14	Full Plate Mail (Sacred)	20	119	pal	100	ac%		171	200	extra-fire		31	40	allskills		1	2	pierce-fire		6	10	mana		101	500	cast3		31	45																																																					dred	dred						5	5000	2	0
M_WisdomEye7	M_Wintertide	amu	Amulet	7	123	sor	100	class-restrict		2	2	sor		1	2	hp		101	500	heal-kill		50	50																					oskill	64	15	15	pierce-cold		25	25																																	blac	blac	invamuset					5	5000	2	0
M_ArcticShard	M_Wintertide	84@	Dragon Stone (Sacred)	5	119	sor	100	allskills		4	5	extra-cold		31	40	heal-kill		51	100	pierce-cold		10	10	cast3		31	50	str%		11	20	balance3		31	50																																																	dblu	dblu						5	5000	2	0
M_AngelOfDeath	M_AstroghasMoon	amu	Amulet	200	123		90	allskills		0	2	extra-pois		11	30	pierce-pois		6	15	hit-skill	914	2	33																																																													blac	blac						5	5000		0
M_ViperSkin	M_AstroghasMoon	@30	Belt (Sacred)	15	120		100	pierce-pois		11	20	slow		2	5	ac%		141	170	ease		-33	-33	swing3		30	30	att%		51	75																																																					dblu	dblu						5	5000		0
M_Darkling	M_AstroghasMoon	@39	Heavy Boots (Sacred)	15	120		100	pierce-pois		6	15	ac%		141	170	move3		5	5	hp		-100	-100	allskills		0	1	extra-pois		6	15	lifesteal		7	12																																																	blac	blac						5	5000		0
