skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Mon Area Effect Quake Thing	653			Monster		20																34691				par5																				par7	damage %	0	min damage												6	radius of effect			1	damage			8																	mag																				0					siege_beast_dust	siege_beast_dust																																					h2h								A2	A2	xx				0	0	0		1	99			1		10									1						4									1																																				1																				6											1			1		0
Mon Self Weakening Nonsense	654		selfweaken	Monster		18																	akaratisgoingtodie		125			fireresist		-1000	coldresist		-1000	lightresist		-1000	poisonresist		-1000	damageresist		-1000																											8																																					0		sorceress_thunder_bolt	sorceress_thunder_bolt		crashedneonlight	crashedneonlight																																					none								SC	SC	xx				0	0	0		1	99			1		4									1															1																																																																			1					0
Wychwind II	655			UQ - Legacy of Blood		18	bwychknife									bwychknife							wychfire		50			fireresist		-1000	coldresist		-1000	lightresist		-1000	poisonresist		-1000	damageresist		-1000	magicresist		-1000								125	vulnerability duration	-5	vulnerability duration per level	0	physical resist penalty	2	physical resist penalty per level									8	96																																				0																																											rng		tkni						TH	TH	xx				0	0	0		1	99		1	1		2									1															1																																																																			1			1		0
Summon Hostile Blood Golem	656			UQ - Legacy of Blood			bloodgolemspawner									bloodgolemspawner																																																					8																																					0		sorceress_cast_fire	sorceress_cast_fire		minimushroomcast	minimushroomcast																																					none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Rathmas Unchosen	657			Monster		25																	rathmastwin		(ln12*(100+stat('profession_duration_mod'.accr)))/100			item_poisonlengthresist		100	magicmindam		ln34/2	magicmaxdam		ln34	passive_dodge		150	passive_avoid		150	passive_evade		150								125	duration			100	magic min	100	magic min per level									8																																					0	1	assassin_chargeup_tiger_1	assassin_chargeup_tiger_1		zakarumpriest_death																																						rng								SC	SC	xx				0	0	0		1	99			1		4									1											1	1			1																																																													1						1					0
Rolling Thunder	658			Monster	6	11				retaliatespawner	retaliatespawner	retaliatespawner		19			retaliatespawner	retaliatespawner	retaliatespawner																											1	spawn shockwave ?																						8	224																																				0																																											h2h		mele						A1	A1	A1			0	7	12	8		1	99		1	1		5		1							1															1																																																																			1	1	1	1		0
Unused659	659			Unused																																																																																																																																																																																																																																																																									0
Force Shout	660	sor	forceshout	SOR - Special		22				dragonshoutwave	dragonshoutwave	dragonshoutwave		25			dragonshoutwave					73731	shellshock	shellshock	ln12			damagepercent		-40	item_fastercastrate		(-1)*(10+5*(blvl-1))													30	number of missiles	0	activation frame				100	duration	10	duration per level													8																																					0					crashedneonlight																																						none								SC	SC	xx			2500	8	3000	0	(ulvl>89)?((stat('learn_blackroad'.accr)>0)?(((ulvl-90)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1):9999):9999	90	99		1	1		1					1				1															1																																																																			1			1		0
Barbaric Guiding Spirits Aura	661			Summon Skill		65															1	73731	bonusforcuddling	bonusforcuddling		18	10	damagepercent		ln12	item_fastercastrate		ln34	skill_armor_percent		par5+(stat('assassin_timer_red_pct'.accr)*par6)																	20	dmg %	4	dmg % per level	20	fcr	5	fcr per level	5	armor %	15	armor % per level					8																																					0									damagepercent		10																																none										xx				0	0	0		1	99			1		6	1																							1																																																																			1					0
Void Archon Amp Aura	662			NEC - Subskill		66															1	42371	warpfieldactive	warpfieldactive		30	50	attackrate		"min((-1)*ln12,40)"	damagepercent		-25	potion_efficiency		-50																	10	attack rate penalty	1	attack rate penalty per level													8																																					0																																											none										xx				0	0	0		1	99			1		6	1																							1																																																																			1					0
Mon Bear Claw	663		bearclaw	Monster			mon_bearbolt									mon_bearbolt																																					50	stun duration	5	stun duration per level													8	192																																				0		druid_morph	druid_morph																																								none								A1	A1	xx			0	7	40	6		1	99		1	1		2									1															1																																																																			1			1		0
Mon Stampede	664		ultimative_stampede	Monster		8				mon_monstambolt				17			mon_monstambolt	mon_monstambolt																												(ln56)/2	number of missiles	0	activation frame				0	stun duration	0	stun duration per level	10	timer per level			4	missiles	1	missiles per level					8	96	1																																			0																																											none								A1	A1	xx			0	7	140	14		1	99		1	1		1									1															1																																																																			1			1		0
Mon Rebound	665			Monster			eaglecenter									eaglecenter						42371																								ln56	number of missiles														4	targets	2	targets per level					8	160																mag																				0																																											none								A1	A1	xx			0	7	100	12		1	99		1	1		2									1															1																																																																			1			1		0
Bloodspeakers Mark	666		bloodspeakers mark	oSkill	6	11				bloodspeakerbolt	bloodspeakerbolt	bloodspeakerbolt		19			bloodspeakerbolt	bloodspeakerbolt	bloodspeakerbolt									fireresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"	coldresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"	lightresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"	poisonresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"	magicresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"				par7+((lvl-1)/par8)	number of minions spawned																		1	targets	3	levels per target	8	64																mag																				0				amazon_impale_1																							bloodspeakerpet	thunderbear	1	NU													h2h		spea			jave			A1	A1	A1			4	7	204	-4		1	99		1	1		5		1			1				1						4									1																																																												1							1	1	1	1		0
Unused667	667			Unused																																																																																																																																																																																																																																																																									0
Champions of the Sun	668		championsofthesun	oSkill		153																						magicresist		"min(dm12,75)+min((stat('minion_resist_all'.accr)),75)"	damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)													((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)	hp%	1	sum per cast				0	resist all min	200	resist all max	499	hit points	100	hit points per level	50	AR per lvl				Ranged?			5																								99	20	20	20	20	20								0		paladin_handofgod_cast	paladin_handofgod_cast		suncast				mindamage		"min(edmx,4000)"	maxdamage		"min(edmx,4000)"													ulti_champs	champspet	"(stat('passivelockout'.accr)>12)?(0):(min(lvl/2,25))"	NU	Champion Shield Aura	lvl											none								SC	SC	xx			0	8	100	12		1	99			1		0	1				1				1						4									1																																																																			1					0
Lightning Shield	669		lightningshield	oSkill		68				giftnova				25									electricshield	electricshield	par7			item_attackertakeslightdamage		edmx	lightmindam		15*syn1*lvl	lightmaxdam		25*syn1*lvl																													7500	duration	0	duration per level	3																								400	40	20	20	20	20	"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2))))*(100+(stat('passive_ltng_mastery'.accr))))/10000)-50"							0		impact_lightning_1	impact_lightning_1																																								none								SC	SC	xx			0	7	260	26		-10	99			1		9	1				1				1															1																																																																			1					0
Summon Overlord	670		summonoverlord	oSkill		153																						damagepercent		((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)	passive_dodge		skill('Resurgence'.clc1)	passive_avoid		skill('Resurgence'.clc1)	passive_evade		skill('Resurgence'.clc1)							((((stat('skill_minion_hp_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100))*(10000+(ulvl*ulvl)/2))/10000	hp%	1	sum per cast				0	resist all min	200	resist all max	624	hit points	115	hit points per level	75	AR per lvl				Ranged?			5																								199	40	40	40	40	40								0		mephisto_chargedbolt_cast	mephisto_chargedbolt_cast		whiteblinding				item_normaldamage		edmx*(100+skill('Rathmas Chosen'.clc3))/100	stunlength		125													overlords	overlordspet	(stat('passivelockout'.accr)>12)?(0):(1)	NU	Overlord Petmax	lvl											none								SC	SC	xx			0	7	680	68		1	99			1		0	1				1										4									1																																																																			1					0
Unused671	671			Unused																																																																																																																																																																																																																																																																									0
UNUSED 672	672			Unused																																																																																																																																																																																																																																																																									0
UNUSED 673	673			Unused																																																																																																																																																																																																																																																																									0
Totemic Omni Lightning	674			Monster			manaflare									manaflare																																																					5			1														ltng	8						16	8	4	4	4	4								0		sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1																																						none								SC	SC	xx				0	0	0		1	99			1		2									1															1																																																																			1					0
Unused675	675			Unused																																																																																																																																																																																																																																																																									0
Cherub Strike	676		cherubstrike	oSkill		8				deathrockcenter	deathrockcenter	deathrockcenter		17			deathrockcenter	deathrockcenter	deathrockcenter							30																				1	spawn shockwave ?						0	cd	10	cd/lvl					15	range	1	range per level					8	128																mag																			"max(160-(lvl*5),0)"	0																																											h2h		mele						A1	A1	A1			0	8	100	12		1	99		1	1		5		1			1				1															1																																																																			1	1	1	1		0
DSK	677			Special																										skill('Retaliate'.blvl)+skill('Solar Flare'.blvl)+skill('Tainted Blood'.blvl)+skill('Grim Presence'.blvl)+skill('Dragonform'.blvl)+skill('Superbeast'.blvl)			(skill('Mercy'.blvl))*(skill('Judgement'.blvl))			skill('Grim Presence'.blvl)+skill('Tainted Blood'.blvl)+skill('WhiteZombie'.blvl)+skill('Superbeast'.blvl)			skill('Retaliate'.blvl)+skill('Solar Flare'.blvl)+skill('Dragonform'.blvl)+skill('WhiteZombie'.blvl)						(2*(stat('passive_cold_mastery'.accr)+stat('passive_fire_mastery'.accr)+stat('passive_ltng_mastery'.accr)+stat('passive_pois_mastery'.accr)))/3																								8																																					0							1				skill('Retaliate'.blvl)+skill('Divine Judgement'.blvl)+skill('Plague'.blvl)+skill('Lionheart'.blvl)+skill('Colosseum'.blvl)			skill('Solar Flare'.blvl)+skill('Drakemaw'.blvl)+skill('Frozen Breath'.blvl)+skill('Dragon Wyrms'.blvl)+skill('Incarnation'.blvl)			skill('Grim Presence'.blvl)+skill('Black Sleep'.blvl)+skill('Lemures'.blvl)+skill('Blood Thorns'.blvl)+skill('Hymn'.blvl)			skill('Tainted Blood'.blvl)+skill('Mind Flay'.blvl)+skill('Blackstorm'.blvl)+skill('Slayer'.blvl)+skill('Dark King'.blvl)			skill('Snake Stance'.blvl)+skill('Bear Stance'.blvl)+skill('Eagle Stance'.blvl)+skill('Wolf Stance'.blvl)+skill('Lion Stance'.blvl)																				none								SC	SC	xx				0	0	0		1	99			1		0					1																			1																																																																			1					0
Mini Blast Wave	678			Monster			miniblastwavecenter									miniblastwavecenter																																											1	synergy									5			1	24	4	2	2	2	2	96	16	8	8	8	8																						0		sorceress_cast_fire	sorceress_cast_fire		kaboooooooooom	kaboooooooooom																																					none								SC	SC	xx				0	0	0		1	99		1	1		4									1															1																																																																			1					0
Thunder Hammer Nova	679		thunderhammernova	Proc		8				thunderhammernova	thunderhammernova	thunderhammernova		17			thunderhammernova	thunderhammernova	thunderhammernova																											1	spawn shockwave ?																						3	96	1	1	16	16	8	8	8	8	24	24	12	12	12	12																						0	1																																										h2h		mele						A1	A1	A1				0	0	0		1	99		1	1		5		1			1				1															1															1																																																				1	1	1	1		0
Supernova	680		supernova	oSkill			supernova									supernova																																											1	synergy									3			1														ltng	32						80	8	4	4	4	4								0		sorceress_cast_lightning	sorceress_cast_lightning		superlightning																																						none								SC	SC	xx			0	7	340	34		1	99		1	1		6									1															1																																																																			1					0
Searing Light	681		searinglight	oSkill		80				searinglightcenter				36			searinglightcenter					42375	burnedbyburn	burnedbyburn	((ln12+(stat('resonance_buff'.accr)*75))*(100+stat('passive_wrath_synergy'.accr)+stat('profession_duration_mod'.accr)))/100	20		item_tohit_percent		-100																1	fire?						75	duration	10	duration per level			1	synergy									3			1	48	24	12	12	12	12	56	28	14	14	14	14																						0		sorceress_cast_fire	sorceress_cast_fire		suncast																																						none								SC	SC	xx			0	7	10	7		1	99		1	1		2		1							1						4	1								1																							holyblasted																																	30					4						1					0
Holy Trap Advanced	682		brimstone	oSkill		28				holyminedelay	holyminedelay	holyminedelay		28			holyminedelay																																										1	synergy									0			1														fire	20	5	2	2	2	2	40	10	5	5	5	5								0		paladin_aura_prayer	paladin_aura_prayer		suncast2																																						none								SC	SC	xx			0	7	24	8		1	99			1		2									1						4		1							1																																																																			1					0
Pet Corpse on Death	683		pet corpse on death	Monster		8				demon seed on ground				17			demon seed on ground	demon seed on ground																												1	number of missiles																						8																																					0		paladin_aura_resistfire	paladin_aura_resistfire																																								none								SC	SC	xx			30	7	600	-40		1	99		1	1		4									1															1																																																																			1					0
Mon Ancients Hand	684		ancientshand	"Monster, oSkill"		8				mondeathquakecenter	mondeathquakecenter	mondeathquakecenter		17			mondeathquakecenter	mondeathquakecenter	mondeathquakecenter																											1	spawn shockwave ?																						8	44																																				0	1																																										h2h		mele						A1	A1	A1				0	0	0		1	99		1	1		5		1			1				1															1															1																																																				1	1	1	1		0
Shadowform	685		shadowform	Monster		25																	slayed		(ln12*(100+stat('profession_duration_mod'.accr)))/100			manarecoverybonus		ln78																							5000	duration	2500	duration per level									50	mana regen	10	mana regen per level	8																																					0				assassin_shadow_death_1	mooncast																																						none								SC	SC	NU			0	7	60	8		1	99			1		0					1				1											1	1			1																																																													1						1			1		0
Shadowfiends Shadows Buff	686			DRU - Subskill		68				giftnova				25			shadowgiftnova						shadowshroudbonus	shadowshroudbonus	par1			manarecoverybonus		400																							250	duration	0	duration per level													8																																					0			assassin_shadow_death_1	assassin_shadow_death_1	mooncast																																						none								SC	SC	xx				0	0	0		1	99			1		9	1				1				1															1																																																																			1			1		0
Dark Power	687		darkpower	oSkill		68				darkpowernova				25			darkpowernova						darkpowered	darkpowered	((par8+((lvl-1)*25))*(100+stat('profession_duration_mod'.accr)))/100			damagepercent		dm12	item_fasterattackrate		((200*lvl) * (par4-par3))/(100 * (lvl+50)) + par3	item_crushingblow		10	magicmindam		edmn	magicmaxdam		edmx											5	dmg % bonus min	50	dmg % bonus max	10	ias bonus min	50	ias bonus max							500	duration	6																		10	10	20	30	40	50	15	15	25	35	45	55								0		siegebeast_stomp_1	siegebeast_stomp_1																																								none								SC	SC	xx			0	7	0	0		1	99			1		9	1				1				1															1																																																																			1			1		0
Conquest	688		conquest	oSkill	39	2																	aura_12		"min(((dm78*(100+stat('profession_duration_mod'.accr)))/100),par3)"			passive_dodge		25	passive_avoid		25	passive_evade		25	item_fastermovevelocity		ln12	item_cannotbefrozen		1						"min((((((220*lvl) * (par8-par7))/(100 * (lvl+50)) + par7)*(100+stat('profession_duration_mod'.accr)))/100),par3)"	duration				30	velocity	2	velocity per level	150	duration cap							25	duration min	50	duration max	8	64																																			250	0		amazon_cast_poison	amazon_cast_poison																																								h2h		mele						A1	A1	A1			0	7	80	10		1	99		1	1		4		1			1				1															1																																																												1							1	1	1	1		0
Hamstring	689		hamstring	oSkill	39	2																	hamstringstrike		(dm78*(100+stat('profession_duration_mod'.accr)))/100			stunlength		((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1																		(dm78*(100+stat('profession_duration_mod'.accr)))/100	duration				50	stun duration min	200	stun duration max									125	duration min	500	duration max	8	64																																				0		fallenshaman_resurrect_cast	fallenshaman_resurrect_cast																																								h2h		mele						A1	A1	A1			0	7	10	0		1	99		1	1		0		1			1				1															1																																																												1							1	1	1	1		0
Cautious Strike	690		cautiousstrike	oSkill		9								39									caution		(dm78*(100+stat('profession_duration_mod'.accr)))/100			damageresist		((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1	skill_armor_percent		ln34													ln56	dmg %						4	damage reduction min	40	damage reduction max	25	armor %	10	armor % per level	25	dmg %	5	dmg % per level	75	duration min	250	duration max	8	64																mag																				0				barbarian_grunt_small_1																																							h2h	3	mele					mele	SQ	A1	xx	11		0	7	60	0		1	99		1			3		1			1				1															1															1																																																				1	1	1	1		0
Time Strike	691		timestrike	oSkill	6	11				timestrikespawner	timestrikespawner	timestrikespawner		19			timestrikespawner	timestrikespawner	timestrikespawner																											1	proc ?																						8	96																																				0																																											h2h		mele						A1	A1	A1			0	7	20	0		1	99		1	1		5		1			1				1															1																																																																			1	1	1	1		0
DSK 2	692			Special																										(((100+(20*ulvl))*(100+((((260*(stat('strength'.accr)+10)))/(stat('strength'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-100			(skill('Grim Presence'.blvl)+skill('Superbeast'.blvl)+skill('Tainted Blood'.blvl)+skill('WhiteZombie'.blvl)==0) ? ((stat('vessel_mod'.accr)==1) ? (150) : (0)) : (0)			(skill('Retaliate'.blvl)+skill('Dragonform'.blvl)+skill('Solar Flare'.blvl)+skill('WhiteZombie'.blvl)==0) ? ((stat('vessel_mod'.accr)==1) ? (40) : (0)) : (0)			(skill('Retaliate'.blvl)+skill('Dragonform'.blvl)+skill('Solar Flare'.blvl)+skill('Grim Presence'.blvl)+skill('Superbeast'.blvl)+skill('Tainted Blood'.blvl)==0) ? ((stat('vessel_mod'.accr)==1) ? (50) : (0)) : (0)			(2*(stat('passive_pm_mastery'.accr)+stat('passive_fire_mastery'.accr)+stat('passive_ltng_mastery'.accr)+stat('passive_pois_mastery'.accr)))/3			(skill('Lion Stance'.blvl)+skill('Snake Stance'.blvl)+skill('Bear Stance'.blvl)+skill('Eagle Stance'.blvl)+skill('Wolf Stance'.blvl)==0)?((syn2>0)?(100):(0)):(0)																								8																																					0							1				skill('Takedown'.blvl)+skill('Hyena Strike'.blvl)+skill('Pounce'.blvl)+skill('Great Hunt'.blvl)			"(min(((stat('strength'.accr)*stat('str_factor'.accr)/15000)+(stat('energy'.accr)*stat('enr_factor'.accr)/15000)),200))"			skill('Laughing Ghost'.blvl)+skill('Cascade'.blvl)+skill('Spore Shot'.blvl)+skill('Nova Shot'.blvl)			((((stat('hitpoints'.accr)*3)/2)>(stat('maxhp'.accr)))?(stat('baccha_on'.accr)):(skill('Bacchanalia'.blvl)*6))			"((max(((stat('hitpoints'.accr)*10)/(stat('maxhp'.accr)*9)),0)*(skill('Witch Blood'.lvl)*4))+((stat('event_hit2'.accr)>0)?(2*skill('Vengeful Power'.lvl)):(0)))"																				none								SC	SC	xx				0	0	0		1	99			1		0					1																			1																																																																			1					0
Sunspear	693		sunspear	oSkill			sunspear1									sunspear1																																					50	stun duration	5	stun duration per level													8	128																																				0																																											rng		jave						TH	TH	xx			0	7	40	6		1	99		1	1		2									1															1																																																																			1			1		0
Death Coil	694		deathcoil	oSkill			deathcoil									deathcoil																																					0	timer loss min	200	timer loss max													8		1		100	2	2	2	2	2	150	2	2	2	2	2	"(min(((stat('maxhp'.accr)-stat('hitpoints'.accr))/256),25000)-100)/8"	life	50						100												280-dm12	0		siegebeast_stomp_1	siegebeast_stomp_1		deathcoilcast	deathcoilcast																																					none								SC	SC	xx			0	7	60	8		1	99		1	1		2									1			750												1																																																																			1					0
Shadow Blade	695		shadowblade	oSkill			deathknife									deathknife																																																					8	64	1															mag	6500						6500													0																																											rng		tkni						TH	TH	xx			0	7	280	28		1	99		1	1		2									1															1																																																																			1			1		0
Unused696	696			Unused																																																																																																																																																																																																																																																																									0
Nightmare	697		nightmare	oSkill		30																3		freakingnightmare	(par3*(100+stat('profession_duration_mod'.accr)))/100	ln56		item_fastermovevelocity		"(-1)*(min((((200*lvl) * (par8-par7))/(100 * (lvl+50)) + par7),50))"	potion_efficiency		-33																				8	attack % penalty min	75	attack % penalty max	125	duration			5	radius	1	radius per level	9	speed % penalty min	40	speed % penalty max	8																																				25	3		necromancer_curse_cast	necromancer_curse_cast		mooncast																																						none								SC	SC	xx			0	7	48	10		1	99			1		3					1				1															1																																																																			1					0
Vanquish	698		vanquish	oSkill		25																	vanquish		(par7*(100+stat('profession_duration_mod'.accr)))/100			damagepercent		((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1																							2	dmg % bonus min	130	dmg % bonus max									75	duration			8																																				250	0		baal_novacast	baal_novacast		suncast																																						none								SC	SC	xx			0	7	64	16		1	99			1		4					1				1											1	1			1																																																													1						1					0
Cataclysm	699		cataclysm	oSkill		18	zwrcenter									zwrcenter							aura_76		syn1 ? 50 : 1			velocitypercent		"min(syn1,1)*50"	armor_override_percent		"min(syn1,1)*(-50)"	energy		"min(syn1,1)*500"																																	3			1														fire	80	8	4	4	4	4	240	24	12	12	12	12								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	60	22		1	99		1	1		2									1															1																																																																			1					0
MGlacial Nova	700		glacialnova	Monster		22				glacialnovaM	glacialnovaM	glacialnovaM		25			glacialnovaM																																				9	?	3	?			125	timer base									5			1														cold	240	24	12	12	12	12	320	32	16	16	16	16		50				stat('profession_duration_mod'.accr)	par4	4		sorceress_cast_cold	sorceress_cast_cold		supercold																																						none								SC	A1	xx			0	7	448	56		1	99		1	1		6									36	10														1																																																																			1					0
Doom Serpents	701		doomserpents	oSkill		8	doomclockwise			doomcclockwise				17		doomclockwise	doomcclockwise	doomcclockwise																												1	number of missiles	4	activation frame																				3			1														cold	160	16	8	8	8	8	320	32	16	16	16	16		125				stat('profession_duration_mod'.accr)		0				serpentdemon_tail_1																																							none								SC	SC	xx			0	7	84	14		1	99		1	1		1									1															1																																																																			1					0
Glacial Nova	702		glacialnova	oSkill		22				glacialnova	glacialnova	glacialnova		25			glacialnova																																				9	?	3	?			125	timer base									3																	cold	180	24	12	12	12	12	240	32	16	16	16	16	"((((((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50)*(100+syn1))/100)+syn1"	50				syn2	125	4		sorceress_cast_cold	sorceress_cast_cold		supercold																																						none								SC	A1	xx			0	7	448	36		1	99		1	1		6									36	10														1																																																																			1					0
Frozen Crown	703		frozencrown	oSkill			frozencrowncenter									frozencrowncenter																														dm12	number of missiles						2	missiles min	6	missiles max													3			1														cold	80	8	4	4	4	4	160	16	8	8	8	8		75				stat('profession_duration_mod'.accr)		0		sorceress_cast_cold	sorceress_cast_cold		ice_cast_3																																						none								SC	SC	xx			0	7	100	12		1	99		1	1		2									1															1																																																																			1					0
Lightning Streak	704		lcold	oSkill			lightningspawner									lightningspawner										25																				lvl/18	number of targets						10	?	20	?	4	?			2	targets	1	targets per level	4	targets max			4			1														ltng	48	12	4	4	4	4	64	16	8	8	8	8								0		sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1																																						none								SC	SC	xx			0	7	144	36		1	99		1	1		6									1															1																																																																			1					0
Vortex	705		vortex	oSkill		28				celestialcenter	celestialcenter	celestialcenter		28			celestialcenter																																																				3			1														ltng	16						320	32	16	16	16	16								0		paladin_holybolt_cast	paladin_holybolt_cast		light_cast_1																																						none								SC	SC	xx			0	7	304	38		1	99			1		4									1						4		1							1																																																																			1					0
Mana Coil	706		manacoil	oSkill			manacoil									manacoil																																					0	timer loss min	200	timer loss max													8		1		100	2	2	2	2	2	150	2	2	2	2	2	"(min(((stat('maxmana'.accr)-stat('mana'.accr))/256),30000)-100)/8"	mana	50						100												280-dm12	0		sorceress_chat_f_2	sorceress_chat_f_2																																								none								SC	SC	xx			0	7	8	6		1	99		1	1		2									1			750												1																																																																			1					0
Item Death Blossom	707		deathblossom	oSkill			blossom									blossom																																																																																										0																																											none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Item Lemures	708		lemures	oSkill		8				neolemuresspawner	neolemuresspawner	neolemuresspawner		17			neolemuresspawner	neolemuresspawner	neolemuresspawner			42371				ln78																				1																			15	target seek range	0	target seek range per level																																						0																																											none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Unused709	709			Unused																																																																																																																																																																																																																																																																									0
Timerless SF	710		seismicfield	oSkill			seismicfieldlonger									seismicfieldblackhole																																																					2			1	83	18	8	8	8	7	140	26	10	10	10	9																						0		paladin_aura_resistlightning	paladin_aura_resistlightning																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Death Shards	711		deathshards	oSkill	17	63				deathmetal2			21	33			deathmetal2	deathmetal2	redlightmissile							ln34																																											8	32																																				0	1	necromancer_corpse_cast	necromancer_corpse_cast																																								rng		jave						SC	SC	xx			0	7	32	10		1	99			1		0									1							1		1	1					1																				necromancer_corpseexp_1																																									3		1				1					0
Timerless Charm	712		charm	oSkill		51							18	30			curseamplifydamage		wrathexplosion			33667				6+skill('Havoc'.lvl)																											0	stun min	0	stun per level	250	duration	1	duration random	100	always convert	100	always convert max	0	timer loss min	200	timer loss max	8																																					4		druid_morph	druid_morph																																								rng								SC	SC	xx			0	7	16	10		1	99		1	1		0					1				1						4									1																																				9																			11												1					0
UNUSED 713	713			Unused																																																																																																																																																																																																																																																																									0
Summon Hallucination	714			Monster			hallucspawner									hallucspawner																																																					8																																					0		paladin_aura_resistlightning	paladin_aura_resistlightning		crashedneonlight	crashedneonlight																																					none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
