Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* category	* comment	* Marco / loc	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	Level	Level(N)	Level(H)	*eol
res_wisp1	1542	res_wisp1	res_wisp2	3	DancingLight	wisp1	other	willowisp	WillOWisp	mon_lightninghit	WW	Reanimates			1	1												2	4		14	14	1	willowisp	willowisp	10	3	2	1	80	80	80	15	15	15	70	75	80	70	70	70																									1	1			1		1			1				1	1									Electrobolt Spell	SC	1																						140	100	100	-20	-20	-20									15	15	15	100			35	35	35	100	0				21	21	21	0	480	720	70	100	10	18	200							480	720	70	100	10	18	200							1140	1260	70	100	40	70	200							A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																																1	1	6	48	120	0
res_wisp2	1543	res_wisp1	res_wisp3	2	GhostFlame	wisp2	other	willowisp	WillOWisp	mon_lightninghit	WW	Reanimates			1	1												2	4		19	19	1	willowisp	willowisp	10	3	2	1	80	80	80	15	15	15	75	80	85	60	60	60																									1	1			1		1			1				1	1									Electrobolt Spell	SC	3																						140	100	100	-20	-20	-20						100			15	15	15	100			35	35	35	100	0				21	21	21	0	480	720	70	100	10	18	200							480	720	70	100	10	18	200							1140	1260	70	100	40	70	200							A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																																1	1	24	60	120	0
res_wisp3	1544	res_wisp1	res_wisp4	0	BlackFlame	wisp3	other	willowisp	WillOWisp	mon_lightninghit	WW	Reanimates			1	1												2	4		21	21	1	willowisp	willowisp	10	3	2	1	80	80	80	15	15	15	80	85	90	50	50	50																									1	1			1		1			1				1	1									Electrobolt Spell	SC	5																						140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				21	21	21	0	480	720	70	100	10	18	200							480	720	70	100	10	18	200							1140	1260	70	100	40	70	200							A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																																1	1	30	66	120	0
res_wisp4	1545	res_wisp1		1	TorturedSoul	wisp4	other	willowisp	WillOWisp	mon_lightninghit	WW	Reanimates			1	1												2	4		21	21	1	willowisp	willowisp	10	3	2	1	80	80	80	15	15	15	85	90	95	40	40	40																									1	1			1		1			1				1	1									Electrobolt Spell	SC	6																						140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				21	21	21	0	480	720	70	100	10	18	200							480	720	70	100	10	18	200							1140	1260	70	100	40	70	200							A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																																1	1	33	70	120	0
res_zakarumcleric1	1546	res_zakarumcleric1	res_zakarumcleric2	3	Archon	zakarumcleric1	zakarumcleric1	priests	Vampire		ZP	Reanimates			1	1						zakarumslave1		1		2	4	1	1		6	6	1	cantor	cantor	10	3	2	1	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7																			1				1						1			1	1									Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				22	22	22	0	480	600	100	120	10	15	100							480	600	100	120	10	15	100							1140	1200	100	120	40	60	100																																																																			30	66	120	0
res_zakarumcleric2	1547	res_zakarumcleric1	res_zakarumcleric3	2	CrimsonArchon	zakarumcleric2	zakarumcleric1	priests	Vampire		ZP	Reanimates			1	1						zakarumslave2		1		2	4	1	1		6	6	1	cantor	cantor	10	3	2	1	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7																			1				1						1			1	1									Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													140	100	100	-20	-20	-20			100						100	15	15	5			100	35	35	20	0				22	22	22	0	480	600	100	120	10	15	100							480	600	100	120	10	15	100							1140	1200	100	120	40	60	100																																																																			29	66	120	0
res_zakarumcleric3	1548	res_zakarumcleric1	res_zakarumcleric4	3	DarkArchon	zakarumcleric3	zakarumcleric1	priests	Vampire	mon_invisible	ZP	Reanimates			1	1						zakarumslave3		1		2	4	1	1		6	6	1	cantor	cantor	10	3	2	1	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7																			1				1						1			1	1									Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				22	22	22	0	480	600	100	120	10	15	100							480	600	100	120	10	15	100							1140	1200	100	120	40	60	100																																																																			31	68	120	0
res_zakarumcleric4	1549	res_zakarumcleric1		1	TwilightArchon	zakarumcleric4	zakarumcleric1	priests	Vampire		ZP	Reanimates			1	1						zakarumslave4		1		2	4	1	1		6	6	1	cantor	cantor	10	3	2	1	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7																			1				1						1			1	1									Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													140	100	100	-20	-20	-20		100						100	15	15	15	5			35	35	35	20	0				22	22	22	0	480	600	100	120	10	15	100							480	600	100	120	10	15	100							1140	1200	100	120	40	60	100																																																																			32	69	120	0
res_zakarumslave1	1550	res_zakarumslave1	res_zakarumslave2	0	Templar	zakarumslave1	zakarumslave1	priests	DoomKnight	mon_slave	ZZ	Reanimates			1													3	5		10	10	1	zealot	zealot	10	3	2	1	80	80	80	75	85	90	55	55	55	20	20	20	8	8	8	45	45	45																			1	1			1						1			1	1																																	140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				20	20	20	0	240	360	40	70	15	30	200	15	5	200				240	360	40	70	15	30	200	15	20	200				1020	1080	40	70	60	120	200	60	80	200																																																																30	66	120	0
res_zakarumslave2	1551	res_zakarumslave1	res_zakarumslave3	1	CrimsonTemplar	zakarumslave2	zakarumslave1	priests	DoomKnight	mon_slave	ZZ	Reanimates			1													3	5		10	10	1	zealot	zealot	10	3	2	1	80	80	80	75	85	90	55	55	55	20	20	20	8	8	8	45	45	45																			1	1			1						1			1	1																																	140	100	100	-20	-20	-20			100						100	15	15	5			100	35	35	20	0				20	20	20	0	240	360	40	70	15	30	200	15	20	200				240	360	40	70	15	30	200	15	20	200				1020	1080	40	70	60	120	200	60	80	200																																																																29	66	120	0
res_zakarumslave3	1552	res_zakarumslave1	res_zakarumslave4	2	DarkTemplar	zakarumslave3	zakarumslave1	priests	DoomKnight	mon_invisslave	ZZ	Reanimates			1													3	5		10	10	1	zealot	zealot	10	3	2	1	80	80	80	75	85	90	55	55	55	20	20	20	8	8	8	45	45	45																			1	1			1						1			1	1																																	140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				20	20	20	0	240	360	40	70	15	30	200	15	20	200				240	360	40	70	15	30	200	15	20	200				1020	1080	40	70	60	120	200	60	80	200																																																																31	68	120	0
res_zakarumslave4	1553	res_zakarumslave1		1	TwilightTemplar	zakarumslave4	zakarumslave1	priests	DoomKnight	mon_slave	ZZ	Reanimates			1													3	5		10	10	1	zealot	zealot	10	3	2	1	80	80	80	75	85	90	55	55	55	20	20	20	8	8	8	45	45	45																			1	1			1						1			1	1																																	140	100	100	-20	-20	-20									15	15	15	5			35	35	35	20	0				20	20	20	0	240	360	40	70	15	30	200	15	20	200				240	360	40	70	15	30	200	15	20	200				1020	1080	40	70	60	120	200	60	80	200																																																																32	69	120	0
onyxknight1	1554	onyxknight1	onyxknight2	0	BlackHeartKnight	onyxknight1	other	bloodlord	Mosquito	mon_dblossom	0n	Regulars		Levels	1													3	4		9	9	1	doomknight	doomknight	10	3	2	1	80	80	80							90	95	100	5	8	10																						1	1			1				1					1	1									Death Blossom	A1	4																						140	100	100	-20	-20	-20									100	15	15	5			100	35	35	20	0				50	50	50	0	100	120	95	105	50	100	200	50	100	200				100	120	95	105	50	100	200	100	200	200				200	210	95	105	160	360	200	160	360	200																																																																19	60	120	0
onyxknight2	1555	onyxknight1		0	OnyxKnight	onyxknight2	other	bloodlord	Mosquito	mon_elite	0n	Regulars		"Levels, Missiles"	1													4	6	36	9	9	1	doomknight	doomknight	10	3	2	1	80	80	80							90	95	100	5	8	10																						1	1			1				1					1	1									MShock Flower	A1	15																						140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	300	420	180	350	84	96	380	84	96	380				375	525	180	350	108	120	380	216	240	380				450	630	180	350	420	480	380	420	480	380																																														Elite				Elite				Elite										31	69	120	0
gargoylebeast1	1556	gargoylebeast1	gargoylebeast2	0	GargoyleZMon	gargoylebeast1	other	demon	Mosquito	mon_gargoylehit	!A	Regulars		Levels	1													2	5		6	6	1	scarab	scarab	10	3	2	1	80	80	80							90	95	100	5	8	10																						1	1			1				1					1	1									Shower of Rocks	A1	1																						140	100	100	-20	-20	-20									15	100	15	5			35	100	35	20	0				15	15	15	0	100	120	100	100	60	100	200	30	60	200				100	120	100	100	60	100	200	60	120	200				200	210	100	100	240	480	200	120	240	200				A1	ltng	100	1	40		100	1	60		100	1	80		A2	ltng	100	1	40		100	1	60		100	1	80																																		27	65	120	0
gargoylebeast2	1557	gargoylebeast1	hell_gargoylebeast	0	StoneHammerDemon	gargoylebeast2	other	demon	Mosquito	mon_elite	!A	Regulars		"Levels, Missiles"	1													5	7	36	9	9	1	scarab	scarab	10	3	2	1	80	80	80							100	100	100	15	15	15																						1	1			1				1					1	1									Shower of Rocks	A1	14																						140	100	100	-20	-20	-20			100						100	15	15	5			100	35	35	20	0				15	15	15	0	270	370	106	260	146	160	320	146	160	320				337	462	106	260	183	200	320	183	200	320				404	554	106	260	220	240	320	220	240	320				A1	fire	100	20	70		100	30	90		100	40	110		A2	fire	100	20	70		100	30	90		100	40	110																Elite				Elite				Elite										44	77	120	0
fellfiend1	1558	fellfiend1	fellfiend2	0	FellPitFiend	fellfiend1	other	demon	Megademon		08	Regulars		Levels	1													3	5		7	7	1	regurgitator	regurgitator	11	3	2	1	80	80	80	65	75	85	45	45	45	100	100	100	75	75	75	10	10	10	50	50	50																1				1				1		1			1	1									Mon Claw	S1	8																						140	100	100	-20	-20	-20								100	15	15	15	5		100	35	35	35	20	0				45	45	45	0	80	100	100	80	20	50	100	20	50	100	20	50	100	80	100	100	80	20	50	100	20	50	100	20	50	100	190	200	100	80	20	50	100	20	50	100	20	50	100																																											Normal				Normal				Normal										22	62	120	0
fellfiend2	1559	fellfiend1		0	Mutilator	fellfiend2	other	demon	Megademon	mon_elite	08	Regulars		"Levels, Missiles"	1													5	8	36	12	12	1	regurgitator	regurgitator	11	3	2	1	80	80	80	95	95	85	45	45	45	100	100	100	75	75	75	10	10	10	50	50	50																1				1				1		1			1	1									Mon Crushpide	S1	14																						140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				45	45	45	0	210	240	150	240	170	236	190	170	236	240	170	236	240	262	300	150	240	212	295	190	212	295	240	212	295	240	315	360	150	240	255	355	190	255	355	240	255	355	240																																											Elite				Elite				Elite										39	75	120	0
dragonknight1	1560	dragonknight1	dragonknight2	0	PitKnight	dragonknight1	other	demon	AbyssKnight	mon_telefirehit	(2	Regulars		Levels	1	1												3	4		10	10	1	act1hire	act1hire	11	3	2	1	80	80	80	40	40	40	90	90	90	97	97	97	1	1	1				50	50	50	99	99	99													1				1	1			1		1			1	1									MPounce	A1	1	Dark Power	A2	3																			140	100	100	-20	-20	-20									100	15	15	5			100	35	35	20	0				19	19	19	0	100	120	100	100	25	50	200	25	50	200	25	50	200	100	120	100	100	25	50	200	25	50	200	25	50	200	200	210	100	100	25	50	200	25	50	200	25	50	200	A1	fire	100	20	70		100	30	90		100	40	110		A2	fire	100	20	70		100	30	90		100	40	110																Normal				Normal				Normal										24	64	120	0
dragonknight2	1561	dragonknight1	dragonknight3	0	MoonKnight	dragonknight2	other	demon	AbyssKnight	mon_telecoldhit	(1	Regulars		Levels	1	1												3	4		11	11	1	act1hire	act1hire	11	3	2	1	80	80	80	40	40	40	90	90	90	97	97	97	1	1	1				50	50	50	99	99	99													1				1	1			1		1			1	1									MPounce	A1	2	Dark Power	A2	5																			140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				19	19	19	0	100	120	100	100	25	50	200	25	50	200	25	50	200	100	120	100	100	25	50	200	25	50	200	25	50	200	200	210	100	100	25	50	200	25	50	200	25	50	200	A1	cold	100	20	70	25	100	30	90	50	100	40	110	75	A2	cold	100	20	70	25	100	30	90	50	100	40	110	75															Normal				Normal				Normal										36	73	120	0
dragonknight3	1562	dragonknight1	hell_dragonknight	0	Serafiend	dragonknight3	dragonknight3	demon	AbyssKnight	mon_elite	(0	Regulars		"Levels, Missiles"	1	1												5	7	36	13	13	1	act1hire	act1hire	11	3	2	1	80	80	80	40	40	40	90	90	90	97	97	97	1	1	1				50	50	50	99	99	99													1				1	1			1		1			1	1									MPounce	A1	5	Bone Prison	A2	4																			140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				19	19	19	0	300	310	170	300	50	66	270	80	86	270	80	86	270	375	387	170	300	50	83	270	65	93	270	65	93	270	450	465	170	300	50	100	270	50	100	270	50	100	270	A1	ltng	100	20	70		100	30	90		100	40	110		A2	ltng	100	20	70		100	30	90		100	40	110																Elite				Elite				Elite										50	87	120	0
fungus1	1563	fungus1	fungus2	0	GlowingFungus	fungus1	other	demon	Mosquito	mon_lightninghit	2(	Regulars		Levels	1													2	3		5	5	1	doomknight	doomknight	10	3	2	1	80	80	80							90	90	90	25	25	25																						1				1				1		1			1	1									Totemic Omni Lightning	A2	1																						140	100	100	-20	-20	-20									15	100	15	5			35	100	35	20	0				19	19	19	0	150	170	120	105	100	140	200	100	140	200				150	170	120	105	100	140	200	100	140	200				225	235	120	105	100	140	200	100	140	200				A1	ltng	100	20	70		100	30	90		100	40	110		A2	ltng	100	20	70		100	30	90		100	40	110																Normal				Normal				Normal										7	49	120	0
fungus2	1564	fungus1		0	Shroom	fungus2	fungus2	demon	Mosquito	mon_elite	2(	Regulars		"Levels, Missiles"	1													3	5	36	8	8	1	doomknight	doomknight	10	3	2	1	80	80	80							90	90	90	25	25	25																						1				1				1		1			1	1									Faerie Fire	A2	12																						140	100	100	-20	-20	-20						100			15	15	15	100			35	35	35	100	0				19	19	19	0	220	400	120	105	100	140	400	100	140	400	100	140	200	275	500	120	105	125	175	400	125	175	400	125	175	300	330	600	120	105	151	212	400	151	212	400	151	212	400	A1	pois	100	20	40	50	100	40	60	75	100	60	80	100	A2	pois	100	20	40	50	100	40	60	75	100	60	80	100															Elite				Elite				Elite										33	70	120	0
cultist1	1565	cultist1	cultist2	0	Cultist	cultist1	other	human	FetishBlowgun		!5	Regulars		Levels	1	1												3	4		7	7	1	goatman	goatman	10	3	2	1	80	80	80	20	20	20	45	45	45																			singleskull									1				1				1		1			1	1																																	140	100	100	-20	-20	-20									15	15	15	100			35	35	35	100	0				6	6	6	0	150	170	120	105	100	140	100	100	140	100	100	140	100	150	170	120	105	100	140	100	100	140	100	100	140	100	225	235	120	105	100	140	100	100	140	100	100	140	100																																											Normal				Normal				Normal										13	58	120	0
cultist2	1566	cultist1	hell_cultist	0	Heretic	cultist2	other	human	FetishBlowgun	mon_elite	!5	Regulars		"Levels, Missiles"	1	1												6	8	36	11	11	1	goatman	goatman	10	3	2	1	80	80	80	20	20	20	45	45	45																			skullswarmcenter									1				1				1		1			1	1																																	140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	220	400	160	350	70	80	300	113	126	300	113	126	300	275	500	160	350	141	158	300	141	158	300	141	158	300	330	600	160	350	170	190	300	170	190	300	170	190	300																																											Normal				Normal				Normal										38	74	120	0
astrogha	1567	astrogha		0	Astrogha	astrogha	omgitslaz	arach	Summoner		(N	Uberquests	Astrogha	Map	1													1	1	5	9	9	1	act2hire	act2hire	14	3	2	1	80	80	80	80	80	80	15	15	15	95	95	95	20	20	20	20	20	20				4	4	4	30	30	30										1				1					1	1	1	1	1										Spider Statue	A1	1	Frozen Orb Nova	A1	20	Spider Statue	A1	1	Spider Statue	A1	1	Mon ND War Spirit	A1	60										84	60	60	-20	-20	-20	30	30	60	60	60	1000	30	30	60	60	60	1000	30	30	60	60	60	1000	0				18	18	18	0	1800	1800	250	10000										1900	1900	250	10000										6000	6000	250	10000																																																				Baal				Baal (N)				Astrogha Reward										95	115	120	0
spiderstatue	1568	spiderstatue		0	SpiderStatue	spiderstatue	spiderstatue	construct	Trap-Poison	mon_spiderstatue	GT	Uberquests	Astrogha	Missiles	1													1	1		0	0	0	gargoyletrap	gargoyletrap	6	3	2	1				50	50	50	3	3	3	15	15	15																									1													1		1		1	1					Spawn Multi Darklings	seq_gargoyletrap	6																						0			-20	-20	-20																			0				16	16	16	0	400	400	100											450	450	100											500	500	100																																																																							50	115	120	0
hostiledarkling	1569	hostiledarkling		4	SumDLing	hostiledarklings	darklingsastro	sandmaggot	MaggotLarva	mon_sumstatue	SB	Uberquests	Astrogha	Missiles	1													1	1		12	12	1	maggotbaby	maggotbaby	10	3	2	1				50	50	50	8	8	8	90	90	90	15	15	15	20	20	20																			1	1			1									1	1							1																										140	100	100	-20	-20	-20									15	15	15	5			35	35	35	20	0				24	24	24	0	120	145	150		160	350	425							365	415	150		260	400	425							610	685	150		360	450	425																																																																			50	115	120	0
reani_gargoyle4	1570	reani_gargoyle4		2	REAN_EdyremSpirit	elite_gargoyle4	elite_gargoyle4	human	AbyssKnight	mon_elite	0A	Reanimates			1	1												4	7	36	9	9	1	act2hire	act2hire	11	3	2	1	80	80	80	40	40	40	95	95	95	98	98	98	1	1	1	60	60	60	1	1	1	95	95	95	60	60	60										1				1						1			1	1		1							Enemy Divine App	A1	5	Holy Armor	A1	18																			140	100	100	-20	-20	-20									15	15	15	5			35	35	35	20	0				19	19	19	0	2160	2520	190	260	32	35	400							3372	4500	170	425	40	44	400							4590	6480	150	590	48	53	400																																																																			50	81	120	0
reani_archskel1	1571	reani_archskel1		2	REAN_CorrArcher	elite_archskelA	elite_archskelA	skeleton	SkeletonBow	mon_elite	SK	Reanimates			1	1												4	7	36	8	8	1	sk_archer	sk_archer	10	3	2	1	80	80	80	100	100	100	1	1	1	10	10	10	5	5	5	40	40	40										skbowarrow5									1				1		1				1			1	1																																	140	100	100	-20	-20	-20									15	15	15	100			35	35	35	100	0				45	45	45	0	840	960	100	160	8	19	126							1050	1200	100	160	9	23	126							1530	1620	100	160	11	28	126							A1	pois	100	40	110	50	100	70	160	75	100	100	190	100																																															7	75	120	0
treeoffender	1572	treeoffender		0	ShrineofExtinction	shrineofextinction	other	construct	Trap-Poison		GT	Unknown	?	Missiles	1													1	1		0	0	0	gargoyletrap	gargoyletrap	9	3	2	1				50	50	50	3	3	3	15	15	15																									1													1	1			1	1					Shrine Inviso Nova	seq_gargoyletrap	1																						0			-20	-20	-20																			0				16	16	16	0	500	500	100	60										500	500	100	60										500	500	100	60																																																																						80	115	120	0
cowprince	1573	cowprince		0	BullPrinceRodeo	cowprince	cowprince	bovine	Summoner		EC	Uberquests	Bull Prince Rodeo	Map	1													1	1	1	9	9	1	hellbovine	hellbovine	14	3	2	1	80	80	80	100	100	100	35	35	35	95	95	95	20	20	20	20	20	20				8	8	8	30	30	30										1				1					1	1	1	1	1										Chicken Lickin	A2	40	Hoof Stomp	A2	40	Chicken Lickin	A2	40	Blink	A2	1	Cow Rush	A2	40										84	60	60	-20	-20	-20	30	30	60	60	60	60	30	30	60	60	60	60	30	30	60	60	60	60	0			1	25	25	50	0	1300	1300	250	2000	200	350	450	200	350	450	200	350	500	1900	1900	250	2000	225	325	450	225	325	450	225	325	500	5500	5500	250	2000	250	300	1500	250	300	1500	250	300	1500																																											Baal				Baal (N)				Rodeo Reward										85	115	120	0
giant1	1574	giant1	giant2	0	LivingRock	giant1	other	human	ClawViper	mon_charge	(S	Regulars		Levels	1													1	2		5	5	1	goatman	goatman	10	3	2	1	80	80	80	25	25	25	8	8	8	90	90	90	50	50	50	1	1	1																			1	1			1									1	1						1			SerpentCharge	seq_frostcharge	1																						140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				50	50	50	0	270	370	160	160	140	160	200	140	160	200				270	370	160	160	175	200	200	175	200	200				285	370	160	160	210	240	200	210	240	200																																														Normal				Normal				Normal										29	66	120	0
giant2	1575	giant1		0	AncientGiant	giant2	giant2	human	ClawViper	mon_elite	(S	Regulars		"Levels, Missiles"	1													2	4	36	5	5	1	goatman	goatman	10	3	2	1	80	80	80	50	50	50	12	12	12	90	90	90	50	50	50	1	1	1																			1	1			1									1	1						1			SerpentCharge	seq_frostcharge	1																						140	100	100	-20	-20	-20					100				15	15	100	5			35	35	100	20	0				50	50	50	0	600	900	410	370	200	220	320	200	220	320				830	1246	410	370	325	357	320	325	357	320				1061	1592	410	370	450	495	320	450	495	320																																														Elite				Elite				Elite										36	78	120	0
berserk1	1576	berserk1	berserk2	0	RaiderA	berserk1	berserk1	human	Brute	mon_slow	(O	Regulars		Levels	1													2	4		6	6	1	act2hire	act2hire	10	3	2	1	80	80	80				15	10	5	95	100	100	50	50	50																						1	1			1									1	1						1																											140	100	100	-20	-20	-20									100	15	15	5			100	35	35	20	0				50	50	50	0	130	180	120	120	110	140	200	110	140	200				130	180	120	120	137	175	200	137	175	200				215	240	120	120	165	210	200	165	210	200																																														Normal				Normal				Normal										26	75	120	0
berserk2	1577	berserk1		0	UlfhedinnA	berserk2	berserk2	human	Brute	mon_elite	(O	Regulars		"Levels, Missiles"	1													3	6	36	8	8	1	act2hire	act2hire	10	3	2	1	80	80	80				2	2	2	95	100	100	50	50	50																						1	1			1									1	1						1																											140	100	100	-20	-20	-20			100						100	15	15	5			100	35	35	20	0				50	50	50	0	280	390	240	240	150	190	240	150	190	240				387	539	240	240	243	308	240	243	308	240				494	688	240	240	337	427	240	337	427	240																																														Elite				Elite				Elite										29	65	120	0
runepriest1	1578	runepriest1	runepriest2	0	Asatruar	runepriest1	other	priests	AbyssKnight		9(	Regulars		"Levels, Missiles"	1	1												3	5		5	5	1	unraveler	unraveler	10	3	2	1	80	80	80	40	40	40	90	90	90	97	97	97	1	1	1				50	50	50	99	99	99													1				1				1					1	1									Punisher	A2	1	Punisher	A2	1																			140	100	100	-20	-20	-20								100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	60	80	60	100	30	35	100	60	70	100				60	80	60	100	37	43	100	75	87	100				180	190	60	100	45	52	100	90	105	100																																														Normal				Normal				Normal										24	64	120	0
runepriest2	1579	runepriest1	hell_runepriest	0	Gothi	runepriest2	other	priests	AbyssKnight	mon_elite	9(	Regulars		"Levels, Missiles"	1	1												4	5	36	5	5	1	unraveler	unraveler	10	3	2	1	80	80	80	40	40	40	90	90	90	97	97	97	1	1	1				50	50	50	99	99	99													1				1				1					1	1									MWyrd	A2	11	MWyrd	A2	6																			140	100	100	-20	-20	-20						100			15	15	15	100			35	35	35	100	0				50	50	50	0	220	240	110	190	180	250	320	160	210	320				304	332	110	190	240	333	320	213	280	320				388	424	110	190	320	443	320	284	373	320																																														Elite				Elite				Elite										34	71	120	0
treeppl1	1580	treeppl1	treeppl2	0	EntA	treeppl1	other	thornhulk	Brute		!8	Regulars		"Levels, Superuniques"	1													2	3		6	6	1	thornhulk	thornhulk	10	3	2	1	80	80	80				2	2	2	95	100	100	50	50	50																						1	1			1									1	1						1																											140	100	100	-20	-20	-20									15	15	15	100			35	35	35	100	0				50	50	50	0	140	180	100	120	110	130	200	110	130	200				140	180	100	120	137	162	200	137	162	200				220	240	100	120	165	195	200	165	195	200																																														Normal				Normal				Normal										3	75	120	0
treeppl2	1581	treeppl1		0	Sequoia	treeppl2	treeppl2	thornhulk	Brute	mon_elite	!8	Regulars		"Levels, Missiles"	1													3	5	36	8	8	1	thornhulk	thornhulk	10	3	2	1	80	80	80				2	2	2	95	100	100	50	50	50																						1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	560	800	150	200	140	160	350	140	160	350				774	1106	150	200	227	260	350	227	260	350				988	1414	150	200	315	360	350	315	360	350																																														Elite				Elite				Elite										29	75	120	0
