Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Act 5 (N) Miss A	9	57	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip A	16		Act 5 (N) Good	4		Act 5 (N) Bow A	6		Ammo	3																	0
Act 5 (N) Miss B	9	60	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip B	16		Act 5 (N) Good	4		Act 5 (N) Bow B	6		Ammo	3																	0
Act 5 (N) Miss C	9	62	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip C	16		Act 5 (N) Good	4		Act 5 (N) Bow B	6		Ammo	3																	0
Act 1 (H) Miss A	9	63	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip A	16		Act 1 (H) Good	4		Act 1 (H) Bow A	6		Ammo	3																	0
Act 1 (H) Miss B	9	66	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip B	16		Act 1 (H) Good	4		Act 1 (H) Bow B	6		Ammo	3																	0
Act 1 (H) Miss C	9	68	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip B	16		Act 1 (H) Good	4		Act 1 (H) Bow B	6		Ammo	3																	0
Act 2 (H) Miss A	9	69	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip A	16		Act 2 (H) Good	4		Act 2 (H) Bow A	6		Ammo	3																	0
Act 2 (H) Miss B	9	71	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip B	16		Act 2 (H) Good	4		Act 2 (H) Bow B	6		Ammo	3																	0
Act 2 (H) Miss C	9	72	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip B	16		Act 2 (H) Good	4		Act 2 (H) Bow B	6		Ammo	3																	0
Act 3 (H) Miss A	9	74	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip A	16		Act 3 (H) Good	4		Act 3 (H) Bow A	6		Ammo	3																	0
Act 3 (H) Miss B	9	75	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip B	16		Act 3 (H) Good	4		Act 3 (H) Bow B	6		Ammo	3																	0
Act 3 (H) Miss C	9	77	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip B	16		Act 3 (H) Good	4		Act 3 (H) Bow B	6		Ammo	3																	0
Act 4 (H) Miss A	9	78	1					100	gld	21		Act 1 (H) Junk	21		Act 4 (H) Equip A	16		Act 4 (H) Good	4		Act 4 (H) Bow A	6		Ammo	3																	0
Act 4 (H) Miss B	9	80	1					100	gld	21		Act 1 (H) Junk	21		Act 4 (H) Equip B	16		Act 4 (H) Good	4		Act 4 (H) Bow B	6		Ammo	3																	0
Act 5 (H) Miss A	9	81	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip A	16		Act 5 (H) Good	4		Act 5 (H) Bow A	6		Ammo	3																	0
Act 5 (H) Miss B	9	83	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip B	16		Act 5 (H) Good	4		Act 5 (H) Bow B	6		Ammo	3																	0
Act 5 (H) Miss C	9	85	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip C	16		Act 5 (H) Good	4		Act 5 (H) Bow B	6		Ammo	3																	0
Act 1 Citem A	11	0	1				1024	0	gld,mul=1280	60		Act 1 Equip A	35		Act 1 Good	5																										0
Act 1 Citem B	11	5	1				1024	0	gld,mul=1280	60		Act 1 Equip B	35		Act 1 Good B	5																										0
Act 1 Citem C	11	9	1				1024	0	gld,mul=1280	60		Act 1 Equip C	35		Act 1 Good C	5																										0
Act 2 Citem A	11	12	1				1024	0	gld,mul=1280	60		Act 2 Equip A	35		Act 2 Good	5																										0
Act 2 Citem B	11	15	1				1024	0	gld,mul=1280	60		Act 2 Equip B	35		Act 2 Good	5																										0
Act 2 Citem C	11	18	1				1024	0	gld,mul=1280	60		Act 2 Equip C	35		Act 3 Good	5																										0
Act 3 Citem A	11	20	1				1024	0	gld,mul=1280	60		Act 3 Equip A	35		Act 3 Good	5																										0
Act 3 Citem B	11	22	1				1024	0	gld,mul=1280	60		Act 3 Equip B	35		Act 3 Good	5																										0
Act 3 Citem C	11	24	1				1024	0	gld,mul=1280	60		Act 3 Equip C	35		Act 3 Good	5																										0
Act 4 Citem A	11	26	1				1024	0	gld,mul=1280	60		Act 4 Equip A	35		Act 4 Good	5																										0
Act 4 Citem B	11	29	1				1024	0	gld,mul=1280	60		Act 4 Equip B	35		Act 4 Good	5																										0
Act 5 Citem A	11	32	1				1024	0	gld,mul=1280	60		Act 5 Equip A	35		Act 5 Good	5																										0
Act 5 Citem B	11	34	1				1024	0	gld,mul=1280	60		Act 5 Equip B	35		Act 5 Good	5																										0
Act 5 Citem C	11	36	1				1024	0	gld,mul=1280	60		Act 5 Equip C	35		Act 5 Good	5																										0
Act 1 (N) Citem A	11	38	1				1024	0	gld,mul=1280	60		Act 1 (N) Equip A	35		Act 1 (N) Good	5																										0
Act 1 (N) Citem B	11	40	1				1024	0	gld,mul=1280	60		Act 1 (N) Equip B	35		Act 1 (N) Good	5																										0
Act 1 (N) Citem C	11	41	1				1024	0	gld,mul=1280	60		Act 1 (N) Equip B	35		Act 1 (N) Good	5																										0
Act 2 (N) Citem A	11	42	1				1024	0	gld,mul=1280	60		Act 2 (N) Equip A	35		Act 2 (N) Good	5																										0
Act 2 (N) Citem B	11	44	1				1024	0	gld,mul=1280	60		Act 2 (N) Equip B	35		Act 2 (N) Good	5																										0
Act 2 (N) Citem C	11	45	1				1024	0	gld,mul=1280	60		Act 2 (N) Equip B	35		Act 2 (N) Good	5																										0
Act 3 (N) Citem A	11	46	1				1024	0	gld,mul=1280	60		Act 3 (N) Equip A	35		Act 3 (N) Good	5																										0
Act 3 (N) Citem B	11	48	1				1024	0	gld,mul=1280	60		Act 3 (N) Equip B	35		Act 3 (N) Good	5																										0
Act 3 (N) Citem C	11	50	1				1024	0	gld,mul=1280	60		Act 3 (N) Equip B	35		Act 3 (N) Good	5																										0
Act 4 (N) Citem A	11	51	1				1024	0	gld,mul=1280	60		Act 4 (N) Equip A	35		Act 4 (N) Good	5																										0
Act 4 (N) Citem B	11	54	1				1024	0	gld,mul=1280	60		Act 4 (N) Equip B	35		Act 4 (N) Good	5																										0
Act 5 (N) Citem A	11	57	1				1024	0	gld,mul=1280	60		Act 5 (N) Equip A	35		Act 5 (N) Good	5																										0
Act 5 (N) Citem B	11	60	1				1024	0	gld,mul=1280	60		Act 5 (N) Equip B	35		Act 5 (N) Good	5																										0
Act 5 (N) Citem C	11	62	1				1024	0	gld,mul=1280	60		Act 5 (N) Equip C	35		Act 5 (N) Good	5																										0
Act 1 (H) Citem A	11	63	1				1024	0	gld,mul=1280	60		Act 1 (H) Equip A	35		Act 1 (H) Good	5																										0
Act 1 (H) Citem B	11	66	1				1024	0	gld,mul=1280	60		Act 1 (H) Equip B	35		Act 1 (H) Good	5																										0
Act 1 (H) Citem C	11	68	1				1024	0	gld,mul=1280	60		Act 1 (H) Equip B	35		Act 1 (H) Good	5																										0
Act 2 (H) Citem A	11	69	1				1024	0	gld,mul=1280	60		Act 2 (H) Equip A	35		Act 2 (H) Good	5																										0
Act 2 (H) Citem B	11	71	1				1024	0	gld,mul=1280	60		Act 2 (H) Equip B	35		Act 2 (H) Good	5																										0
Act 2 (H) Citem C	11	72	1				1024	0	gld,mul=1280	60		Act 2 (H) Equip B	35		Act 2 (H) Good	5																										0
Act 3 (H) Citem A	11	74	1				1024	0	gld,mul=1280	60		Act 3 (H) Equip A	35		Act 3 (H) Good	5																										0
Act 3 (H) Citem B	11	75	1				1024	0	gld,mul=1280	60		Act 3 (H) Equip B	35		Act 3 (H) Good	5																										0
Act 3 (H) Citem C	11	77	1				1024	0	gld,mul=1280	60		Act 3 (H) Equip B	35		Act 3 (H) Good	5																										0
Act 4 (H) Citem A	11	78	1				1024	0	gld,mul=1280	60		Act 4 (H) Equip A	35		Act 4 (H) Good	5																										0
Act 4 (H) Citem B	11	80	1				1024	0	gld,mul=1280	60		Act 4 (H) Equip B	35		Act 4 (H) Good	5																										0
Act 5 (H) Citem A	11	81	1				1024	0	gld,mul=1280	60		Act 5 (H) Equip A	35		Act 5 (H) Good	5																										0
Act 5 (H) Citem B	11	83	1				1024	0	gld,mul=1280	60		Act 5 (H) Equip B	35		Act 5 (H) Good	5																										0
Act 5 (H) Citem C	11	85	1				1024	0	gld,mul=1280	60		Act 5 (H) Equip C	35		Act 5 (H) Good	5																										0
Act 1 Cpot A	12	0	2					0	Hpotion 1	1																																0
Act 1 Cpot B	12	5	2					0	Hpotion 1	1																																0
Act 1 Cpot C	12	9	2					0	Hpotion 1	1																																0
Act 2 Cpot A	12	12	2					0	Hpotion 2	1																																0
Act 2 Cpot B	12	15	2					0	Hpotion 2	1																																0
Act 2 Cpot C	12	18	2					0	Hpotion 2	1																																0
Act 3 Cpot A	12	20	2					0	Hpotion 3	1																																0
Act 3 Cpot B	12	22	2					0	Hpotion 3	1																																0
Act 3 Cpot C	12	24	2					0	Hpotion 3	1																																0
Act 4 Cpot A	12	26	2					0	Hpotion 3	1		Hpotion 4	2																													0
Act 4 Cpot B	12	29	2					0	Hpotion 3	1		Hpotion 4	2																													0
Act 5 Cpot A	12	32	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 5 Cpot B	12	34	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 5 Cpot C	12	36	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 1 (N) Cpot A	12	38	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 1 (N) Cpot B	12	40	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 1 (N) Cpot C	12	41	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot A	12	42	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot B	12	44	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot C	12	45	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 3 (N) Cpot A	12	46	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 3 (N) Cpot B	12	48	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 3 (N) Cpot C	12	50	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 4 (N) Cpot A	12	51	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 4 (N) Cpot B	12	54	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 5 (N) Cpot A	12	57	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 5 (N) Cpot B	12	60	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 5 (N) Cpot C	12	62	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot A	12	63	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot B	12	66	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot C	12	68	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot A	12	69	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot B	12	71	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot C	12	72	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 3 (H) Cpot A	12	74	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 3 (H) Cpot B	12	75	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 3 (H) Cpot C	12	77	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 4 (H) Cpot A	12	78	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 4 (H) Cpot B	12	80	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 5 (H) Cpot A	12	81	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 5 (H) Cpot B	12	83	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	9																										0
Act 5 (H) Cpot C	12	85	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	9																										0
Act 1 Champ A	13	0	-2					0	Act 1 Citem A	1		Act 1 Cpot A	1																													0
Act 1 Champ B	13	5	-2					0	Act 1 Citem B	1		Act 1 Cpot B	1																													0
Act 1 Champ C	13	9	-2					0	Act 1 Citem C	1		Act 1 Cpot C	1																													0
Act 2 Champ A	13	12	-2					0	Act 2 Citem A	1		Act 2 Cpot A	1																													0
Act 2 Champ B	13	15	-2					0	Act 2 Citem B	1		Act 2 Cpot B	1																													0
Act 2 Champ C	13	18	-2					0	Act 2 Citem C	1		Act 2 Cpot C	1																													0
Act 3 Champ A	13	20	-2					0	Act 3 Citem A	1		Act 3 Cpot A	1																													0
Act 3 Champ B	13	22	-2					0	Act 3 Citem B	1		Act 3 Cpot B	1																													0
Act 3 Champ C	13	24	-2					0	Act 3 Citem C	1		Act 3 Cpot C	1																													0
Act 4 Champ A	13	26	-2					0	Act 4 Citem A	1		Act 4 Cpot A	1																													0
Act 4 Champ B	13	29	-2					0	Act 4 Citem B	1		Act 4 Cpot B	1																													0
Act 5 Champ A	13	32	-2					0	Act 5 Citem A	1		Act 5 Cpot A	1																													0
Act 5 Champ B	13	34	-2					0	Act 5 Citem B	1		Act 5 Cpot B	1																													0
Act 5 Champ C	13	36	-2					0	Act 5 Citem C	1		Act 5 Cpot C	1																													0
Act 1 (N) Champ A	13	38	-2					0	Act 1 (N) Citem A	1		Act 1 (N) Cpot A	1																													0
Act 1 (N) Champ B	13	40	-2					0	Act 1 (N) Citem B	1		Act 1 (N) Cpot B	1																													0
Act 1 (N) Champ C	13	41	-2					0	Act 1 (N) Citem C	1		Act 1 (N) Cpot C	1																													0
Act 2 (N) Champ A	13	42	-2					0	Act 2 (N) Citem A	1		Act 2 (N) Cpot A	1																													0
Act 2 (N) Champ B	13	44	-2					0	Act 2 (N) Citem B	1		Act 2 (N) Cpot B	1																													0
Act 2 (N) Champ C	13	45	-2					0	Act 2 (N) Citem C	1		Act 2 (N) Cpot C	1																													0
Act 3 (N) Champ A	13	46	-2					0	Act 3 (N) Citem A	1		Act 3 (N) Cpot A	1																													0
Act 3 (N) Champ B	13	48	-2					0	Act 3 (N) Citem B	1		Act 3 (N) Cpot B	1																													0
Act 3 (N) Champ C	13	50	-2					0	Act 3 (N) Citem C	1		Act 3 (N) Cpot C	1																													0
Act 4 (N) Champ A	13	51	-2					0	Act 4 (N) Citem A	1		Act 4 (N) Cpot A	1																													0
Act 4 (N) Champ B	13	54	-2					0	Act 4 (N) Citem B	1		Act 4 (N) Cpot B	1																													0
Act 4 (N) Champ C	13	56	-2					0	Act 4 (N) Citem B	1		Act 4 (N) Cpot B	1																													0
Act 5 (N) Champ A	13	57	-2					0	Act 5 (N) Citem A	1		Act 5 (N) Cpot A	1																													0
Act 5 (N) Champ B	13	60	-2					0	Act 5 (N) Citem B	1		Act 5 (N) Cpot B	1																													0
Act 5 (N) Champ C	13	62	-2					0	Act 5 (N) Citem C	1		Act 5 (N) Cpot C	1																													0
Act 1 (H) Champ A	13	63	-2					0	Act 1 (H) Citem A	1		Act 1 (H) Cpot A	1																													0
Act 1 (H) Champ B	13	66	-2					0	Act 1 (H) Citem B	1		Act 1 (H) Cpot B	1																													0
Act 1 (H) Champ C	13	68	-2					0	Act 1 (H) Citem C	1		Act 1 (H) Cpot C	1																													0
Act 2 (H) Champ A	13	69	-2					0	Act 2 (H) Citem A	1		Act 2 (H) Cpot A	1																													0
Act 2 (H) Champ B	13	71	-2					0	Act 2 (H) Citem B	1		Act 2 (H) Cpot B	1																													0
Act 2 (H) Champ C	13	72	-2					0	Act 2 (H) Citem C	1		Act 2 (H) Cpot C	1																													0
Act 3 (H) Champ A	13	74	-2					0	Act 3 (H) Citem A	1		Act 3 (H) Cpot A	1																													0
Act 3 (H) Champ B	13	75	-2					0	Act 3 (H) Citem B	1		Act 3 (H) Cpot B	1																													0
Act 3 (H) Champ C	13	77	-2					0	Act 3 (H) Citem C	1		Act 3 (H) Cpot C	1																													0
Act 4 (H) Champ A	13	78	-2					0	Act 4 (H) Citem A	1		Act 4 (H) Cpot A	1																													0
Act 4 (H) Champ B	13	80	-2					0	Act 4 (H) Citem B	1		Act 4 (H) Cpot B	1																													0
Act 5 (H) Champ A	13	81	-2					0	Act 5 (H) Citem A	1		Act 5 (H) Cpot A	1																													0
Act 5 (H) Champ B	13	83	-2					0	Act 5 (H) Citem B	1		Act 5 (H) Cpot B	1																													0
Act 5 (H) Champ C	13	85	-2					0	Act 5 (H) Citem C	1		Act 5 (H) Cpot C	1																													0
Act 1 Uitem A	14	0	2				1024	0	Act 1 Equip A	58		Act 1 Good	4																													0
Act 1 Uitem B	14	5	2				1024	0	Act 1 Equip B	58		Act 1 Good B	4																													0
Act 1 Uitem C	14	9	2				1024	0	Act 1 Equip C	58		Act 1 Good C	4																													0
Act 2 Uitem A	14	12	2				1024	0	Act 2 Equip A	58		Act 2 Good	4																													0
Act 2 Uitem B	14	15	2				1024	0	Act 2 Equip B	58		Act 2 Good	4																													0
Act 2 Uitem C	14	18	2				1024	0	Act 2 Equip C	58		Act 3 Good	4																													0
Act 3 Uitem A	14	20	2				1024	0	Act 3 Equip A	58		Act 3 Good	4																													0
Act 3 Uitem B	14	22	2				1024	0	Act 3 Equip B	58		Act 3 Good	4																													0
Act 3 Uitem C	14	24	2				1024	0	Act 3 Equip C	58		Act 3 Good	4																													0
Act 4 Uitem A	14	26	2				1024	0	Act 4 Equip A	58		Act 4 Good	4																													0
Act 4 Uitem B	14	29	2				1024	0	Act 4 Equip B	58		Act 4 Good	4																													0
Act 5 Uitem A	14	32	2				1024	0	Act 5 Equip A	58		Act 5 Good	4																													0
Act 5 Uitem B	14	34	2				1024	0	Act 5 Equip B	58		Act 5 Good	4																													0
Act 5 Uitem C	14	36	2				1024	0	Act 5 Equip C	58		Act 5 Good	4																													0
Act 1 (N) Uitem A	14	38	2				1024	0	Act 1 (N) Equip A	58		Act 1 (N) Good	4																													0
Act 1 (N) Uitem B	14	40	2				1024	0	Act 1 (N) Equip B	58		Act 1 (N) Good	4																													0
Act 1 (N) Uitem C	14	41	2				1024	0	Act 1 (N) Equip B	58		Act 1 (N) Good	4																													0
Act 2 (N) Uitem A	14	42	2				1024	0	Act 2 (N) Equip A	58		Act 2 (N) Good	4																													0
Act 2 (N) Uitem B	14	44	2				1024	0	Act 2 (N) Equip B	58		Act 2 (N) Good	4																													0
Act 2 (N) Uitem C	14	45	2				1024	0	Act 2 (N) Equip B	58		Act 2 (N) Good	4																													0
Act 3 (N) Uitem A	14	46	2				1024	0	Act 3 (N) Equip A	58		Act 3 (N) Good	4																													0
Act 3 (N) Uitem B	14	48	2				1024	0	Act 3 (N) Equip B	58		Act 3 (N) Good	4																													0
Act 3 (N) Uitem C	14	50	2				1024	0	Act 3 (N) Equip B	58		Act 3 (N) Good	4																													0
Act 4 (N) Uitem A	14	51	2				1024	0	Act 4 (N) Equip A	58		Act 4 (N) Good	4																													0
Act 4 (N) Uitem B	14	54	2				1024	0	Act 4 (N) Equip B	58		Act 4 (N) Good	4																													0
Act 5 (N) Uitem A	14	57	2				1024	0	Act 5 (N) Equip A	58		Act 5 (N) Good	4																													0
Act 5 (N) Uitem B	14	60	2				1024	0	Act 5 (N) Equip B	58		Act 5 (N) Good	4																													0
Act 5 (N) Uitem C	14	62	2				1024	0	Act 5 (N) Equip C	58		Act 5 (N) Good	4																													0
Act 1 (H) Uitem A	14	63	2				1024	0	Act 1 (H) Equip A	58		Act 1 (H) Good	4																													0
Act 1 (H) Uitem B	14	66	2				1024	0	Act 1 (H) Equip B	58		Act 1 (H) Good	4																													0
Act 1 (H) Uitem C	14	68	2				1024	0	Act 1 (H) Equip B	58		Act 1 (H) Good	4																													0
Act 2 (H) Uitem A	14	69	2				1024	0	Act 2 (H) Equip A	58		Act 2 (H) Good	4																													0
Act 2 (H) Uitem B	14	71	2				1024	0	Act 2 (H) Equip B	58		Act 2 (H) Good	4																													0
Act 2 (H) Uitem C	14	72	2				1024	0	Act 2 (H) Equip B	58		Act 2 (H) Good	4																													0
Act 3 (H) Uitem A	14	74	2				1024	0	Act 3 (H) Equip A	58		Act 3 (H) Good	4																													0
Act 3 (H) Uitem B	14	75	2				1024	0	Act 3 (H) Equip B	58		Act 3 (H) Good	4																													0
Act 3 (H) Uitem C	14	77	2				1024	0	Act 3 (H) Equip B	58		Act 3 (H) Good	4																													0
Act 4 (H) Uitem A	14	78	2				1024	0	Act 4 (H) Equip A	58		Act 4 (H) Good	4																													0
Act 4 (H) Uitem B	14	80	2				1024	0	Act 4 (H) Equip B	58		Act 4 (H) Good	4																													0
Act 5 (H) Uitem A	14	81	2				1024	0	Act 5 (H) Equip A	58		Act 5 (H) Good	4																													0
Act 5 (H) Uitem B	14	83	2				1024	0	Act 5 (H) Equip B	58		Act 5 (H) Good	4																													0
Act 5 (H) Uitem C	14	85	2				1024	0	Act 5 (H) Equip C	58		Act 5 (H) Good	4																													0
Act 1 Unique A	15	0	-3					0	Act 1 Uitem A	1		Act 1 Cpot A	2																													0
Act 1 Unique B	15	5	-3					0	Act 1 Uitem B	1		Act 1 Cpot B	2																													0
Act 1 Unique C	15	9	-3					0	Act 1 Uitem C	1		Act 1 Cpot C	2																													0
Act 2 Unique A	15	12	-3					0	Act 2 Uitem A	1		Act 2 Cpot A	2																													0
Act 2 Unique B	15	15	-3					0	Act 2 Uitem B	1		Act 2 Cpot B	2																													0
Act 2 Unique C	15	18	-3					0	Act 2 Uitem C	1		Act 2 Cpot C	2																													0
Act 3 Unique A	15	20	-3					0	Act 3 Uitem A	1		Act 3 Cpot A	2																													0
Act 3 Unique B	15	22	-3					0	Act 3 Uitem B	1		Act 3 Cpot B	2																													0
Act 3 Unique C	15	24	-3					0	Act 3 Uitem C	1		Act 3 Cpot C	2																													0
Act 4 Unique A	15	26	-3					0	Act 4 Uitem A	1		Act 4 Cpot A	2																													0
Act 4 Unique B	15	29	-3					0	Act 4 Uitem B	1		Act 4 Cpot B	2																													0
Act 5 Unique A	15	32	-3					0	Act 5 Uitem A	1		Act 5 Cpot A	2																													0
Act 5 Unique B	15	34	-3					0	Act 5 Uitem B	1		Act 5 Cpot B	2																													0
Act 5 Unique C	15	36	-3					0	Act 5 Uitem C	1		Act 5 Cpot C	2																													0
Act 1 (N) Unique A	15	38	-3					0	Act 1 (N) Uitem A	1		Act 1 (N) Cpot A	2																													0
Act 1 (N) Unique B	15	40	-3					0	Act 1 (N) Uitem B	1		Act 1 (N) Cpot B	2																													0
Act 1 (N) Unique C	15	41	-3					0	Act 1 (N) Uitem C	1		Act 1 (N) Cpot C	2																													0
Act 2 (N) Unique A	15	42	-3					0	Act 2 (N) Uitem A	1		Act 2 (N) Cpot A	2																													0
Act 2 (N) Unique B	15	44	-3					0	Act 2 (N) Uitem B	1		Act 2 (N) Cpot B	2																													0
Act 2 (N) Unique C	15	45	-3					0	Act 2 (N) Uitem C	1		Act 2 (N) Cpot C	2																													0
Act 3 (N) Unique A	15	46	-3					0	Act 3 (N) Uitem A	1		Act 3 (N) Cpot A	2																													0
Act 3 (N) Unique B	15	48	-3					0	Act 3 (N) Uitem B	1		Act 3 (N) Cpot B	2																													0
Act 3 (N) Unique C	15	50	-3					0	Act 3 (N) Uitem C	1		Act 3 (N) Cpot C	2																													0
Act 4 (N) Unique A	15	51	-3					0	Act 4 (N) Uitem A	1		Act 4 (N) Cpot A	2																													0
Act 4 (N) Unique B	15	54	-3					0	Act 4 (N) Uitem B	1		Act 4 (N) Cpot B	2																													0
Act 5 (N) Unique A	15	57	-3					0	Act 5 (N) Uitem A	1		Act 5 (N) Cpot A	2																													0
Act 5 (N) Unique B	15	60	-3					0	Act 5 (N) Uitem B	1		Act 5 (N) Cpot B	2																													0
Act 5 (N) Unique C	15	62	-3					0	Act 5 (N) Uitem C	1		Act 5 (N) Cpot C	2																													0
Act 1 (H) Unique A	15	63	-3					0	Act 1 (H) Uitem A	1		Act 1 (H) Cpot A	2																													0
Act 1 (H) Unique B	15	66	-3					0	Act 1 (H) Uitem B	1		Act 1 (H) Cpot B	2																													0
Act 1 (H) Unique C	15	68	-3					0	Act 1 (H) Uitem C	1		Act 1 (H) Cpot C	2																													0
Act 2 (H) Unique A	15	69	-3					0	Act 2 (H) Uitem A	1		Act 2 (H) Cpot A	2																													0
Act 2 (H) Unique B	15	71	-3					0	Act 2 (H) Uitem B	1		Act 2 (H) Cpot B	2																													0
Act 2 (H) Unique C	15	72	-3					0	Act 2 (H) Uitem C	1		Act 2 (H) Cpot C	2																													0
Act 3 (H) Unique A	15	74	-3					0	Act 3 (H) Uitem A	1		Act 3 (H) Cpot A	2																													0
Act 3 (H) Unique B	15	75	-3					0	Act 3 (H) Uitem B	1		Act 3 (H) Cpot B	2																													0
Act 3 (H) Unique C	15	77	-3					0	Act 3 (H) Uitem C	1		Act 3 (H) Cpot C	2																													0
Act 4 (H) Unique A	15	78	-3					0	Act 4 (H) Uitem A	1		Act 4 (H) Cpot A	2																													0
Act 4 (H) Unique B	15	80	-3					0	Act 4 (H) Uitem B	1		Act 4 (H) Cpot B	2																													0
Act 5 (H) Unique A	15	81	-3					0	Act 5 (H) Uitem A	1		Act 5 (H) Cpot A	2																													0
Act 5 (H) Unique B	15	83	-3					0	Act 5 (H) Uitem B	1		Act 5 (H) Cpot B	2																													0
Act 5 (H) Unique C	15	85	-3					0	Act 5 (H) Uitem C	1		Act 5 (H) Cpot C	2																													0
Act 1 Super A	18	0	-4					0	Act 1 Uitem A	2		Act 1 Cpot A	2																													0
Act 1 Super B	18	5	-4					0	Act 1 Uitem B	2		Act 1 Cpot B	2																													0
Act 1 Super C	18	9	-4					0	Act 1 Uitem C	2		Act 1 Cpot C	2																													0
Act 2 Super A	18	12	-4					0	Act 2 Uitem A	2		Act 2 Cpot A	2																													0
Act 2 Super B	18	15	-4					0	Act 2 Uitem B	2		Act 2 Cpot B	2																													0
Act 2 Super C	18	18	-4					0	Act 2 Uitem C	2		Act 2 Cpot C	2																													0
Act 3 Super A	18	20	-4					0	Act 3 Uitem A	2		Act 3 Cpot A	2																													0
Act 3 Super B	18	22	-4					0	Act 3 Uitem B	2		Act 3 Cpot B	2																													0
Act 3 Super C	18	24	-4					0	Act 3 Uitem C	2		Act 3 Cpot C	2																													0
Act 4 Super A	18	26	-4					0	Act 4 Uitem A	2		Act 4 Cpot A	2																													0
Act 4 Super B	18	29	-4					0	Act 4 Uitem B	2		Act 4 Cpot B	2																													0
Act 4 Super C	18	32	-4					0	Act 4 Uitem B	2		Act 4 Cpot B	2																													0
Act 5 Super A	18	34	-4					0	Act 5 Uitem A	2		Act 5 Cpot A	2																													0
Act 5 Super B	18	36	-4					0	Act 5 Uitem B	2		Act 5 Cpot B	2																													0
Act 5 Super C	18	38	-4					0	Act 5 Uitem C	2		Act 5 Cpot C	2																													0
