Treasure Class	* Laz / contains	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Act 4 Cast A		8	26	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip A	16	9%	Act 4 Good	5	3%																						0
Act 4 Cast B		8	29	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip B	16	9%	Act 4 Good	5	3%																						0
Act 5 Cast A		8	32	1					75	NDTC	71	12%	Act 5 Junk	3	6%	Act 5 Equip A	16	9%	Act 5 Good	5	3%																						0
Act 5 Cast B		8	34	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip B	16	9%	Act 5 Good	5	3%																						0
Act 5 Cast C		8	36	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip C	16	9%	Act 5 Good	5	3%																						0
Act 1 (N) Cast A		8	38	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip A	16	9%	Act 1 (N) Good	5	3%																						0
Act 1 (N) Cast B		8	40	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip B	16	9%	Act 1 (N) Good	5	3%																						0
Act 1 (N) Cast C		8	41	1					75	NDTC	71	12%	Act 1 (N) Junk	3	4%	Act 1 (N) Equip B	16	9%	Act 1 (N) Good	5	3%																						0
Act 2 (N) Cast A		8	42	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip A	16	9%	Act 2 (N) Good	5	3%																						0
Act 2 (N) Cast B		8	44	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	16	9%	Act 2 (N) Good	5	3%																						0
Act 2 (N) Cast C		8	45	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	16	9%	Act 2 (N) Good	5	3%																						0
Act 3 (N) Cast A		8	46	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip A	16	9%	Act 3 (N) Good	5	3%																						0
Act 3 (N) Cast B		8	48	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	16	9%	Act 3 (N) Good	5	3%																						0
Act 3 (N) Cast C		8	50	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	16	9%	Act 3 (N) Good	5	3%																						0
Act 4 (N) Cast A		8	51	1					75	NDTC	71	12%	Act 4 (N) Junk	3	4%	Act 4 (N) Equip A	16	9%	Act 4 (N) Good	5	3%																						0
Act 4 (N) Cast B		8	54	1					75	NDTC	71	12%	Act 4 (N) Junk	3	3%	Act 4 (N) Equip B	16	9%	Act 4 (N) Good	5	3%																						0
Act 5 (N) Cast A		8	57	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip A	16	9%	Act 5 (N) Good	5	3%																						0
Act 5 (N) Cast B		8	60	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip B	16	9%	Act 5 (N) Good	5	3%																						0
Act 5 (N) Cast C		8	62	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip C	16	9%	Act 5 (N) Good	5	3%																						0
Act 1 (H) Cast A		8	63	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip A	16	9%	Act 1 (H) Good	5	3%																						0
Act 1 (H) Cast B		8	66	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	16	9%	Act 1 (H) Good	5	3%																						0
Act 1 (H) Cast C		8	68	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	16	9%	Act 1 (H) Good	5	3%																						0
Act 2 (H) Cast A		8	69	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 2 (H) Equip A	16	9%	Act 2 (H) Good	5	3%																						0
Act 2 (H) Cast B		8	71	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	16	9%	Act 2 (H) Good	5	3%																						0
Act 2 (H) Cast C		8	72	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	16	9%	Act 2 (H) Good	5	3%																						0
Act 3 (H) Cast A		8	74	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip A	16	9%	Act 3 (H) Good	5	3%																						0
Act 3 (H) Cast B		8	75	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	16	9%	Act 3 (H) Good	5	3%																						0
Act 3 (H) Cast C		8	77	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	16	9%	Act 3 (H) Good	5	3%																						0
Act 4 (H) Cast A		8	78	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip A	16	9%	Act 4 (H) Good	5	3%																						0
Act 4 (H) Cast B		8	80	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip B	16	9%	Act 4 (H) Good	5	3%																						0
Act 5 (H) Cast A		8	81	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 5 (H) Equip A	16	9%	Act 5 (H) Good	5	3%																						0
Act 5 (H) Cast B		8	83	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip B	16	9%	Act 5 (H) Good	5	3%																						0
Act 5 (H) Cast C		8	85	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip C	16	9%	Act 5 (H) Good	5	3%																						0
Act 1 Miss A		9	0	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip A	17	10%	Act 1 Good	4	2%	Clue Gem 10	1	0%																			0
Act 1 Miss B		9	5	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip B	17	10%	Act 1 Good B	4	2%																						0
Act 1 Miss C		9	9	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip C	17	10%	Act 1 Good C	4	2%																						0
Act 2 Miss A		9	12	1					75	NDTC	71	12%	Act 2 Junk	3	7%	Act 2 Equip A	17	10%	Act 2 Good	4	2%																						0
Act 2 Miss B		9	15	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip B	17	10%	Act 2 Good	4	2%																						0
Act 2 Miss C		9	18	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip C	17	10%	Act 3 Good	4	2%																						0
Act 3 Miss A		9	20	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip A	17	10%	Act 3 Good	4	2%																						0
Act 3 Miss B		9	22	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip B	17	10%	Act 3 Good	4	2%																						0
Act 3 Miss C		9	24	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip C	17	10%	Act 3 Good	4	2%																						0
Act 4 Miss A		9	26	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip A	17	10%	Act 4 Good	4	2%																						0
Act 4 Miss B		9	29	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip B	17	10%	Act 4 Good	4	2%																						0
Act 5 Miss A		9	32	1					75	NDTC	71	12%	Act 5 Junk	3	6%	Act 5 Equip A	17	10%	Act 5 Good	4	2%																						0
Act 5 Miss B		9	34	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip B	17	10%	Act 5 Good	4	2%																						0
Act 5 Miss C		9	36	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip C	17	10%	Act 5 Good	4	2%																						0
Act 1 (N) Miss A		9	38	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip A	17	10%	Act 1 (N) Good	4	2%																						0
Act 1 (N) Miss B		9	40	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip B	17	10%	Act 1 (N) Good	4	2%																						0
Act 1 (N) Miss C		9	41	1					75	NDTC	71	12%	Act 1 (N) Junk	3	4%	Act 1 (N) Equip B	17	10%	Act 1 (N) Good	4	2%																						0
Act 2 (N) Miss A		9	42	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip A	17	10%	Act 2 (N) Good	4	2%																						0
Act 2 (N) Miss B		9	44	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	17	10%	Act 2 (N) Good	4	2%																						0
Act 2 (N) Miss C		9	45	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	17	10%	Act 2 (N) Good	4	2%																						0
Act 3 (N) Miss A		9	46	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip A	17	10%	Act 3 (N) Good	4	2%																						0
Act 3 (N) Miss B		9	48	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	17	10%	Act 3 (N) Good	4	2%																						0
Act 3 (N) Miss C		9	50	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	17	10%	Act 3 (N) Good	4	2%																						0
Act 4 (N) Miss A		9	51	1					75	NDTC	71	12%	Act 4 (N) Junk	3	4%	Act 4 (N) Equip A	17	10%	Act 4 (N) Good	4	2%																						0
Act 4 (N) Miss B		9	54	1					75	NDTC	71	12%	Act 4 (N) Junk	3	3%	Act 4 (N) Equip B	17	10%	Act 4 (N) Good	4	2%																						0
Act 5 (N) Miss A		9	57	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip A	17	10%	Act 5 (N) Good	4	2%																						0
Act 5 (N) Miss B		9	60	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip B	17	10%	Act 5 (N) Good	4	2%																						0
Act 5 (N) Miss C		9	62	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip C	17	10%	Act 5 (N) Good	4	2%																						0
Act 1 (H) Miss A		9	63	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip A	17	10%	Act 1 (H) Good	4	2%																						0
Act 1 (H) Miss B		9	66	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	17	10%	Act 1 (H) Good	4	2%																						0
Act 1 (H) Miss C		9	68	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	17	10%	Act 1 (H) Good	4	2%																						0
Act 2 (H) Miss A		9	69	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 2 (H) Equip A	17	10%	Act 2 (H) Good	4	2%																						0
Act 2 (H) Miss B		9	71	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	17	10%	Act 2 (H) Good	4	2%																						0
Act 2 (H) Miss C		9	72	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	17	10%	Act 2 (H) Good	4	2%																						0
Act 3 (H) Miss A		9	74	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip A	17	10%	Act 3 (H) Good	4	2%																						0
Act 3 (H) Miss B		9	75	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	17	10%	Act 3 (H) Good	4	2%																						0
Act 3 (H) Miss C		9	77	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	17	10%	Act 3 (H) Good	4	2%																						0
Act 4 (H) Miss A		9	78	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip A	17	10%	Act 4 (H) Good	4	2%																						0
Act 4 (H) Miss B		9	80	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip B	17	10%	Act 4 (H) Good	4	2%																						0
Act 5 (H) Miss A		9	81	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 5 (H) Equip A	17	10%	Act 5 (H) Good	4	2%																						0
Act 5 (H) Miss B		9	83	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip B	17	10%	Act 5 (H) Good	4	2%																						0
Act 5 (H) Miss C		9	85	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip C	17	10%	Act 5 (H) Good	4	2%																						0
Act 1 Citem A		11	0	1				1024	0	NDgold1	55	59%	Act 1 Equip A	35	34%	Act 1 Good	5	4%	Clue Gem 10	1	0%																						0
Act 1 Citem B		11	5	1				1024	0	NDgold1	55	59%	Act 1 Equip B	35	34%	Act 1 Good B	5	4%																									0
Act 1 Citem C		11	9	1				1024	0	NDgold1	55	59%	Act 1 Equip C	35	34%	Act 1 Good C	5	4%																									0
Act 2 Citem A		11	12	1				1024	0	NDgold1	55	59%	Act 2 Equip A	35	34%	Act 2 Good	5	4%																									0
Act 2 Citem B		11	15	1				1024	0	NDgold1	55	58%	Act 2 Equip B	35	34%	Act 2 Good	5	4%																									0
Act 2 Citem C		11	18	1				1024	0	NDgold1	55	58%	Act 2 Equip C	35	34%	Act 3 Good	5	4%																									0
Act 3 Citem A		11	20	1				1024	0	NDgold1	55	58%	Act 3 Equip A	35	34%	Act 3 Good	5	4%																									0
Act 3 Citem B		11	22	1				1024	0	NDgold1	55	58%	Act 3 Equip B	35	34%	Act 3 Good	5	4%																									0
Act 3 Citem C		11	24	1				1024	0	NDgold1	55	57%	Act 3 Equip C	35	34%	Act 3 Good	5	4%																									0
Act 4 Citem A		11	26	1				1024	0	NDgold1	55	57%	Act 4 Equip A	35	34%	Act 4 Good	5	4%																									0
Act 4 Citem B		11	29	1				1024	0	NDgold1	55	57%	Act 4 Equip B	35	34%	Act 4 Good	5	4%																									0
Act 5 Citem A		11	32	1				1024	0	NDgold1	55	57%	Act 5 Equip A	35	34%	Act 5 Good	5	4%																									0
Act 5 Citem B		11	34	1				1024	0	NDgold1	55	56%	Act 5 Equip B	35	34%	Act 5 Good	5	4%																									0
Act 5 Citem C		11	36	1				1024	0	NDgold1	55	56%	Act 5 Equip C	35	34%	Act 5 Good	5	4%																									0
Act 1 (N) Citem A		11	38	1				1024	0	NDgold1	55	56%	Act 1 (N) Equip A	35	34%	Act 1 (N) Good	5	4%																									0
Act 1 (N) Citem B		11	40	1				1024	0	NDgold1	55	56%	Act 1 (N) Equip B	35	34%	Act 1 (N) Good	5	4%																									0
Act 1 (N) Citem C		11	41	1				1024	0	NDgold1	55	55%	Act 1 (N) Equip B	35	34%	Act 1 (N) Good	5	4%																									0
Act 2 (N) Citem A		11	42	1				1024	0	NDgold1	55	55%	Act 2 (N) Equip A	35	34%	Act 2 (N) Good	5	4%																									0
Act 2 (N) Citem B		11	44	1				1024	0	NDgold1	55	55%	Act 2 (N) Equip B	35	34%	Act 2 (N) Good	5	4%																									0
Act 2 (N) Citem C		11	45	1				1024	0	NDgold1	55	55%	Act 2 (N) Equip B	35	34%	Act 2 (N) Good	5	4%																									0
Act 3 (N) Citem A		11	46	1				1024	0	NDgold1	55	54%	Act 3 (N) Equip A	35	34%	Act 3 (N) Good	5	4%																									0
Act 3 (N) Citem B		11	48	1				1024	0	NDgold1	55	54%	Act 3 (N) Equip B	35	34%	Act 3 (N) Good	5	4%																									0
Act 3 (N) Citem C		11	50	1				1024	0	NDgold1	55	54%	Act 3 (N) Equip B	35	34%	Act 3 (N) Good	5	4%																									0
Act 4 (N) Citem A		11	51	1				1024	0	NDgold1	55	54%	Act 4 (N) Equip A	35	34%	Act 4 (N) Good	5	4%																									0
Act 4 (N) Citem B		11	54	1				1024	0	NDgold1	54	53%	Act 4 (N) Equip B	35	34%	Act 4 (N) Good	5	4%																									0
Act 5 (N) Citem A		11	57	1				1024	0	NDgold1	54	53%	Act 5 (N) Equip A	35	34%	Act 5 (N) Good	5	4%																									0
Act 5 (N) Citem B		11	60	1				1024	0	NDgold1	54	53%	Act 5 (N) Equip B	35	34%	Act 5 (N) Good	5	4%																									0
Act 5 (N) Citem C		11	62	1				1024	0	NDgold1	54	53%	Act 5 (N) Equip C	35	34%	Act 5 (N) Good	5	4%																									0
Act 1 (H) Citem A		11	63	1				1024	0	NDgold1	52	51%	Act 1 (H) Equip A	35	34%	Act 1 (H) Good	5	4%																									0
Act 1 (H) Citem B		11	66	1				1024	0	NDgold1	52	51%	Act 1 (H) Equip B	35	34%	Act 1 (H) Good	5	4%																									0
Act 1 (H) Citem C		11	68	1				1024	0	NDgold1	52	51%	Act 1 (H) Equip B	35	34%	Act 1 (H) Good	5	4%																									0
Act 2 (H) Citem A		11	69	1				1024	0	NDgold1	52	51%	Act 2 (H) Equip A	35	34%	Act 2 (H) Good	5	4%																									0
Act 2 (H) Citem B		11	71	1				1024	0	NDgold1	51	50%	Act 2 (H) Equip B	35	34%	Act 2 (H) Good	5	4%																									0
Act 2 (H) Citem C		11	72	1				1024	0	NDgold1	51	50%	Act 2 (H) Equip B	35	34%	Act 2 (H) Good	5	4%																									0
Act 3 (H) Citem A		11	74	1				1024	0	NDgold1	51	50%	Act 3 (H) Equip A	35	34%	Act 3 (H) Good	5	4%																									0
Act 3 (H) Citem B		11	75	1				1024	0	NDgold1	51	50%	Act 3 (H) Equip B	35	34%	Act 3 (H) Good	5	4%																									0
Act 3 (H) Citem C		11	77	1				1024	0	NDgold1	50	49%	Act 3 (H) Equip B	35	34%	Act 3 (H) Good	5	4%																									0
Act 4 (H) Citem A		11	78	1				1024	0	NDgold1	50	49%	Act 4 (H) Equip A	35	34%	Act 4 (H) Good	5	4%																									0
Act 4 (H) Citem B		11	80	1				1024	0	NDgold1	50	49%	Act 4 (H) Equip B	35	34%	Act 4 (H) Good	5	4%																									0
Act 5 (H) Citem A		11	81	1				1024	0	NDgold1	50	49%	Act 5 (H) Equip A	35	34%	Act 5 (H) Good	5	4%																									0
Act 5 (H) Citem B		11	83	1				1024	0	NDgold1	49	48%	Act 5 (H) Equip B	35	34%	Act 5 (H) Good	5	4%																									0
Act 5 (H) Citem C		11	85	1				1024	0	NDgold1	49	48%	Act 5 (H) Equip C	35	34%	Act 5 (H) Good	5	4%																									0
Act 1 Cpot A		12	0	2					0	Hpotion 1	1																																0
Act 1 Cpot B		12	5	2					0	Hpotion 1	1																																0
Act 1 Cpot C		12	9	2					0	Hpotion 1	1																																0
Act 2 Cpot A		12	12	2					0	Hpotion 2	1																																0
Act 2 Cpot B		12	15	2					0	Hpotion 2	1																																0
Act 2 Cpot C		12	18	2					0	Hpotion 2	1																																0
Act 3 Cpot A		12	20	2					0	Hpotion 3	1																																0
Act 3 Cpot B		12	22	2					0	Hpotion 3	1																																0
Act 3 Cpot C		12	24	2					0	Hpotion 3	1																																0
Act 4 Cpot A		12	26	2					0	Hpotion 3	1		Hpotion 4	2																													0
Act 4 Cpot B		12	29	2					0	Hpotion 3	1		Hpotion 4	2																													0
Act 5 Cpot A		12	32	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 5 Cpot B		12	34	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 5 Cpot C		12	36	2					0	Hpotion 4	1		Hpotion 5	2																													0
Act 1 (N) Cpot A		12	38	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 1 (N) Cpot B		12	40	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 1 (N) Cpot C		12	41	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot A		12	42	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot B		12	44	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 2 (N) Cpot C		12	45	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	4																										0
Act 3 (N) Cpot A		12	46	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 3 (N) Cpot B		12	48	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 3 (N) Cpot C		12	50	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 4 (N) Cpot A		12	51	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 4 (N) Cpot B		12	54	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	5																										0
Act 5 (N) Cpot A		12	57	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 5 (N) Cpot B		12	60	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 5 (N) Cpot C		12	62	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot A		12	63	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot B		12	66	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	6																										0
Act 1 (H) Cpot C		12	68	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot A		12	69	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot B		12	71	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 2 (H) Cpot C		12	72	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 3 (H) Cpot A		12	74	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	7																										0
Act 3 (H) Cpot B		12	75	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 3 (H) Cpot C		12	77	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 4 (H) Cpot A		12	78	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 4 (H) Cpot B		12	80	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 5 (H) Cpot A		12	81	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	8																										0
Act 5 (H) Cpot B		12	83	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	9																										0
Act 5 (H) Cpot C		12	85	2					0	Hpotion 4	1		Hpotion 5	2		Hpotion 6	9																										0
Act 1 Champ A		13	0	-2					0	Act 1 Citem A	1		Act 1 Cpot A	1																													0
Act 1 Champ B		13	5	-2					0	Act 1 Citem B	1		Act 1 Cpot B	1																													0
Act 1 Champ C		13	9	-2					0	Act 1 Citem C	1		Act 1 Cpot C	1																													0
Act 2 Champ A		13	12	-2					0	Act 2 Citem A	1		Act 2 Cpot A	1																													0
Act 2 Champ B		13	15	-2					0	Act 2 Citem B	1		Act 2 Cpot B	1																													0
Act 2 Champ C		13	18	-2					0	Act 2 Citem C	1		Act 2 Cpot C	1																													0
Act 3 Champ A		13	20	-2					0	Act 3 Citem A	1		Act 3 Cpot A	1																													0
Act 3 Champ B		13	22	-2					0	Act 3 Citem B	1		Act 3 Cpot B	1																													0
Act 3 Champ C		13	24	-2					0	Act 3 Citem C	1		Act 3 Cpot C	1																													0
Act 4 Champ A		13	26	-2					0	Act 4 Citem A	1		Act 4 Cpot A	1																													0
Act 4 Champ B		13	29	-2					0	Act 4 Citem B	1		Act 4 Cpot B	1																													0
Act 5 Champ A		13	32	-2					0	Act 5 Citem A	1		Act 5 Cpot A	1																													0
Act 5 Champ B		13	34	-2					0	Act 5 Citem B	1		Act 5 Cpot B	1																													0
Act 5 Champ C		13	36	-2					0	Act 5 Citem C	1		Act 5 Cpot C	1																													0
Act 1 (N) Champ A		13	38	-2					0	Act 1 (N) Citem A	1		Act 1 (N) Cpot A	1																													0
Act 1 (N) Champ B		13	40	-2					0	Act 1 (N) Citem B	1		Act 1 (N) Cpot B	1																													0
Act 1 (N) Champ C		13	41	-2					0	Act 1 (N) Citem C	1		Act 1 (N) Cpot C	1																													0
Act 2 (N) Champ A		13	42	-2					0	Act 2 (N) Citem A	1		Act 2 (N) Cpot A	1																													0
Act 2 (N) Champ B		13	44	-2					0	Act 2 (N) Citem B	1		Act 2 (N) Cpot B	1																													0
Act 2 (N) Champ C		13	45	-2					0	Act 2 (N) Citem C	1		Act 2 (N) Cpot C	1																													0
Act 3 (N) Champ A		13	46	-2					0	Act 3 (N) Citem A	1		Act 3 (N) Cpot A	1																													0
Act 3 (N) Champ B		13	48	-2					0	Act 3 (N) Citem B	1		Act 3 (N) Cpot B	1																													0
Act 3 (N) Champ C		13	50	-2					0	Act 3 (N) Citem C	1		Act 3 (N) Cpot C	1																													0
Act 4 (N) Champ A		13	51	-2					0	Act 4 (N) Citem A	1		Act 4 (N) Cpot A	1																													0
Act 4 (N) Champ B		13	54	-2					0	Act 4 (N) Citem B	1		Act 4 (N) Cpot B	1																													0
Act 4 (N) Champ C		13	56	-2					0	Act 4 (N) Citem B	1		Act 4 (N) Cpot B	1																													0
Act 5 (N) Champ A		13	57	-2					0	Act 5 (N) Citem A	1		Act 5 (N) Cpot A	1																													0
Act 5 (N) Champ B		13	60	-2					0	Act 5 (N) Citem B	1		Act 5 (N) Cpot B	1																													0
Act 5 (N) Champ C		13	62	-2					0	Act 5 (N) Citem C	1		Act 5 (N) Cpot C	1																													0
Act 1 (H) Champ A		13	63	-2					0	Act 1 (H) Citem A	1		Act 1 (H) Cpot A	1																													0
Act 1 (H) Champ B		13	66	-2					0	Act 1 (H) Citem B	1		Act 1 (H) Cpot B	1																													0
Act 1 (H) Champ C		13	68	-2					0	Act 1 (H) Citem C	1		Act 1 (H) Cpot C	1																													0
Act 2 (H) Champ A		13	69	-2					0	Act 2 (H) Citem A	1		Act 2 (H) Cpot A	1																													0
Act 2 (H) Champ B		13	71	-2					0	Act 2 (H) Citem B	1		Act 2 (H) Cpot B	1																													0
Act 2 (H) Champ C		13	72	-2					0	Act 2 (H) Citem C	1		Act 2 (H) Cpot C	1																													0
Act 3 (H) Champ A		13	74	-2					0	Act 3 (H) Citem A	1		Act 3 (H) Cpot A	1																													0
Act 3 (H) Champ B		13	75	-2					0	Act 3 (H) Citem B	1		Act 3 (H) Cpot B	1																													0
Act 3 (H) Champ C		13	77	-2					0	Act 3 (H) Citem C	1		Act 3 (H) Cpot C	1																													0
Act 4 (H) Champ A		13	78	-2					0	Act 4 (H) Citem A	1		Act 4 (H) Cpot A	1																													0
Act 4 (H) Champ B		13	80	-2					0	Act 4 (H) Citem B	1		Act 4 (H) Cpot B	1																													0
Act 5 (H) Champ A		13	81	-2					0	Act 5 (H) Citem A	1		Act 5 (H) Cpot A	1																													0
Act 5 (H) Champ B		13	83	-2					0	Act 5 (H) Citem B	1		Act 5 (H) Cpot B	1																													0
Act 5 (H) Champ C		13	85	-2					0	Act 5 (H) Citem C	1		Act 5 (H) Cpot C	1																													0
Act 1 Uitem A		14	0	3				1024	6	Act 1 Equip A	120	86%	Act 1 Good	14	5%	Clue Gem 10	1	0%																									0
Act 1 Uitem B		14	5	3				1024	6	Act 1 Equip B	120	86%	Act 1 Good B	14	5%																												0
Act 1 Uitem C		14	9	3				1024	6	Act 1 Equip C	120	86%	Act 1 Good C	14	5%																												0
Act 2 Uitem A		14	12	3				1024	6	Act 2 Equip A	120	86%	Act 2 Good	14	5%																												0
Act 2 Uitem B		14	15	3				1024	6	Act 2 Equip B	120	86%	Act 2 Good	14	5%																												0
Act 2 Uitem C		14	18	3				1024	6	Act 2 Equip C	120	86%	Act 3 Good	14	5%																												0
