description	enabled	* type	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	min diff	version	ladder	*eol
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F4+																																																											100		0
blessings (simple): Intimidating: 6 charges	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F5+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F4+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F5+																																																											100		0
blessings (simple): Intimidating: 5 charges	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F6+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F5+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F6+																																																											100		0
blessings (simple): Intimidating: 4 charges	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F7+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F6+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F7+																																																											100		0
blessings (simple): Intimidating: 3 charges	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F8+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F7+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F8+																																																											100		0
blessings (simple): Intimidating: 2 charges	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50											F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35						F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F9+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F8+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50						F9+																																																											100		0
blessings (simple): Intimidating: 1 charge	1	SC - Blessings	16	219	0		4	"ct1a,crf,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,rar,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1a,tmp,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			0	1	ac%			11	30																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,crf,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,rar,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2a,tmp,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	red-dmg%			1	2	ac%			21	50																																																																						100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,crf,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35																																																																	100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,rar,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35																																																																	100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1w,tmp,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	3	ease			20	20	dmg%			20	35																																																																	100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,crf,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50																																																																	100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,rar,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50																																																																	100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2w,tmp,noe"	F9+	"qum,qty=2"					useitem			100	blessings-counter			1	1	deadly			2	4	ease			30	30	dmg%			35	50																																																																	100		0
shrine crafting: Quiet: 10 charges	1	SC - Crafting					2	"ct1x,crf"	C0+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C1+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C0+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C1+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C0+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C1+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C0+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C1+																																																													0
shrine crafting: Quiet: 9 charges	1	SC - Crafting					2	"ct1x,crf"	C1+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C2+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C1+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C2+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C1+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C2+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C1+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C2+																																																													0
shrine crafting: Quiet: 8 charges	1	SC - Crafting					2	"ct1x,crf"	C2+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C3+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C2+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C3+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C2+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C3+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C2+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C3+																																																													0
shrine crafting: Quiet: 7 charges	1	SC - Crafting					2	"ct1x,crf"	C3+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C4+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C3+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C4+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C3+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C4+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C3+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C4+																																																													0
shrine crafting: Quiet: 6 charges	1	SC - Crafting					2	"ct1x,crf"	C4+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C5+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C4+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C5+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C4+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C5+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C4+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C5+																																																													0
shrine crafting: Quiet: 5 charges	1	SC - Crafting					2	"ct1x,crf"	C5+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C6+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C5+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C6+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C5+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C6+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C5+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C6+																																																													0
shrine crafting: Quiet: 4 charges	1	SC - Crafting					2	"ct1x,crf"	C6+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C7+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C6+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C7+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C6+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C7+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C6+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C7+																																																													0
shrine crafting: Quiet: 3 charges	1	SC - Crafting					2	"ct1x,crf"	C7+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C8+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C7+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C8+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C7+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C8+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C7+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C8+																																																													0
shrine crafting: Quiet: 2 charges	1	SC - Crafting					2	"ct1x,crf"	C8+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C9+																																																													0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C8+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10											C9+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C8+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C9+																																																													0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C8+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15											C9+																																																													0
shrine crafting: Quiet: 1 charge	1	SC - Crafting					2	"ct1x,crf"	C9+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10																																																																								0
shrine crafting	1	SC - Crafting					2	"ct1x,rar"	C9+						"usetype,crf"			100	vit			4	20	vit%			4	8	regen			1	10																																																																								0
shrine crafting	1	SC - Crafting					2	"ct2x,crf"	C9+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15																																																																								0
shrine crafting	1	SC - Crafting					2	"ct2x,rar"	C9+						"usetype,crf"			100	vit			6	28	vit%			6	12	regen			2	15																																																																								0
blessings (simple): Quiet: 10 charges	1	SC - Blessings	16	219	0		4	"ct1x,crf,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C1+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,rar,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C1+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,tmp,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C1+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,crf,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C1+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,rar,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C1+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,tmp,noe"	C0+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C1+																																																											100		0
blessings (simple): Quiet: 9 charges	1	SC - Blessings	16	219	0		4	"ct1x,crf,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C2+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,rar,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C2+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,tmp,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C2+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,crf,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C2+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,rar,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C2+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,tmp,noe"	C1+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C2+																																																											100		0
blessings (simple): Quiet: 8 charges	1	SC - Blessings	16	219	0		4	"ct1x,crf,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C3+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,rar,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C3+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,tmp,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C3+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,crf,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C3+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,rar,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C3+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,tmp,noe"	C2+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C3+																																																											100		0
blessings (simple): Quiet: 7 charges	1	SC - Blessings	16	219	0		4	"ct1x,crf,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,rar,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct1x,tmp,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			4	20	vit%			4	8	regen			1	10						C4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,crf,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,rar,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C4+																																																											100		0
blessings (simple)	1	SC - Blessings	16	219	0		4	"ct2x,tmp,noe"	C3+	"qum,qty=2"					useitem			100	blessings-counter			1	1	vit			6	28	vit%			6	12	regen			2	15						C4+																																																											100		0
