Stat	ID	* comments	* type	*In-game	Save Bits	Save Add	Save Param Bits	*min	*max	Send Bits	Send Param Bits	Send Other	Signed	fCallback	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	damagerelated	ValShift	keepzero	direct	maxstat	itemspecific	UpdateAnimRate	Add	Multiply	Saved	CSvSigned	CSvBits	CSvParam	fMin	MinAccr	Encode	op	op param	op base	op stat1	op stat2	op stat3	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Divide	1.09-Save Bits	1.09-Save Add	*eol
not_used_429	429		unused							5			1																																									1024	0	0	0
skill_paganheart_synergy	430	replace w/ syn	items	to All Skills when using an Apple	8	0		0	255	12			1		55	1	1	ModitemPaganB	ModitemPaganB									17	3																									1024	8	0	0
skill_poison_dur	431		items	Bonus to Poison Skill Duration	9	50		-50	461	12			1		154	4	1	ModitemPASyn	ModitemPASyn									4	1																									1024	9	50	0
not_used_432	432		unused							5			1																																									1024	0	0	0
passive1	433		skills							12			1																																									1024	0	0	0
passive2	434		skills							12			1																																									1024	0	0	0
passive3	435		skills							12			1																																									1024	0	0	0
passive4	436		skills							12			1																																									1024	0	0	0
passive5	437		skills							12			1																																									1024	0	0	0
assassin_timer_red_pct	438		skills							12			1																																									1024	0	0	0
item_healwhenstruck	439		items	Life when Struck by an Enemy	8	0		0	255	7			1	1	19	1	1	ModitemHealThorns	ModitemHealThorns									6	2														damagedinmelee	28										1024	8	0	0
item_manawhenstruck	440		items	Mana when Struck by an Enemy	8	0		0	255	7			1	1	18	1	1	ModitemManaThorns	ModitemManaThorns									6	2														damagedinmelee	17										1024	8	0	0
passive_aura_addmax	441		items	to Maximum Necromancer Minions	6	5		-5	58	12			1		84	1	1	ModitemExtraPets	ModitemExtraPets									50	35																		11	1	1	ModitemExtraAllPets	ModitemExtraAllPets			1024	6	5	0
str_bonus_blue	442		items	Current Strength Damage Bonus:	10	0		0	1023	6			1		135	2	2	ModitemStrBBB	ModitemStrBBB									4	1								2	8	strength	damagepercent														1024	10	0	0
item_upgraded	443		cube	\green;Already upgraded!	8	0		0	255	12			1		249	3	0	ModitemUpgraded	ModitemUpgraded									4	1																									1024	8	0	0
skill_minion_hp_percent	444		items	Bonus to Summoned Minion Life	9	50		-50	461	12			1		83	4	1	ModitemHPMinBonus	ModitemHPMinPenality									55	41																									1024	9	50	0
skill_ancientspirits_synergy	445		items	to Maximum Barbarian Minions	6	0		0	63	12			1		73	1	1	ModitemMoreBarbs	ModitemMoreBarbs									50	35																		11	1	1	ModitemExtraAllPets	ModitemExtraAllPets			1024	6	0	0
skill_shamanspath_synergy	446	replace w/ syn	items	Damage to Protector Spirit Bloodlust	8	0		0	255	12			1		80	4	1	ModitemSPSyn	ModitemSPSyn									52	58																									1024	8	0	0
not_used_447	447		unused							5			1																																									1024	0	0	0
potion_efficiency	448		skills							12			1																																									1024	0	0	0
moonstrike_synergy	449	replace w/ syn	items	Enhanced Damage to Moonstrike	8	0		0	255	12			1		38	4	1	ModitemMoonstrikeSyn	ModitemMoonstrikeSyn									12	6																									1024	8	0	0
trophy_counter	450	trophies	cube		5	0		0	31	12			1		250	3	0	ModitemTrophied	ModitemTrophied									3	1																									1024	5	0	0
hounfor_active	451		skills							12			1																																									1024	0	0	0
cube_upgrade_1	452		cube		5	1		-1	30	6			1																																									1024	5	1	0
cube_upgrade_2	453		cube		5	1		-1	30	6			1																																									1024	5	1	0
cube_upgrade_3	454		cube		5	1		-1	30	6			1																																									1024	5	1	0
cube_upgrade_4	455		cube		5	1		-1	30	6			1																																									1024	5	1	0
charm_aura_crushingblow	456	replace w/ syn	skills							12			1																																									1024	0	0	0
enabler	457		misc	used for validations	10	0		0	1023	6			1																																									1024	10	0	0
x_signet62	458		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet63	459		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet64	460		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet65	461		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
skill_voj_mastery	462		items	Damage to Vessel of Justice	8	0		0	255	12			1		142	4	1	ModitemVoJDmgSyn	ModitemVoJDmgSyn																																			1024	8	0	0
item_class_spec	463	Add class req to item	items		5	0		0	31	5			1																																									1024	5	0	0
skill_scorpion_blades	464	replace w/ syn	items	Scorpion Blade Projectiles	9	1		-1	510	12			1		245	3	0	ModItemScorpionBlades	ModItemAthuluaSc									59	50																									1024	9	1	0
skill_totem_damage	465		skills		8	0		0	255	9			1																																									1024	8	0	0
trader_chest	466		cube		7	0		0	127	8			1		10	3	2	ModitemGemSpace	ModitemGemSpace																																			1024	7	0	0
skill_elixirs_synergy	467	replace w/ syn	skills	Damage when using an Apple	10	0		0	1023	12			1		54	4	1	ModitemElix	ModitemElix									17	3																									1024	10	0	0
skill_light_mastery	468		items	Damage to Vessel of Retribution	8	0		0	255	12			1		142	4	1	ModitemVDmgSyn	ModitemVDmgSyn																																			1024	8	0	0
skill_shadow_mastery	469		items	Extra Targets to Paladin Vessels	8	0		0	255	12			1		143	1	1	ModitemVTgtSyn	ModitemVTgtSyn																																			1024	8	0	0
skill_minion_dmg_percent	470		items	Bonus to Summoned Minion Damage	9	50		-50	461	12			1		83	4	1	ModitemDmgMinBonus	ModitemDmgMinBonus									55	41																									1024	9	50	0
shamanic_dmg	471	Shamanic Trance dmg bonus	items		9	50		-50	461	12			1		80	4	1	ModitemDmgMinBonus	ModitemDmgMinBonus									55	41																									1024	9	50	0
shamanic_life	472	Barb summon dummy	items		9	50		-50	461	12			1		80	4	1	ModitemDmgMinBonus	ModitemDmgMinBonus									55	41																									1024	9	50	0
learn_ennead	473		items + skills	\green;Unlocks your Ennead Skill	8	0		0	255	12			1		239	3	0	ModitemLernEnnead	ModitemLernEnnead									6	2																									1024	8	0	0
learn_blackroad	474		items + skills	\green;Unlocks your Black Road Skill	8	0		0	255	12			1		239	3	0	ModitemLearnBlackroad	ModitemLearnBlackroad									6	2																									1024	8	0	0
item_desc_druidmorph	475	replace w/ desc	items	\red;Druid Morph\blue;	1	0		0	1	12			1		240	3	0	ModitemDruidString	ModitemDruidString																																			1024	1	0	0
not_used_476	476		unused							5			1																																									1024	0	0	0
item_desc_hardaura	477	replace w/ desc	items	Nearby enemies lose 10% magic and elemental resistances	4	1		-1	14	12			1		109	3	0	ModitemIncDif	DescBlack7																																			1024	4	1	0
item_desc_instructions	478	replace w/ desc	items	Socketed (1)\nLevel 20 Warp Field Aura	1	0		0	1	12			1		6	3	0	ModitemJollyRoger	ModitemJollyRoger																																			1024	1	0	0
skill_more	479		items	Maximum Skill Level Increased by	4	0		0	15	12			1		74	3	2	ModitemMorSkillz	ModitemMorSkillz									202	59																									1024	4	0	0
item_skill_paragon	480		skills	to Vitality per Socketed Gem	5	0		0	31	12			1		80	1	1	ModitemParagon	ModitemParagon									451	114																									1024	5	0	0
item_skill_runemaster	481		items + skills	to Defense per Socketed Rune	5	0		0	31	12			1		79	4	1	ModitemRunemaster	ModitemRunemaster									451	114																									1024	5	0	0
item_gem_paragon	482		items		10	0		0	1023	6			1																								2	5	item_skill_paragon	vitality														1024	10	0	0
item_rune_runemaster	483		items		10	0		0	1023	6			1																								4	5	item_skill_runemaster	armor_override_percent														1024	10	0	0
not_used_484	484		unused							5			1																																									1024	0	0	0
enr_factor	485		items	Energy Factor to Spell Damage	10	200		-200	823	12			1		200	1	1	ModitemEnrFactor	ModitemEnrFactor									2	1																									1024	10	200	0
not_used_486	486		unused							5			1																																									1024	0	0	0
minion_resist_all	487		items	Bonus to Summoned Minion Resistances	9	25		-25	486	12			1		82	4	1	ModitemResMinBonus	ModitemResMinBonus									55	41																									1024	9	25	0
enr_factor_percent	488		items	Bonus to Energy Factor	9	50		-50	461	11			1		162	4	1	ModitemEFPct	ModitemEFPct									506	145								11			enr_factor														1024	9	50	0
item_targettakesdamage	489		items	Target Takes Additional Damage of	10	0		0	1023	16			1	1	18	3	2	ModitemDoomed	ModitemDoomed									56	64														domeleedamage	6	domissileattack	6								1024	10	0	0
not_used_490	490		unused							5			1																																									1024	0	0	0
not_used_491	491		unused							5			1																																									1024	0	0	0
item_faster_potions	492	misc.txt	items	Increased Healing Rate from Apples	8	50		-50	205	12			1		36	4	1	ModitemFasterPots	ModitemSlowerPots									451	117																									1024	8	50	0
skill_slowrangedthorns	493		items	Slows Ranged Attacker by	8	50		-50	205	7			1	1	79	2	2	ModitemSlowsRangedAt	ModitemSlowsRangedAt									21	17														damagedbymissile	19										1024	8	50	0
not_used_494	494		unused							5			1																																									1024	0	0	0
statX_3	495		skills	Deathlord Identifier	7	24		-24	103	9			1		246													1006	251																									1024	7	24	0
tree_synergy	496		items	"\orange;Such Voracity, Balance for Destruction\blue;"	9	1		-1	510	12			1		5	3	0	ModitemSuchbalance	ModitemSuchbalance									59	50																									1024	9	1	0
pact_checker	497	replace w/ syn	skills							12			1																																									1024	0	0	0
item_cots_when_pact	498	replace w/ syn	skills	Bonus to Fire Elemental Damage if Summoned during Pact of Blood	9	0		0	511	12			1		19	2	1	ModitemCotsWhenPact	ModitemCotsWhenPact									444	203																									1024	9	0	0
item_energy_perlevel	499		items	to Energy	10	0		0	1023	6			1		65	6	1	ModStr1d	ModStr1d	increaseswithplaylevelX								53	64								2	5	level	energy														1024	10	0	0
item_minion_attack	500		items	Bonus to Summoned Minion Attack Rating	8	100		-100	155	12			1		82	4	1	ModitemMinionAttack	ModitemMinionAttack									44	46																									1024	8	100	0
shrine_counter	501		cube	\white;Quantity:	10	23		-23	1000	12			1		60	3	2	ModItemShrineCount	ModItemShrineCountEmpty																																			1024	10	23	0
blessed_life_level	502	replace w/ syn	skills							12			1																																									1024	0	0	0
item_strength_perblessedlife	503		items	to Strength	10	0		0	1023	6			1		71	6	1	ModStr1a	ModStr1a	ModitemStrBL								66	64								2	5	blessed_life_level	strength														1024	10	0	0
item_dexterity_perblessedlife	504		items	to Dexterity	10	0		0	1023	6			1		67	6	1	ModStr1b	ModStr1b	ModitemStrBL								53	64								2	5	blessed_life_level	dexterity														1024	10	0	0
item_hpregen_perlevel	505		items	Life Regenerated per Second (Based on Character Level)	10	0		0	1023	6			1		65	32	1	ModStr2lx	ModStr2lx									111	68								2	5	level	hpregen														1024	10	0	0
desc-superbeasty	506	replace w/ desc	items	\red;Superbeast Morph\blue;	1	0		0	1	12			1		240	3	0	IMAMOTHERFUCKINGMONSTAR	IMAMOTHERFUCKINGMONSTAR									4	1																									1024	1	0	0
levelchallenge_kill_check	507		cube + skills							12			1															1	1																									1024	0	0	0
eq_gr	508	gems	items		9	100		-100	411	12			1															4	1																									1024	9	100	0
eq_grw	509	gems	items		9	100		-100	411	12			1															4	1																									1024	9	100	0
