!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Реагент Куба\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
ModitemExtraPets	к Максимуму Существ Некроманта
ModitemFasterPots	Увеличение Скорости Лечения от Яблок
ModitemFireThorns	Атакующему Наносится Урон Огнем
ModitemGemSpace	Мест для Эссенций:
ModitemHPManaP	Увеличение Максимума Жизни и Маны на
ModitemHPMinBonus	к Жизни Призываемых Существ
ModitemHPMinPenality	к Жизни Призываемых Существ
ModitemHPaK	к Жизни после каждого Убийства
ModitemHabacalva	\orange;Flamefront Имеет Удвоенное Количество Огненных Шаров\blue;
ModitemHalvedAT	Удвоение Эффекта Ауры Кислотного Транса
ModitemHasStardragon	\red;Дракон Повержен, а Все, Что Мне Досталось - Этот Никчемный Талисман\blue;
ModitemHealAttM	к Жизни при Атаке
ModitemHealAttack	к Жизни при Попадании
ModitemHealThorns	к Жизни при Получении Удара
ModitemHexDur	Бонус Длительности Miasma Haunt
ModitemHexSynLd	Длительность Эффекта Миазм: +2 секунды
ModitemHolyArmor2	Бонус Скорости Священной Броне
ModitemHonorific	\dgreen;Эффект от Мистических Сфер Удваивается при Применении\blue;
ModitemHuntPoints	Очков Крафта
ModitemIncDif	Ближайшие враги теряют 10% магического и стихийных сопротивлений
ModitemIncreaseCooldown	%s Перезарядка Увеличена на %.1g
ModitemJollyRoger	С гнездами (1)\nАура Warp Field Уровня 20
ModitemJudasDesc	+300% Повышенный Урон Против Закарумов
ModitemLHStupid	Dragonheart Ослепляет Атакующего
ModitemLamiaRean	Ламия Возрождает Цели как: Священник Ратмы
ModitemLearnBlackroad	\green;Открывает ваш Навык Черной Дороги (Black Road)
ModitemLernEnnead	\green;Открывает ваш Навык Эннеады (Ennead)
ModitemLionessSyn	(Основано на Уровне Навыка Lioness)
ModitemManaAttack	к Мане при Попадании
ModitemManaAttackMelee	к Мане при Атаке
ModitemManaThorns	к Мане при Получении Удара
ModitemMary	к Живучести при использовании Яблока
ModitemMaxSummon	Дополнительных Живодеров
ModitemMegaImpact	\orange;Мега Удар\white;
ModitemMinionAttack	к Рейтингу Атаки Призываемых Существ
ModitemMissMiss	Дополнительных Магических Снарядов
ModitemMoonstrikeSyn	Повышенный Урон Лунного Удара
ModitemMorSkillz	Макс. Уровень Навыков Увеличивается на
ModitemMoreBarbs	к Максимуму Существ Варвара
ModitemMotwDmg	\red;к Бонусному Урону от Mark of the Wild
ModitemMotwDur	к Длительности Mark of the Wild
ModitemMotwElem	\red;к Стихийному Урону от Mark of the Wild
ModitemNeedsLCed	\orange;Можно Улучшить Испытанием Черной Дороги
ModitemNeedsUpgraded	\orange;Можно Улучшить Испытанием Эннеады
ModitemNegBlock	к Базовому Шансу Блока
ModitemNoUpgradesLol	Нельзя Смешать
ModitemPASyn	к Длительности Навыков Яда
ModitemPagan	к Энергии при использовании Яблока
ModitemPaganB	ко Всем Навыкам при использовании Яблока
ModitemParagon	 к Живучести за Вставленный Камень
ModitemPoisonSet	Hive Добавляет 33% к Живучести от Суммарного Бонуса Урону Заклинаний Яда
ModitemRLZOMG	Требуемый Уровень
ModitemRanRes	Случайный Бонус к Сопротивлениям
ModitemRandomAura	Случайная Скорость Ходьбы/Бега
ModitemRedVendP	к Ценам у Торговцев
ModitemReduceCooldown	%s Перезарядка Снижена на %.1g
ModitemRejuvSyn	Снижение Физического Урона к Пакту Крови
ModitemResMinBonus	к Сопротивлениям Призываемых Существ
ModitemResallsk	Ко Всем Сопротивлениям у Врага
ModitemRetributeSynergy	Retribute Fire Resist Penalty Increased by
ModitemRunemaster	к Защите за Вставленную Руну
ModitemSMRIP	Убитые Монстры Не Оставляют Трупов
ModitemSPSyn	к Урону Bloodlust от Protector Spirit
ModitemSearingSyn	к Длительности Ослепления Жгучего Сияния
ModitemShadowCorpse	Тени Создают Трупы при Попадании 5%
ModitemSkillAnyKill	%d%% Шанс использовать навык уровня %d %s когда Враг Умирает
ModitemSkillCap	Очков Навыков с Печатей Использовано:
ModitemSlowerBlock	к Скорости Блокирования
ModitemSlowerPots	Уменьшение Скорости Лечения от Зелий
ModitemSlowsRangedAt	Замедляет Дальнего Атакующего на
ModitemSorcieString	\red;Превращение в Колдунью\blue;
ModitemSpinalTap	\red;А это - одиннадцать
ModitemStamDrain	Кража Выносливости при Попадании
ModitemStanceRadius	к Радиусу Стоек
ModitemStatCap	Очков Атрибутов с Печатей Использовано:
ModitemStateLockout	Работают Только Рукопашные, Навыки Призыва и (Де-)Баффа
ModitemStrBBB	Текущий Бонус Урону от Силы:
ModitemStrBL	(Основано на Уровне Навыка Blessed Life)
ModitemStrFactor	Фактора Силы к Урону Заклинаний
ModitemStrWpnAdder	\grey;Текущий Бонус Урону от Силы:
ModitemSuchbalance	\orange;Такая Прожорливость, Баланс для Разрушения\blue;
ModitemThunderfury	\orange;Громовая Ярость\white;
ModitemTotalAC	Общая Защита Персонажа плюс
ModitemTotemsMax	Дополнительный Тотем
ModitemUninter	Шанс Непрерываемой Атаки
ModitemUpgraded	\green;Уже улучшено!
ModitemVDmgSyn	Урон для Vessel of Retribution
ModitemVTgtSyn	Дополнительные Цели для Сосудов Паладина
ModitemVanquish	Бонус Стихийного Урона к Vanquish
ModitemVoJDmgSyn	Урон для Vessel of Justice
ModitemVoidFire	Урона Огнём для Void Archon
ModitemWarpAttack	\orange;Урон по Площади\white;
ModitemWarpBlue	\orange;Урон по Площади\white;
Moditembrrr	Замораживает Атакующего
Moditemcures	Сокращение Длительности Проклятий
ModitemdamColdsk	к Урону Заклинаний Холода
ModitemdamFiresk	к Урону Заклинаний Огня
ModitemdamLtngsk	к Урону Заклинаний Молнии
ModitemdamMagsk	к Физическому/Магическому Урону Заклинаний
ModitemdamPMsk	к Физ./Маг. Урону Заклинаний
ModitemdamPoissk	к Урону Заклинаний Яда
Moditemdamvsm	к Урону против
Moditemenrescoldsk	к Сопротивлению Холоду у Врага
Moditemenresfiresk	к Сопротивлению Огню у Врага
Moditemenresltngsk	к Сопротивлению Молнии у Врага
Moditemenrespoissk	к Сопротивлению Яду у Врага
Moditemhowlthorns	Атакующий Убежит после Удара
Moditemirb	Игнорирует Сопротивления Зверей
Moditemird	Игнорирует Сопротивления Демонов
Moditemiru	Игнорирует Сопротивления Нежити
Moditemreanimas	Возродить как:
ModitemskonKill	%d%% Шанс использовать навык уровня %d %s при Убийстве
ModitemskonLevel	%d%% Шанс использовать навык уровня %d %s при получении Нового Уровня
Moditemskondeath	%d%% Шанс использовать навык уровня %d %s при Смерти
Moditemslayat	Убито:
Moditemslowthorns	Замедляет Нападающего на
Moditemstun	Оглушение
Moditemthornsper	Отраженный Урон
Modstr2v	Повышенная защита
Modstrpen	к Силе
Modstrpercent	к Силе
Modvitpen	к Живучести
Modvitpercent	к Живучести
Moe	Moe
Mold	Mold
Moldy	Молди
Mon_SavageWolf	Savage Wolf
Monastery Gate	Monastery Gate
Monk's	монашеский
Monster1Format	%0 %1
Monster2Format	%0 %1 %2
Monumental	Монументальный
Moo Moo Farm	The Secret Cow Level
Moon	Moon
MoonClan	Moon Clan
MoonKnight	Moon Knight
MoonPanther	Moon Panther
Moonbender	Moonbender
Moonbender's Wing	Moonbender's Wing
Moonfall	Moonfall
Moonfang	Moonfang
Moonrend	Moonrend
Moonscythe	Moonscythe
Moonshadow	Moon Shadow
Moonwrap	Moonwrap
Mordoc's marauder	Mordoc's Marauder
Morlu's Friend	Morlu's Friend
MorluFiend	Morlu
MorningStarSU3	The Golden Sun
Mortal Crescent	Mortal Crescent
Morthwyrtha	Morthwyrtha
Moser's Blessed Circle	Moser's Blessed Circle
Mosers Blessed Circle	Moser's Blessed Circle
MountainDefender	Mountain Defender
MountainKing	Mountain King
MountainKingSyn	+1.5% ко Всем Атрибутам за БУН
Mr Painless	Mr. Painless
MummyGenerator	Саркофаг с Мумией
Muscular	мускулистый
Musty	Заплесневелый
Mutilator	Mutilator
Myokais Path	Myokai's Path
Myriad	Myriad
Myrmidon	Myrmidon
Myrrhbearer	Myrrhbearer
MythQ	Myth
N0+	\orange;Magical Shrine (10)
N0+S	\orange;Magical Vessel
N1+	\orange;Magical Shrine (9)
N2+	\orange;Magical Shrine (8)
N3+	\orange;Magical Shrine (7)
N4+	\orange;Magical Shrine (6)
N5+	\orange;Magical Shrine (5)
N6+	\orange;Magical Shrine (4)
N7+	\orange;Magical Shrine (3)
N8+	\orange;Magical Shrine (2)
N9+	\orange;Magical Shrine (1)
NPCGossipMenu	слухи
NPCHeal	Лечение:
NPCIdentify1	Идентифицировать предметы
NPCIdentify2	Идентифицировать предметы: 
NPCMenuHire	нанять
NPCMenuLeave	уйти
NPCMenuNews0	важные новости
NPCMenuNews1	срочные новости
NPCMenuNews2	неотложные дела
NPCMenuNews3	важные новости
NPCMenuNews4	неотложные дела
NPCMenuTalkMore	расскажи мне еще
NPCMenuTrade	торговать
NPCMenuTradeRepair	торг/ремонт
NPCNextPage	След. страница
NPCPreviousPage	Пред. страница
NPCPurchaseItems	Купить
NPCRepairItems	Ремонт
NPCSellItems	Продать
NPCTownMore0	о торговцах
NPCTownMore1	горожане
Na-Krul's Spine	Na-Krul's Spine
Nagas	Nagas
Nagelring	Nagelring
NaginataSU3	Hovering Dame
Nahemah	Nahemah
Nahual	Nahual
Naiad	Naiad
Naiad King	Naiad King
Naj's Ancient Set	Древний След Нажа
Naj's Circlet	Венок Нажа
Naj's Light Plate	Пластины Света Нажа
Naj's Puzzler	Naj's Puzzler
Narlant Dream	Narlant Dream
Narthal	Narthal
Nasrudin	Nasrudin
Natalya	Natalya
Natalya's Mark	Natalya's Mark
Natalya's Odium	Natalya's Odium
Natalya's Shadow	Natalya's Shadow
Natalya's Soul	Natalya's Soul
Natalya's Totem	Natalya's Totem
NatalyaGossip1	59\nАшеара...? Она крутой маг, но готова\nдержать пари, что она никогда не\nвидела истинного Зла.\n\nВ пьяных наемниках нет ничего\nхорошего, но повстречаться лицом к\nлицу с демоном из ада - совсем\nдругое дело.\n
NatalyaGossip2	58\nЯ слышала имя Декарда Каина много\nраз. Он последний из Хорадримов, и\nхотя бы за это я уважаю его. Вы\nдолжны быть очень сильны, чтобы он\nсопровождал вас.\n
NatalyaGossip3	97\nХратли - искусный мастер. Мой Орден\nмог бы использовать его уникальные\nумения.\n
NatalyaGossip4	68\nМой Орден много лет следит за\nОрмусом. Он выглядит чемпионом в\nпроявлении добра, но кто знает,\nкакие тени таятся в его душе?\n
NatalyaIntroGossip1	47\nПриветствую, герой. Я слышала о\nтвоих деяниях, и... это производит\nвпечатление. Очень немногие\nсмертные способны на такие дела с\nТремя и их слугами, как ты.\n\nМеня зовут Наталия. Я охотник за\nЗлом, часть древнего Ордена,\nсозданного для охоты на злых\nволшебников.\n\nЕсли бы это было возможно, я бы с\nудовольствием присоединилась к\nтвоему походу во имя уничтожения\nТроих. Но я должна быть здесь и\nждать новостей. Я не могу\nпредсказать, что случится, но\nопасность больше, чем мы можем себе\nпредставить.\n\nДо тех пор, пока я не получу\nприказов, я могу помочь вам любой\nинформацией, которая есть в моем\nраспоряжении.\n
NatalyasDeception	Natalya's Deception
Natha	Natha
Nature's	Натуральный
Nature's Orphan	Nature's Orphan
Nature's Peace	Nature's Peace
Natures Grace	Nature's Grace
Nebucaneezer's Storm	Nebuchadnezzar's Storm
NecOnly	(Только для Некроманта)
NecSlavemaster	Slavemaster
NecroMage	Necromage
NecroSkeleton	Necroskeleton
Necrobot	Necrobot
NecrobotRean	Necrobot
Necromancer	Некромант
Necromancer's	некромантский
Necromorb	Necromorb
NeedleCrossbowSU3	The Mangling Sting
Nehushtan	Nehushtan
NeonFiend	Neon Fiend
NephalemStatue	Nephalem Statue
Nephilim	Nephilim
Nero	Nero
Nest	Гнездо
Nethercrow	Nethercrow
Neurogenesis	Neurogenesis
New2Axekicker	Axekicker
New2BaneCat	Banecat
New2Bellifortis	Bellifortis
New2BellyOfTheBeast	Belly of the Beast
New2Breathstealer2	Breathstealer
New2Demacian	Demacian Justice
New2Facemelter	Facemelter
New2Firekeeper	Firekeeper
New2Fjordwind	Fjordwind
New2Flintstone	Flintstone Axe
New2GhoulLord	Ghoul Lord
New2Hammerfall	Hammerfall
New2Haraigami	Haraigami
New2HwaninsGungdo	Hwanin's Gungdo
New2Issalfstafr	Issalfarstafr
New2ItheraelsSplendor	Itherael's Splendor
New2KharosBloodskull	Kharos' Bloodskull
New2Lavasurge	Lavasurge
New2LegionsName	Legion's Name
New2Lifecrusher	Lifecrusher
New2MaggotspawnShell	Maggotspawn Shell
New2NereidsCalliope	Nereid's Calliope
New2Pitchburner	Pitchburner
New2PortalKombat	Portal Kombat
New2Prestidigator	The Prestidigator
New2Runebreaker	Spellbreaker
New2Silambam	Silambam
New2SplinterMail	Splinter Mail
New2Stormhowler	Stormhowl
New2ThunderKing	Thunder King of Sescheron
New2TobiosKey	Tobio's Key
New2TwoFaceBlade	Two-Face Blade
New2Walfang	Walfang
New3BuckingBertha	Bucking Bertha
New3DryhtenEaldor	Dryhten Ealdor
New3Kekeke	Kekeke
New3Plunderbird	Plunderbird
New3TheCheater	Greiz' Cheat
New5CanisVenator	Canis Venator
New5SidheCrest	Ylfa Ban
New5WheelOfTheYear	Wheel of the Seasons
New7DigitronicSlicer	Digitron Disk
NewAbyssus	Abyssus
NewAlHazirsQuillholder	Al Hazir's Quillholder
NewApocalypta	Apocalypta
NewAsnPet	Dark Spirit
NewAzgarsNemeton	Azgar's Nemeton
NewBelladonna	The Belladonna
NewBlackKingBar	Black King Bar
NewBossCrow	Boss Crow
NewBrainsplatter	Brainsplatter
NewCactus	The Cactus
NewChainlord	The Chained Mail
NewCruciatus	Cruciatus
NewCrushskullCrusher	Crushskull's Crusher
NewCrystalArch	Crystal Arch
NewDoomswath	Doomswath
NewDoublecross	Doublecross
NewDryadbark	Dryadbark
NewEarthsBurden	Earth's Burden
NewEdgewulfsGirdle	Edgewulf's Girdle
NewEosphoros	Eosphoros
NewFacemender	Fleshmender
NewFalxChthon	Falx Chthon
NewFiddlesticks	Fiddlesticks
NewFleshdoom	Fleshdoom
NewFuryHell	Fury of Hellfire
NewGlobusCruciger	Globus Cruciger
NewGongItem	The Doom Gong of Xiansai
NewGrandArmor	Grand Armor
NewGregusMazisNkisi	Gregus Mazi's Nkisi
NewGrimspike	Grimspike
NewHawkingAxe	Hawking Axe
NewHeadbanger	Headbanger
NewHelgrotha	Helgrotha's Fang
NewHellforgeEdge	Hellforge Edge
NewHighwaymansFriend	Highwayman's Friend
NewHijabOfThe	Hijab of the Skymother
NewIcharionsDissuader	Icharion's Dissuader
NewIronbound2	Ironbound Impact Tome
NewJSin	Judge's Sin
NewKamehameha	Kamehameha
NewKatarHero	Katar Hero
NewKhalimsPunisher	Khalim's Punisher
NewLeahsVision	Leah's Vision
NewLionsClaw	The Lyon's Claw
NewLucion	Lucion, Son of Mephisto
NewMagelock	Magelock
NewMalic	Malic
NewMalicMessenger	Malic's Messenger
NewManafire	Manafire
NewMedivhsCameo	Medivh's Cameo
NewMrClubbo	Mr. Clubbo
NewMudpool	Mudpool
NewOgdensSign	Ogden's Sign
NewPanzerkeil	Panzerkeil
NewPeacebringer	Peacebringer
NewPekins	Peckin's Order
NewPitlordsPendulum	Pitlord's Pendulum
NewRagQueen	Rag Queen
NewRathmasAthame	Rathma's Athame
NewRoflchopper	Roflchopper
NewSatanskind	Satanskind
NewScaleOfJustice	Scale of Justice
NewScepterOfTremain	Scepter of Tremain
NewSiegehammer	Siegehammer of Morgen Keep
NewSiggardsRevenge	Siggard's Revenge
NewSixAngelBag	\gold;Six Angel Bag
NewSkinwalker	Yee Naaldlooshii
NewSnotflinger	Snotflinger
NewSpiritOfDamnation	Spirit of Damnation
NewStaffOfLadySalene	Staff of Lady Salene
NewStarbreaker	Starbreaker
NewStarmaiden	Starmaiden
NewStillborn	The Stillborn
NewStormcaller	Stormcaller
NewSuperGem	\gold;I Am Rich
NewTheCaduceus	The Caduceus
NewTheDragonStar	The Dragon's Star
NewTheSentinelsSorrow	The Sentinel's Sorrow
NewTrumpetsLoad	Stella Matutina
NewVarnasWraithblade	Varna's Wraithblade
NewVoidseeker	Void Seeker
NewWandelkoning	Wandelkoning
NewWeirdSister	Weird Sister
NewWhispersOfMirakodus	Whispers of Mirakodus
NewWhistlingDeath	The Whistling Death
NewWhiteVoid	Sword of the White Void
NewWitchText	a startled Witch...
NewZakarwasBetrayal	Zakarwa's Betrayal
NewZhareshRobes	Zharesh Robes
NewbiesDontGetIt	+4% к Злобному Урону от Синергий за БУН
Newscaps	НОВОСТИ
Nexus Bridge Level 1	Nexus Bridge Level 1
Nexus Bridge Level 2	Nexus Bridge Level 2
Nexus Crystal	(Sorceress Challenge Item)\nNexus Crystal
NexusBoss	Atanna Khan
NexusDisguise	Lost Traveler
Nezha	Nezha
Ngozi	Ngozi
NiVa	Ni Va
Nickel	Никелевый
Night	Night
NightClan	Night Clan
NightClanGoat	Night Clan
NightHorse	Nightmare
NightLord	Night Lord
NightMarauder	Night Marauder
NightQ	Night
NightSlinger	Night Slinger
NightTiger	Night Tiger
NightmareZ	Nightmare
NightsEmbrace	Night's Embrace
Nightscape	Nightscape
Nightsmoke	Nightsmoke
Nightsummon	Nightsummon
Nightwing the Cold	Nightwing the Cold
Nightwing's Veil	Nightwing's Veil
Nigra	Nigra
NihlataksBombard	Nihlathak's Bombard
Nihlathak	Nihlathak
Nihlathak Town	Nihlathak
NihlathakAct5IntroAssGossip1	46\nТак, так... Асассин!\n\nДа, да... я уверен, что все в этом\nгороде признательны, что ты здесь,\nно думаю, что в действительности\nтебе не следовало сюда приезжать.\n\nЛично я могу сказать, что в твоих\nнавыках здесь никто не нуждается. В\nдругом месте ты лучше прославишь\nсвой клан.\n
NihlathakAct5IntroGossip1	55\nТак, так. Из-за осады у нас все\nбыстро заканчивается, но только не\nдураки. \n\nЧто привело тебя в это место?\nМожет, ты - стервятник, желающий\nосквернить тела наших падших\nвоинов? \n\nНезависимо от этого здесь ты себя\nне прославишь. Мы сами должны\nзащищать гору. Это - лишь вопрос\nвремени, когда адские полчища будут\nнаголову разбиты.\n
NihlathakAct5IntroNecGossip1	41\nA, Некромант.\n\nХотя я и восхищаюсь твоим желанием\nпознать темную сторону магии, могу\nтебе сказать, что мы не нуждаемся в\nтвоих умениях. Скоро нам удастся\nпереломить ход боя и без твоего\nвмешательства. \n\nХотя я мог ожидать твоего появления\nздесь. Ты как мотылек на свет\nлетишь туда, где чувствуешь смерть.\nОна насыщает тебя, ведь так?\n
NihlathakGossip1	50\nЕсли ты ищешь случаи предательской\nмагии, Асассин, приглядись\nповнимательней к Ларзуку. Он был\nединственным в городе, кто прошлой\nвесной не переболел красной\nлихорадкой. Он говорил, что ему\nповезло, так как он всегда мыл руки\nперед едой.\n\nХммм... очень подозрительно...\n
NihlathakGossip2	48\nЧто привело тебя в это место?\nМожет, ты - стервятник, осквернить\nтела наших падших воинов?\n\n Независимо от этого здесь ты себя\nне прославишь. Мы сами должны\nзащищать гору. Это - лишь вопрос\nвремени, когда адские полчища будут\nнаголову разбиты.\n
NihlathakGossip3	50\nОт Куал-Кека нет никакого толка. Он\nпросто слепо посылает наших воинов\nна верную гибель, думая, что\nполчища Баала сражаются как люди.\nКонечно же, все знают, что это не\nтак.\n
NihlathakGossip4	49\nПолчища демонов стали невообразимо\nсильными, им помогают наши глупые\nошибки. Но думаю, что я нашел\nспособ исправить эти упущения...\n
NihlathakGossip5	45\nO, да... я помню наших воинов еще\nдетьми. Малаха лечила им\nпереломанные кости и давала\nлекарства от жара. А теперь они\nвозвращаются к ней с ранами,\nкоторые невозможно вылечить.\n\nЯ очень устал... пожалуйста...\nоставь меня.\n
NihlathakGossip6	86\nЕсли у тебя ко мне нет ничего\nважного, уходи!\n
NihlathakGossip7	59\nОтец Ании был моим самым лучшем\nдругом. Теперь нам надо оплакивать\nстольких... у меня нет на тебя\nвремени!\n
NihlathakGossip8	45\nМеня давно критикуют, но в\nособенности критика усилилась в\nпоследнее время - с тех пор, как\nпогибли мои соратники старейшины.\nИз всего этого я вынес одну вещь.\nКаждый человек должен делать то,\nчто правильно, независимо от того,\nчто думают другие.\n
NihlathakGossip9	70\nСовет старейшин всегда полагал, что\nмы готовы к нашествию Троих.\nОчевидно, что мы были недостаточно\nподготовлены.\n
Nihlathaks Temple	Nihlathak's Temple
Nimmenjuushin	Nimmenjuushin
Niradyahk	Niradyahk
Nix	Nix
NoDesc	
NoParty	Нет группы
NoSegoSET7	Greg's Silent Scream [legacy]
Noblebane	Noblebane
Nokozan Relic	Nokozan Relic
Nomad	Nomad
Nor Tiraj's Turinash	Nor Tiraj's Turinash
Nor Tiraj's Wisdom	Nor Tiraj's Wisdom
Nord's Tenderizer	Nord's Tenderizer
Norma	Norma
Norrec's Topor	Norrec's Topor
Norrex Targe	Norrec's Targe
Nosferatu	Nosferatu
Nosferatu's Coil	Nosferatu's Coil
Not used	FLYING POLAR BUFFALO ERROR
Noxious	Ядовитый
Null	Нуль
NunOfVanity	Nun of Vanity
Nymph's Grace	Nymph's Grace
Nymyr's Shadow	Nymyr's Shadow
Nyx	Nyx
O0+	\orange;Enchanted Shrine (10)
O0+S	\orange;Enchanted Vessel
O1+	\orange;Enchanted Shrine (9)
O2+	\orange;Enchanted Shrine (8)
O3+	\orange;Enchanted Shrine (7)
O4+	\orange;Enchanted Shrine (6)
O5+	\orange;Enchanted Shrine (5)
O6+	\orange;Enchanted Shrine (4)
O7+	\orange;Enchanted Shrine (3)
O8+	\orange;Enchanted Shrine (2)
O9+	\orange;Enchanted Shrine (1)
ODoor	Открытая дверь
Oak Sage	Oak Sage
OasisGuard	Oasis Guard
OasisToad	Bullfrog
Obelisk	Обелиск
Oblivion	Oblivion
OblivionKnight	Oblivion Knight
Obsidian	Обсидиан
ObsidianKnight	Obsidian Knight
ObsidianLord	Obsidian Lord
Ocean	Ocean
Ocher	охровый
Odium	Odium
Of Abrasion	Трения
Of Admiration	Восторга
Of Attrition	Истирания
Of Baddass	Бездны
Of Badness	Развращенности
Of Beauty	Красоты
Of Bile	Желчи
Of Blitzen	Стремительности
Of Combat	Боя
Of Credit	Кредита
Of Cremation	Кремации
Of Cruelty	Жестокости
Of Daring	Отваги
Of Darkness	Тьмы
Of Dawn	Восхода
Of Disease	Заразы
Of Dispatch	Уничтожения
Of Doom	Рока
Of Dread	Ужаса
Of Dusk	Сумерек
Of Elusion	Ускользания
Of Erosion	Эрозии
Of Fortication	Укрепления
Of Grounding	Заземления
Of Honor	Чести
Of Horror	Ужаса
Of Illusion	Иллюзии
Of Judgement	Суждения
Of Karma	Кармы
Of Love	Любви
Of Luck	Удачи
Of Nobility	Знатности
Of Pilfering	Воровства
Of Quickening	Убыстрения
Of Quota	Квоты
Of Redemption	Искупления
Of Remorse	Раскаяния
Of Searing	Прижигания
Of Stature	Фигуры
Of Stone	Камня
Of Suffering	Страдания
Of Sweetness	Сладости
Of Terror	Террора
Of Tribute	Дания
Of Twilight	Сумерек
Of Valhalla	Валхаллы
Of Vengence	Мести
Of Vines	Лоз
Of Waste	Растраты
Of self-repair	Самовосстановления
Of the Avenger	Мстителя
Of the Bayou	Залива
Of the Beast	Зверя
Of the Choir	Хора
Of the Earth	Земли
Of the Fly	Мухи
Of the Forest	Леса
Of the Ghost	Призрака
Of the Gnat	Комара
Of the Grassy Gnoll	Травяного гнолла
Of the Hag	Карги
Of the Horde	Орды
Of the Idiot	Идиота
Of the Imbecile	Глупца
Of the Infantry	Пехоты
Of the Jujube	Ююбы
Of the Lady	Леди
Of the Lake	Озера
Of the Lilly	Лилии
Of the Maggot	Личинок
Of the Maiden	Девы
Of the Moon	Луны
Of the Mosquito	Москита
Of the Obscenity	Непристойности
Of the Ocean	Океана
Of the Plague	Чумы
Of the Retard	Слабоумия
Of the River	Грабителя
Of the Sky	Неба
Of the Sniper	Снайпера
Of the Specter	Духа
Of the Stars	Звезд
Of the Stiletto	Стилета
Of the Stream	Потока
